dataset_id	group_field	group_value	start_cells	min_features	min_counts	max_percent_mt	retained_cells	retained_fraction
GSE178318	barcode_suffix	COL07_CRC	17000	200	0	10	14779	0.869352941176471
GSE178318	barcode_suffix	COL07_CRC	17000	200	0	15	15600	0.917647058823529
GSE178318	barcode_suffix	COL07_CRC	17000	200	0	20	16043	0.943705882352941
GSE178318	barcode_suffix	COL07_CRC	17000	300	0	10	14765	0.868529411764706
GSE178318	barcode_suffix	COL07_CRC	17000	300	0	15	15584	0.916705882352941
GSE178318	barcode_suffix	COL07_CRC	17000	300	0	20	16024	0.942588235294118
GSE178318	barcode_suffix	COL07_CRC	17000	500	0	10	13338	0.784588235294118
GSE178318	barcode_suffix	COL07_CRC	17000	500	0	15	14108	0.829882352941177
GSE178318	barcode_suffix	COL07_CRC	17000	500	0	20	14497	0.852764705882353
GSE178318	barcode_suffix	COL07_LM	16100	200	0	10	12684	0.787826086956522
GSE178318	barcode_suffix	COL07_LM	16100	200	0	15	13356	0.829565217391304
GSE178318	barcode_suffix	COL07_LM	16100	200	0	20	13846	0.86
GSE178318	barcode_suffix	COL07_LM	16100	300	0	10	12667	0.786770186335404
GSE178318	barcode_suffix	COL07_LM	16100	300	0	15	13339	0.828509316770186
GSE178318	barcode_suffix	COL07_LM	16100	300	0	20	13829	0.858944099378882
GSE178318	barcode_suffix	COL07_LM	16100	500	0	10	12475	0.774844720496894
GSE178318	barcode_suffix	COL07_LM	16100	500	0	15	13106	0.814037267080745
GSE178318	barcode_suffix	COL07_LM	16100	500	0	20	13545	0.841304347826087
GSE178318	barcode_suffix	COL12_CRC	10750	200	0	10	10106	0.940093023255814
GSE178318	barcode_suffix	COL12_CRC	10750	200	0	15	10353	0.96306976744186
GSE178318	barcode_suffix	COL12_CRC	10750	200	0	20	10477	0.974604651162791
GSE178318	barcode_suffix	COL12_CRC	10750	300	0	10	10094	0.938976744186046
GSE178318	barcode_suffix	COL12_CRC	10750	300	0	15	10340	0.961860465116279
GSE178318	barcode_suffix	COL12_CRC	10750	300	0	20	10463	0.973302325581395
GSE178318	barcode_suffix	COL12_CRC	10750	500	0	10	9497	0.883441860465116
GSE178318	barcode_suffix	COL12_CRC	10750	500	0	15	9719	0.904093023255814
GSE178318	barcode_suffix	COL12_CRC	10750	500	0	20	9823	0.913767441860465
GSE178318	barcode_suffix	COL12_LM	3160	200	0	10	2609	0.825632911392405
GSE178318	barcode_suffix	COL12_LM	3160	200	0	15	2726	0.862658227848101
GSE178318	barcode_suffix	COL12_LM	3160	200	0	20	2782	0.880379746835443
GSE178318	barcode_suffix	COL12_LM	3160	300	0	10	2607	0.825
GSE178318	barcode_suffix	COL12_LM	3160	300	0	15	2723	0.861708860759494
GSE178318	barcode_suffix	COL12_LM	3160	300	0	20	2779	0.879430379746835
GSE178318	barcode_suffix	COL12_LM	3160	500	0	10	2461	0.77879746835443
GSE178318	barcode_suffix	COL12_LM	3160	500	0	15	2561	0.810443037974684
GSE178318	barcode_suffix	COL12_LM	3160	500	0	20	2611	0.82626582278481
GSE178318	barcode_suffix	COL12_PBMC	12400	200	0	10	12364	0.997096774193548
GSE178318	barcode_suffix	COL12_PBMC	12400	200	0	15	12387	0.998951612903226
GSE178318	barcode_suffix	COL12_PBMC	12400	200	0	20	12395	0.999596774193548
GSE178318	barcode_suffix	COL12_PBMC	12400	300	0	10	12363	0.997016129032258
GSE178318	barcode_suffix	COL12_PBMC	12400	300	0	15	12386	0.998870967741936
GSE178318	barcode_suffix	COL12_PBMC	12400	300	0	20	12394	0.999516129032258
GSE178318	barcode_suffix	COL12_PBMC	12400	500	0	10	12359	0.996693548387097
GSE178318	barcode_suffix	COL12_PBMC	12400	500	0	15	12382	0.998548387096774
GSE178318	barcode_suffix	COL12_PBMC	12400	500	0	20	12389	0.999112903225806
GSE178318	barcode_suffix	COL15_CRC	4250	200	0	10	3041	0.715529411764706
GSE178318	barcode_suffix	COL15_CRC	4250	200	0	15	3295	0.775294117647059
GSE178318	barcode_suffix	COL15_CRC	4250	200	0	20	3437	0.808705882352941
GSE178318	barcode_suffix	COL15_CRC	4250	300	0	10	3036	0.714352941176471
GSE178318	barcode_suffix	COL15_CRC	4250	300	0	15	3285	0.772941176470588
GSE178318	barcode_suffix	COL15_CRC	4250	300	0	20	3425	0.805882352941176
GSE178318	barcode_suffix	COL15_CRC	4250	500	0	10	2947	0.693411764705882
GSE178318	barcode_suffix	COL15_CRC	4250	500	0	15	3159	0.743294117647059
GSE178318	barcode_suffix	COL15_CRC	4250	500	0	20	3268	0.768941176470588
GSE178318	barcode_suffix	COL15_LM	9700	200	0	10	7608	0.784329896907216
GSE178318	barcode_suffix	COL15_LM	9700	200	0	15	8121	0.837216494845361
GSE178318	barcode_suffix	COL15_LM	9700	200	0	20	8419	0.867938144329897
GSE178318	barcode_suffix	COL15_LM	9700	300	0	10	7608	0.784329896907216
GSE178318	barcode_suffix	COL15_LM	9700	300	0	15	8118	0.836907216494845
GSE178318	barcode_suffix	COL15_LM	9700	300	0	20	8416	0.867628865979381
GSE178318	barcode_suffix	COL15_LM	9700	500	0	10	7473	0.770412371134021
GSE178318	barcode_suffix	COL15_LM	9700	500	0	15	7930	0.817525773195876
GSE178318	barcode_suffix	COL15_LM	9700	500	0	20	8186	0.843917525773196
GSE178318	barcode_suffix	COL16_CRC	6000	200	0	10	5088	0.848
GSE178318	barcode_suffix	COL16_CRC	6000	200	0	15	5330	0.888333333333333
GSE178318	barcode_suffix	COL16_CRC	6000	200	0	20	5468	0.911333333333333
GSE178318	barcode_suffix	COL16_CRC	6000	300	0	10	5012	0.835333333333333
GSE178318	barcode_suffix	COL16_CRC	6000	300	0	15	5239	0.873166666666667
GSE178318	barcode_suffix	COL16_CRC	6000	300	0	20	5365	0.894166666666667
GSE178318	barcode_suffix	COL16_CRC	6000	500	0	10	4682	0.780333333333333
GSE178318	barcode_suffix	COL16_CRC	6000	500	0	15	4865	0.810833333333333
GSE178318	barcode_suffix	COL16_CRC	6000	500	0	20	4963	0.827166666666667
GSE178318	barcode_suffix	COL16_LM	8200	200	0	10	8052	0.981951219512195
GSE178318	barcode_suffix	COL16_LM	8200	200	0	15	8132	0.991707317073171
GSE178318	barcode_suffix	COL16_LM	8200	200	0	20	8170	0.996341463414634
GSE178318	barcode_suffix	COL16_LM	8200	300	0	10	8045	0.98109756097561
GSE178318	barcode_suffix	COL16_LM	8200	300	0	15	8122	0.990487804878049
GSE178318	barcode_suffix	COL16_LM	8200	300	0	20	8160	0.995121951219512
GSE178318	barcode_suffix	COL16_LM	8200	500	0	10	7885	0.961585365853659
GSE178318	barcode_suffix	COL16_LM	8200	500	0	15	7946	0.969024390243902
GSE178318	barcode_suffix	COL16_LM	8200	500	0	20	7969	0.971829268292683
GSE178318	barcode_suffix	COL17_CRC	9035	200	0	10	8610	0.952960708356392
GSE178318	barcode_suffix	COL17_CRC	9035	200	0	15	8738	0.967127836192584
GSE178318	barcode_suffix	COL17_CRC	9035	200	0	20	8807	0.974764803541782
GSE178318	barcode_suffix	COL17_CRC	9035	300	0	10	8597	0.951521859435528
GSE178318	barcode_suffix	COL17_CRC	9035	300	0	15	8722	0.96535694521306
GSE178318	barcode_suffix	COL17_CRC	9035	300	0	20	8788	0.972661870503597
GSE178318	barcode_suffix	COL17_CRC	9035	500	0	10	8328	0.92174875484228
GSE178318	barcode_suffix	COL17_CRC	9035	500	0	15	8421	0.932042058660764
GSE178318	barcode_suffix	COL17_CRC	9035	500	0	20	8467	0.937133370226895
GSE178318	barcode_suffix	COL17_LM	10000	200	0	10	9900	0.99
GSE178318	barcode_suffix	COL17_LM	10000	200	0	15	9944	0.9944
GSE178318	barcode_suffix	COL17_LM	10000	200	0	20	9967	0.9967
GSE178318	barcode_suffix	COL17_LM	10000	300	0	10	9891	0.9891
GSE178318	barcode_suffix	COL17_LM	10000	300	0	15	9933	0.9933
GSE178318	barcode_suffix	COL17_LM	10000	300	0	20	9956	0.9956
GSE178318	barcode_suffix	COL17_LM	10000	500	0	10	9556	0.9556
GSE178318	barcode_suffix	COL17_LM	10000	500	0	15	9582	0.9582
