dataset_id	gsm	sample_label	tissue_site	feature_column_index	mt_upper_prefix_count	n	min	q1	median	mean	q3	max
GSE245552	GSM7844812	Pt01_T1	primary tumor	1	0	4593	0	0	0	0	0	0
GSE245552	GSM7844812	Pt01_T1	primary tumor	2	0	4593	0	0	0	0	0	0
GSE245552	GSM7844812	Pt01_T1	primary tumor	3	0	4593	0	0	0	0	0	0
GSE245552	GSM7844813	Pt01_T2	liver metastasis	1	0	6464	0	0	0	0	0	0
GSE245552	GSM7844813	Pt01_T2	liver metastasis	2	0	6464	0	0	0	0	0	0
GSE245552	GSM7844813	Pt01_T2	liver metastasis	3	0	6464	0	0	0	0	0	0
GSE245552	GSM7844814	Pt02_T1	primary tumor	1	0	3704	0	0	0	0	0	0
GSE245552	GSM7844814	Pt02_T1	primary tumor	2	0	3704	0	0	0	0	0	0
GSE245552	GSM7844814	Pt02_T1	primary tumor	3	0	3704	0	0	0	0	0	0
GSE245552	GSM7844815	Pt02_T2	liver metastasis	1	0	6243	0	0	0	0	0	0
GSE245552	GSM7844815	Pt02_T2	liver metastasis	2	0	6243	0	0	0	0	0	0
GSE245552	GSM7844815	Pt02_T2	liver metastasis	3	0	6243	0	0	0	0	0	0
GSE245552	GSM7844816	Pt03_T1	primary tumor	1	0	2526	0	0	0	0	0	0
GSE245552	GSM7844816	Pt03_T1	primary tumor	2	0	2526	0	0	0	0	0	0
GSE245552	GSM7844816	Pt03_T1	primary tumor	3	0	2526	0	0	0	0	0	0
GSE245552	GSM7844817	Pt03_T2	liver metastasis	1	0	3693	0	0	0	0	0	0
GSE245552	GSM7844817	Pt03_T2	liver metastasis	2	0	3693	0	0	0	0	0	0
GSE245552	GSM7844817	Pt03_T2	liver metastasis	3	0	3693	0	0	0	0	0	0
GSE245552	GSM7844818	Pt04_T1	primary tumor	1	0	2775	0	0	0	0	0	0
GSE245552	GSM7844818	Pt04_T1	primary tumor	2	0	2775	0	0	0	0	0	0
GSE245552	GSM7844818	Pt04_T1	primary tumor	3	0	2775	0	0	0	0	0	0
GSE245552	GSM7844819	Pt04_T2	liver metastasis	1	0	4111	0	0	0	0	0	0
GSE245552	GSM7844819	Pt04_T2	liver metastasis	2	0	4111	0	0	0	0	0	0
GSE245552	GSM7844819	Pt04_T2	liver metastasis	3	0	4111	0	0	0	0	0	0
GSE245552	GSM7844820	Pt05_T1	primary tumor	1	0	3842	0	0	0	0	0	0
GSE245552	GSM7844820	Pt05_T1	primary tumor	2	0	3842	0	0	0	0	0	0
