dataset_id	group_field	group_value	start_cells	min_features	min_counts	max_percent_mt	retained_cells	retained_fraction
GSE245552	sample_label	Pt01_T1	4593	200	0		4567	0.994339211844111
GSE245552	sample_label	Pt01_T1	4593	200	500		4409	0.959939037666014
GSE245552	sample_label	Pt01_T1	4593	200	1000		3978	0.866100587851078
GSE245552	sample_label	Pt01_T1	4593	300	0		4444	0.967559329414326
GSE245552	sample_label	Pt01_T1	4593	300	500		4339	0.944698454169388
GSE245552	sample_label	Pt01_T1	4593	300	1000		3935	0.856738515131722
GSE245552	sample_label	Pt01_T1	4593	500	0		4067	0.88547790115393
GSE245552	sample_label	Pt01_T1	4593	500	500		4067	0.88547790115393
GSE245552	sample_label	Pt01_T1	4593	500	1000		3854	0.839102982799913
GSE245552	sample_label	Pt01_T2	6464	200	0		6461	0.999535891089109
GSE245552	sample_label	Pt01_T2	6464	200	500		6372	0.985767326732673
GSE245552	sample_label	Pt01_T2	6464	200	1000		6015	0.930538366336634
GSE245552	sample_label	Pt01_T2	6464	300	0		6421	0.993347772277228
GSE245552	sample_label	Pt01_T2	6464	300	500		6356	0.983292079207921
GSE245552	sample_label	Pt01_T2	6464	300	1000		6012	0.930074257425743
GSE245552	sample_label	Pt01_T2	6464	500	0		6188	0.95730198019802
GSE245552	sample_label	Pt01_T2	6464	500	500		6188	0.95730198019802
GSE245552	sample_label	Pt01_T2	6464	500	1000		6002	0.928527227722772
GSE245552	sample_label	Pt02_T1	3704	200	0		3702	0.999460043196544
GSE245552	sample_label	Pt02_T1	3704	200	500		3604	0.973002159827214
GSE245552	sample_label	Pt02_T1	3704	200	1000		3283	0.88633909287257
GSE245552	sample_label	Pt02_T1	3704	300	0		3577	0.965712742980562
GSE245552	sample_label	Pt02_T1	3704	300	500		3552	0.958963282937365
GSE245552	sample_label	Pt02_T1	3704	300	1000		3283	0.88633909287257
GSE245552	sample_label	Pt02_T1	3704	500	0		3321	0.896598272138229
GSE245552	sample_label	Pt02_T1	3704	500	500		3321	0.896598272138229
GSE245552	sample_label	Pt02_T1	3704	500	1000		3269	0.88255939524838
GSE245552	sample_label	Pt02_T2	6243	200	0		6242	0.999839820599071
GSE245552	sample_label	Pt02_T2	6243	200	500		6166	0.987666186128464
GSE245552	sample_label	Pt02_T2	6243	200	1000		5971	0.956431202947301
GSE245552	sample_label	Pt02_T2	6243	300	0		6209	0.994553900368413
GSE245552	sample_label	Pt02_T2	6243	300	500		6165	0.987506006727535
GSE245552	sample_label	Pt02_T2	6243	300	1000		5971	0.956431202947301
GSE245552	sample_label	Pt02_T2	6243	500	0		6088	0.975172192855999
GSE245552	sample_label	Pt02_T2	6243	500	500		6088	0.975172192855999
GSE245552	sample_label	Pt02_T2	6243	500	1000		5969	0.956110844145443
GSE245552	sample_label	Pt03_T1	2526	200	0		2524	0.999208234362629
GSE245552	sample_label	Pt03_T1	2526	200	500		2454	0.971496437054632
