cluster	organs	N	total_cluster_cells	organ_fraction_in_cluster
E01_endothelial_SELP	CCT	369	1121	0.329170383586084
E01_endothelial_SELP	LCT	752	1121	0.670829616413916
E02_endothelial_DLL4	CCT	175	926	0.188984881209503
E02_endothelial_DLL4	LCT	751	926	0.811015118790497
E03_endothelial_NOTCH3	CCT	64	432	0.148148148148148
E03_endothelial_NOTCH3	LCT	368	432	0.851851851851852
E04_endothelial_CD36	CCT	194	268	0.723880597014925
E04_endothelial_CD36	LCT	74	268	0.276119402985075
E05_cycling_MKI67	CCT	22	56	0.392857142857143
E05_cycling_MKI67	LCT	34	56	0.607142857142857
E06_endothelial_CLEC4G	CCT	1	42	0.0238095238095238
E06_endothelial_CLEC4G	LCT	41	42	0.976190476190476
F01_fibroblast_PRELP	CCT	1127	6218	0.181247989707301
F01_fibroblast_PRELP	LCT	5091	6218	0.818752010292699
F02_fibrblast_MCAM	CCT	692	4079	0.169649423878402
F02_fibrblast_MCAM	LCT	3387	4079	0.830350576121598
F03_fibroblast_CXCL14	CCT	2367	2513	0.941902109033028
F03_fibroblast_CXCL14	LCT	146	2513	0.0580978909669717
F04_fibroblast_C3	CCT	266	1609	0.165320074580485
F04_fibroblast_C3	LCT	1343	1609	0.834679925419515
F05_fibroblast_COCH	CCT	180	447	0.402684563758389
F05_fibroblast_COCH	LCT	267	447	0.597315436241611
F06_cycling_MKI67	CCT	110	227	0.484581497797357
F06_cycling_MKI67	LCT	117	227	0.515418502202643
Tu01_AREG	CCT	1685	4636	0.363459879206212
Tu01_AREG	LCT	2951	4636	0.636540120793788
Tu02_DEFA5	CCT	132	4747	0.0278070360227512
Tu02_DEFA5	LCT	4615	4747	0.972192963977249
Tu03_SRRM2	CCT	2171	3460	0.627456647398844
Tu03_SRRM2	LCT	1289	3460	0.372543352601156
Tu04_RGMB	CCT	997	2207	0.451744449478931
Tu04_RGMB	LCT	1210	2207	0.548255550521069
Tu05_PCNA	CCT	817	2577	0.317035312378735
Tu05_PCNA	LCT	1760	2577	0.682964687621265
Tu06_NKD1	CCT	2761	2809	0.982912068351727
Tu06_NKD1	LCT	48	2809	0.0170879316482734
Tu07_MKI67	CCT	782	2188	0.357404021937843
Tu07_MKI67	LCT	1406	2188	0.642595978062157
Tu08_GNG13	CCT	79	544	0.145220588235294
Tu08_GNG13	LCT	465	544	0.854779411764706
Tu09_MUC2	CCT	167	220	0.759090909090909
Tu09_MUC2	LCT	53	220	0.240909090909091
Tu10_COL3A1	CCT	141	349	0.404011461318052
Tu10_COL3A1	LCT	208	349	0.595988538681949
Tu11_PLA2G2A	CCT	157	217	0.723502304147465
Tu11_PLA2G2A	LCT	60	217	0.276497695852535
