cluster	organs	patients_organ	N
F01_fibroblast_PRELP	CCT	CCT_s0107	35
F01_fibroblast_PRELP	CCT	CCT_s0115	5
F01_fibroblast_PRELP	CCT	CCT_s0813	419
F01_fibroblast_PRELP	CCT	CCT_s0920	649
F01_fibroblast_PRELP	CCT	CCT_s1231	19
F01_fibroblast_PRELP	LCT	LCT_s0107	76
F01_fibroblast_PRELP	LCT	LCT_s0115	1048
F01_fibroblast_PRELP	LCT	LCT_s0813	333
F01_fibroblast_PRELP	LCT	LCT_s0920	63
F01_fibroblast_PRELP	LCT	LCT_s1231	3571
F02_fibrblast_MCAM	CCT	CCT_s0107	75
F02_fibrblast_MCAM	CCT	CCT_s0115	4
F02_fibrblast_MCAM	CCT	CCT_s0813	341
F02_fibrblast_MCAM	CCT	CCT_s0920	173
F02_fibrblast_MCAM	CCT	CCT_s1231	99
F02_fibrblast_MCAM	LCT	LCT_s0107	374
F02_fibrblast_MCAM	LCT	LCT_s0115	554
F02_fibrblast_MCAM	LCT	LCT_s0813	207
F02_fibrblast_MCAM	LCT	LCT_s0920	270
F02_fibrblast_MCAM	LCT	LCT_s1231	1982
F03_fibroblast_CXCL14	CCT	CCT_s0107	14
F03_fibroblast_CXCL14	CCT	CCT_s0115	14
F03_fibroblast_CXCL14	CCT	CCT_s0813	172
F03_fibroblast_CXCL14	CCT	CCT_s0920	764
F03_fibroblast_CXCL14	CCT	CCT_s1231	1403
F03_fibroblast_CXCL14	LCT	LCT_s0107	13
F03_fibroblast_CXCL14	LCT	LCT_s0115	66
F03_fibroblast_CXCL14	LCT	LCT_s0813	2
F03_fibroblast_CXCL14	LCT	LCT_s0920	22
F03_fibroblast_CXCL14	LCT	LCT_s1231	43
F04_fibroblast_C3	CCT	CCT_s0107	11
F04_fibroblast_C3	CCT	CCT_s0115	1
F04_fibroblast_C3	CCT	CCT_s0813	214
F04_fibroblast_C3	CCT	CCT_s0920	38
F04_fibroblast_C3	CCT	CCT_s1231	2
F04_fibroblast_C3	LCT	LCT_s0107	14
F04_fibroblast_C3	LCT	LCT_s0115	165
F04_fibroblast_C3	LCT	LCT_s0813	49
F04_fibroblast_C3	LCT	LCT_s0920	11
F04_fibroblast_C3	LCT	LCT_s1231	1104
F05_fibroblast_COCH	CCT	CCT_s0107	9
F05_fibroblast_COCH	CCT	CCT_s0813	20
F05_fibroblast_COCH	CCT	CCT_s0920	141
F05_fibroblast_COCH	CCT	CCT_s1231	10
F05_fibroblast_COCH	LCT	LCT_s0115	25
F05_fibroblast_COCH	LCT	LCT_s0813	24
F05_fibroblast_COCH	LCT	LCT_s0920	3
F05_fibroblast_COCH	LCT	LCT_s1231	215
F06_cycling_MKI67	CCT	CCT_s0107	4
F06_cycling_MKI67	CCT	CCT_s0813	24
F06_cycling_MKI67	CCT	CCT_s0920	78
F06_cycling_MKI67	CCT	CCT_s1231	4
F06_cycling_MKI67	LCT	LCT_s0107	8
F06_cycling_MKI67	LCT	LCT_s0115	8
F06_cycling_MKI67	LCT	LCT_s0813	25
F06_cycling_MKI67	LCT	LCT_s0920	9
F06_cycling_MKI67	LCT	LCT_s1231	67
