gene_symbol	program	present
ACTA2	caf_activation	TRUE
FAP	caf_activation	TRUE
MMP11	caf_activation	TRUE
MMP2	caf_activation	TRUE
POSTN	caf_activation	TRUE
THBS2	caf_activation	TRUE
KDR	endothelial	TRUE
PECAM1	endothelial	TRUE
VWF	endothelial	TRUE
EPCAM	epithelial_tumor	TRUE
KRT18	epithelial_tumor	TRUE
KRT19	epithelial_tumor	TRUE
KRT8	epithelial_tumor	TRUE
COL1A1	f01_prelp	TRUE
COL1A2	f01_prelp	TRUE
DCN	f01_prelp	TRUE
LUM	f01_prelp	TRUE
PRELP	f01_prelp	TRUE
ACTA2	f02_mcam	TRUE
CSPG4	f02_mcam	TRUE
MCAM	f02_mcam	TRUE
PDGFRB	f02_mcam	TRUE
RGS5	f02_mcam	TRUE
TAGLN	f02_mcam	TRUE
C3	f03_cxcl14	TRUE
CFD	f03_cxcl14	TRUE
CXCL12	f03_cxcl14	TRUE
CXCL14	f03_cxcl14	TRUE
SFRP1	f03_cxcl14	TRUE
C3	f04_c3	TRUE
CCL2	f04_c3	TRUE
CFD	f04_c3	TRUE
CXCL12	f04_c3	TRUE
COCH	f05_coch	TRUE
COL14A1	f05_coch	TRUE
PI16	f05_coch	TRUE
CENPF	f06_cycling	TRUE
MKI67	f06_cycling	TRUE
TOP2A	f06_cycling	TRUE
COL1A1	fibroblast_ecm	TRUE
COL1A2	fibroblast_ecm	TRUE
COL3A1	fibroblast_ecm	TRUE
DCN	fibroblast_ecm	TRUE
LUM	fibroblast_ecm	TRUE
PRELP	fibroblast_ecm	TRUE
CD3D	immune_context	TRUE
LYZ	immune_context	TRUE
PTPRC	immune_context	TRUE
ACTA2	pericyte_smc	TRUE
CSPG4	pericyte_smc	TRUE
MCAM	pericyte_smc	TRUE
PDGFRB	pericyte_smc	TRUE
RGS5	pericyte_smc	TRUE
