gene_symbol	program	spatial_sample	tissue_site	lesion_type	present
ACTA2	caf_activation	C1	colorectal tissue	primary tumor sample 1	TRUE
FAP	caf_activation	C1	colorectal tissue	primary tumor sample 1	TRUE
MMP11	caf_activation	C1	colorectal tissue	primary tumor sample 1	TRUE
MMP2	caf_activation	C1	colorectal tissue	primary tumor sample 1	TRUE
POSTN	caf_activation	C1	colorectal tissue	primary tumor sample 1	TRUE
THBS2	caf_activation	C1	colorectal tissue	primary tumor sample 1	TRUE
KDR	endothelial	C1	colorectal tissue	primary tumor sample 1	TRUE
PECAM1	endothelial	C1	colorectal tissue	primary tumor sample 1	TRUE
VWF	endothelial	C1	colorectal tissue	primary tumor sample 1	TRUE
EPCAM	epithelial_tumor	C1	colorectal tissue	primary tumor sample 1	TRUE
KRT18	epithelial_tumor	C1	colorectal tissue	primary tumor sample 1	TRUE
KRT19	epithelial_tumor	C1	colorectal tissue	primary tumor sample 1	FALSE
KRT8	epithelial_tumor	C1	colorectal tissue	primary tumor sample 1	TRUE
COL1A1	f01_prelp	C1	colorectal tissue	primary tumor sample 1	TRUE
COL1A2	f01_prelp	C1	colorectal tissue	primary tumor sample 1	TRUE
DCN	f01_prelp	C1	colorectal tissue	primary tumor sample 1	TRUE
LUM	f01_prelp	C1	colorectal tissue	primary tumor sample 1	TRUE
PRELP	f01_prelp	C1	colorectal tissue	primary tumor sample 1	TRUE
ACTA2	f02_mcam	C1	colorectal tissue	primary tumor sample 1	TRUE
CSPG4	f02_mcam	C1	colorectal tissue	primary tumor sample 1	TRUE
MCAM	f02_mcam	C1	colorectal tissue	primary tumor sample 1	TRUE
PDGFRB	f02_mcam	C1	colorectal tissue	primary tumor sample 1	TRUE
RGS5	f02_mcam	C1	colorectal tissue	primary tumor sample 1	TRUE
TAGLN	f02_mcam	C1	colorectal tissue	primary tumor sample 1	TRUE
C3	f03_cxcl14	C1	colorectal tissue	primary tumor sample 1	TRUE
