spatial_sample	tissue_site	lesion_type	program	n	min	q1	median	mean	q3	max
C1	colorectal tissue	primary tumor sample 1	caf_activation	2054	0	0.204612427708841	0.339718408235077	0.436976451692343	0.544871165880612	2.47655113756785
C1	colorectal tissue	primary tumor sample 1	endothelial	2054	0	0	0.157644786503604	0.274962048699917	0.393949740560327	2.03761843568697
C1	colorectal tissue	primary tumor sample 1	epithelial_tumor	2054	0.909864328109608	2.76089544640229	3.09390380045929	3.017464478434	3.32613696195794	3.88068925804463
C1	colorectal tissue	primary tumor sample 1	f01_prelp	2054	0	0.610352145031421	0.948472576663361	1.06550000134035	1.39805242431754	3.48343097869537
C1	colorectal tissue	primary tumor sample 1	f02_mcam	2054	0	0.237596952059513	0.463662098415253	0.566480278802935	0.746735373606982	2.73840909138784
C1	colorectal tissue	primary tumor sample 1	f03_cxcl14	2054	0	0.237369736634258	0.359561843129549	0.393636489865664	0.521243407504952	1.36844016697402
C1	colorectal tissue	primary tumor sample 1	f04_c3	2054	0	0.14503721321561	0.2278805858473	0.24399769916058	0.32821951543809	1.06357883849687
C1	colorectal tissue	primary tumor sample 1	f05_coch	2054	0	0	0	0.0345949537464082	0	0.687107767447249
C1	colorectal tissue	primary tumor sample 1	f06_cycling	2054	0	0.206492442125003	0.458783303436367	0.43876589570241	0.663234457522605	1.28227873522296
C1	colorectal tissue	primary tumor sample 1	fibroblast_ecm	2054	0	0.779483772875052	1.16032249762718	1.27190057708724	1.65303119646168	3.68023717977067
C1	colorectal tissue	primary tumor sample 1	immune_context	2054	0	0.456631267213835	0.609708617101003	0.638667297706095	0.776007864184975	2.29713114223272
C1	colorectal tissue	primary tumor sample 1	pericyte_smc	2054	0	0.232664208925291	0.470155352625831	0.563048882069583	0.767572019951981	2.7061004508159
C2	colorectal tissue	primary tumor sample 2	caf_activation	3305	0	0.53133929555285	0.922635413886504	1.00141992976301	1.4780945256945	2.66523430044296
C2	colorectal tissue	primary tumor sample 2	endothelial	3305	0	0.207803091932664	0.514772085853989	0.616429884548677	0.943726019198526	2.6837383477742
C2	colorectal tissue	primary tumor sample 2	epithelial_tumor	3305	0	1.42377778955786	2.35452036898234	2.15258780056263	2.96598648974777	3.92113588705816
C2	colorectal tissue	primary tumor sample 2	f01_prelp	3305	0	1.23424482727825	1.87717697921266	1.93326826123999	2.65089197328553	3.91162949986315
C2	colorectal tissue	primary tumor sample 2	f02_mcam	3305	0	0.557084379129604	0.928301585568681	1.06497276803321	1.59345084246899	2.98835136495167
C2	colorectal tissue	primary tumor sample 2	f03_cxcl14	3305	0	0.321631827976265	0.53925047991617	0.577957724655395	0.833749946020727	2.08979359521051
C2	colorectal tissue	primary tumor sample 2	f04_c3	3305	0	0.188565753042029	0.561404616897572	0.644426667479467	1.03586464341325	2.40203295185324
C2	colorectal tissue	primary tumor sample 2	f05_coch	3305	0	0	0	0.193964455915039	0.392985989208871	1.3910632564373
C2	colorectal tissue	primary tumor sample 2	f06_cycling	3305	0	0	0.117789218022282	0.223388591820171	0.42033105716828	1.51915128413149
C2	colorectal tissue	primary tumor sample 2	fibroblast_ecm	3305	0	1.45620762723985	2.12753300900534	2.16609822722408	2.90193145167177	4.14056467080594
C2	colorectal tissue	primary tumor sample 2	immune_context	3305	0	0.799905146918765	1.02803997129186	1.01603915869449	1.27023751095572	2.82989769430804
C2	colorectal tissue	primary tumor sample 2	pericyte_smc	3305	0	0.519146252758207	0.854773143476407	0.937213462617819	1.36587462409622	2.72221959530775
C3	colorectal tissue	primary tumor sample 3	caf_activation	3417	0	0	0.19849086642834	0.227470182329222	0.337314866061646	1.58276148073
C3	colorectal tissue	primary tumor sample 3	endothelial	3417	0	0	0	0.175776178857756	0.283237321846663	2.10674493762294
C3	colorectal tissue	primary tumor sample 3	epithelial_tumor	3417	0	2.74773663510481	3.16680100419233	3.05896131044779	3.49638985297837	4.53172702481679
C3	colorectal tissue	primary tumor sample 3	f01_prelp	3417	0	0.520225845137271	0.732988831368514	0.78059120794053	0.988972768051596	2.81139262270653
C3	colorectal tissue	primary tumor sample 3	f02_mcam	3417	0	0.1145498201404	0.272184394536187	0.308226195947547	0.436311455993004	2.01898562964404
C3	colorectal tissue	primary tumor sample 3	f03_cxcl14	3417	0	0.142361136979789	0.330340474737469	0.330296238558141	0.482184730858456	1.43251578003594
C3	colorectal tissue	primary tumor sample 3	f04_c3	3417	0	0	0.231591978251226	0.255229749129187	0.401322711330366	1.50280777682734
C3	colorectal tissue	primary tumor sample 3	f05_coch	3417	0	0	0	0.0228658571897426	0	1.26077820584035
C3	colorectal tissue	primary tumor sample 3	f06_cycling	3417	0	0	0.403833968707993	0.39378734139604	0.662291868070273	1.97045860411485
C3	colorectal tissue	primary tumor sample 3	fibroblast_ecm	3417	0	0.692893447671385	0.934239386105349	0.979298128743885	1.20661647933595	3.06102575628186
C3	colorectal tissue	primary tumor sample 3	immune_context	3417	0	0.61165790306551	0.82326176066297	0.804833792508027	1.04224685106345	2.67527306474202
C3	colorectal tissue	primary tumor sample 3	pericyte_smc	3417	0	0.110286942541985	0.294467221012885	0.332885334476084	0.483968580476013	2.20493588944791
C4	colorectal tissue	primary tumor sample 4	caf_activation	4016	0	1.02152577353377	1.38097404709135	1.3612881740206	1.71549301248519	2.91433829437132
C4	colorectal tissue	primary tumor sample 4	endothelial	4016	0	0	0.404383506980959	0.470037340248385	0.76128555316905	2.69248608204831
C4	colorectal tissue	primary tumor sample 4	epithelial_tumor	4016	0	1.75966337299796	2.52453013826834	2.33296548518429	3.0216595738169	4.09695735258496
C4	colorectal tissue	primary tumor sample 4	f01_prelp	4016	0	2.01632283538878	2.38174376604719	2.34534398329568	2.69242999372389	4.07523676045557
C4	colorectal tissue	primary tumor sample 4	f02_mcam	4016	0	0.796687759416388	1.12826414294499	1.11989007277154	1.43565500866645	2.96908091293994
C4	colorectal tissue	primary tumor sample 4	f03_cxcl14	4016	0	0	0.312322212398142	0.411533864989784	0.62604632406778	2.27895478485137
C4	colorectal tissue	primary tumor sample 4	f04_c3	4016	0	0	0.400925668220089	0.512688678187392	0.761846019848953	2.97092476171842
C4	colorectal tissue	primary tumor sample 4	f05_coch	4016	0	0	0	0.0868127465206733	0	1.57940750439693
C4	colorectal tissue	primary tumor sample 4	f06_cycling	4016	0	0	0	0.0857815435861461	0	1.40964326486238
C4	colorectal tissue	primary tumor sample 4	fibroblast_ecm	4016	0	2.37171625090292	2.74086200670378	2.68990539091754	3.03808773222872	4.28366257025404
C4	colorectal tissue	primary tumor sample 4	immune_context	4016	0	0.598750918238672	0.853724372939183	0.838491195310356	1.16066898750382	2.76221830431923
C4	colorectal tissue	primary tumor sample 4	pericyte_smc	4016	0	0.59396567113194	0.89276917096263	0.901264459286775	1.17335728198091	2.74111536595625
L1	liver tissue	liver metastatic tumor sample 1	caf_activation	4672	0	0.207559552594019	0.360934221333075	0.390342978200151	0.569868786854817	1.51967069362651
L1	liver tissue	liver metastatic tumor sample 1	endothelial	4672	0	0	0.197769260010828	0.307505826523482	0.536306049168847	1.96682046690807
L1	liver tissue	liver metastatic tumor sample 1	epithelial_tumor	4672	0	1.8633046043081	2.59534190263145	2.39149511133318	2.98392750832033	3.62423250316782
L1	liver tissue	liver metastatic tumor sample 1	f01_prelp	4672	0	1.00477514862255	1.33043307438954	1.36618364036077	1.71660374375919	2.9761981162796
L1	liver tissue	liver metastatic tumor sample 1	f02_mcam	4672	0	0.238039203046228	0.401382906251798	0.43944815391648	0.639395962063209	2.19044255871712
L1	liver tissue	liver metastatic tumor sample 1	f03_cxcl14	4672	0	0.51042455918076	0.831826824485758	0.857324602457395	1.2013940339964	2.03716961843062
L1	liver tissue	liver metastatic tumor sample 1	f04_c3	4672	0	0.662563362101272	1.08660017705982	1.11342481072805	1.5611258430409	2.64941598268644
L1	liver tissue	liver metastatic tumor sample 1	f05_coch	4672	0	0	0	0.0782419919173761	0	1.12578394129921
L1	liver tissue	liver metastatic tumor sample 1	f06_cycling	4672	0	0	0	0.266512823581327	0.521140383744629	2.02850351052989
L1	liver tissue	liver metastatic tumor sample 1	fibroblast_ecm	4672	0	1.19090291110267	1.52074389633287	1.56726557378095	1.94158269130355	3.18783256270455
L1	liver tissue	liver metastatic tumor sample 1	immune_context	4672	0	0	0.534303341771608	0.583839576449969	0.910679551468732	2.48952104441324
L1	liver tissue	liver metastatic tumor sample 1	pericyte_smc	4672	0	0.14951228993076	0.354868612867353	0.377206996115058	0.563749236649905	2.07841114236874
L2	liver tissue	liver metastatic tumor sample 2	caf_activation	4796	0	0	0.187410864204587	0.241051798590567	0.411203328517287	2.00594161607269
L2	liver tissue	liver metastatic tumor sample 2	endothelial	4796	0	0	0	0.0961840956222401	0	2.0977679365713
L2	liver tissue	liver metastatic tumor sample 2	epithelial_tumor	4796	0	2.04964268853955	2.71515323451215	2.45671008947482	3.00588388252821	3.97946649111121
L2	liver tissue	liver metastatic tumor sample 2	f01_prelp	4796	0	0.654221665589736	1.06053517309456	1.05698930782597	1.38434861362597	3.41213844169319
L2	liver tissue	liver metastatic tumor sample 2	f02_mcam	4796	0	0	0.242925557178054	0.268227321473133	0.433053622940931	1.92849711823075
L2	liver tissue	liver metastatic tumor sample 2	f03_cxcl14	4796	0	0	0.258487997969509	0.34511461854536	0.572809463758219	2.21043421744446
L2	liver tissue	liver metastatic tumor sample 2	f04_c3	4796	0	0	0.350006323912732	0.448118991737087	0.730866106870252	2.62025990205658
L2	liver tissue	liver metastatic tumor sample 2	f05_coch	4796	0	0	0	0.0235865068338351	0	1.67096320089275
L2	liver tissue	liver metastatic tumor sample 2	f06_cycling	4796	0	0	0	0.291921742835023	0.604855598737299	2.05038751949129
L2	liver tissue	liver metastatic tumor sample 2	fibroblast_ecm	4796	0	0.855106222592908	1.20255417658759	1.22113922390531	1.56743318807268	3.64455158888747
L2	liver tissue	liver metastatic tumor sample 2	immune_context	4796	0	0	0.531053220262066	0.469886072314791	0.79275993136414	2.79345838500717
L2	liver tissue	liver metastatic tumor sample 2	pericyte_smc	4796	0	0	0	0.232923638045404	0.433341176204669	2.20206689918657
