dataset_id	group_field	group_value	metric	n	min	q1	median	mean	q3	max
GSE178318	barcode_suffix	COL07_CRC	nCount_RNA	17000	823	1478	2640	5930.85558823529	7482.75	85204
GSE178318	barcode_suffix	COL07_CRC	nFeature_RNA	17000	73	600	955	1418.37888235294	1916.25	7998
GSE178318	barcode_suffix	COL07_CRC	percent.mt	17000	0	1.96825025121148	2.96479671017017	5.99628376553764	5.51035331109623	93.9366240097501
GSE178318	barcode_suffix	COL07_LM	nCount_RNA	16100	804	1685	2376	4475.01645962733	4377.75	75782
GSE178318	barcode_suffix	COL07_LM	nFeature_RNA	16100	80	700	937	1223.34937888199	1432.25	7317
GSE178318	barcode_suffix	COL07_LM	percent.mt	16100	0	1.89353211601486	2.73610434855007	9.54729407487968	7.24702254696018	96.528768426058
GSE178318	barcode_suffix	COL12_CRC	nCount_RNA	10750	980	1593.25	2180	4195.52474418605	3640.5	76662
GSE178318	barcode_suffix	COL12_CRC	nFeature_RNA	10750	59	630	804	1111.42223255814	1202	7407
GSE178318	barcode_suffix	COL12_CRC	percent.mt	10750	0	2.5	3.36256157319272	4.98985178146155	4.5597036329792	97.5754310344828
GSE178318	barcode_suffix	COL12_LM	nCount_RNA	3160	543	1685.75	2367	5367.54398734177	3728.75	110160
GSE178318	barcode_suffix	COL12_LM	nFeature_RNA	3160	31	667	867.5	1225.0917721519	1173	8013
GSE178318	barcode_suffix	COL12_LM	percent.mt	3160	0.074019245003701	2.07055394282718	3.14350192707977	11.5846647344219	6.23833726487787	98.6235375086029
GSE178318	barcode_suffix	COL12_PBMC	nCount_RNA	12400	1585	2403	3062.5	3481.86201612903	3987	35578
GSE178318	barcode_suffix	COL12_PBMC	nFeature_RNA	12400	131	837	948	1027.93370967742	1107	4596
GSE178318	barcode_suffix	COL12_PBMC	percent.mt	12400	0.087260034904014	2.76368661278841	3.31053633574642	3.51161731413715	4.01348280198131	39.7369925671812
GSE178318	barcode_suffix	COL15_CRC	nCount_RNA	4250	668	1880.25	2802	5765.33152941176	6736	68907
GSE178318	barcode_suffix	COL15_CRC	nFeature_RNA	4250	54	663	919	1345.90917647059	1777	7439
GSE178318	barcode_suffix	COL15_CRC	percent.mt	4250	0.0443262411347518	2.98799155684807	4.2699416891663	13.3021024461401	12.5377544754213	97.1428571428571
GSE178318	barcode_suffix	COL15_LM	nCount_RNA	9700	814	1858	2934	4909.37432989691	5987	58848
GSE178318	barcode_suffix	COL15_LM	nFeature_RNA	9700	107	717	971	1302.03690721649	1644.25	6444
GSE178318	barcode_suffix	COL15_LM	percent.mt	9700	0.0875547217010632	2.76344581831713	3.71584963850413	9.42625148830451	7.89932163407679	95.5004591368228
GSE178318	barcode_suffix	COL16_CRC	nCount_RNA	6000	508	1796	2787	7464.54766666667	7081.25	133603
GSE178318	barcode_suffix	COL16_CRC	nFeature_RNA	6000	59	679.75	977	1502.29116666667	1804.25	8351
GSE178318	barcode_suffix	COL16_CRC	percent.mt	6000	0	2.0441606443025	3.15865875527112	8.30206727415515	5.6582598154441	97.036297036297
GSE178318	barcode_suffix	COL16_LM	nCount_RNA	8200	856	2097	2725	3547.25182926829	3861.25	91060
GSE178318	barcode_suffix	COL16_LM	nFeature_RNA	8200	112	825	1044	1172.2912195122	1353	7191
GSE178318	barcode_suffix	COL16_LM	percent.mt	8200	0	1.5799197491186	2.3483275383777	2.85704624212299	3.28402110130197	89.983305509182
GSE178318	barcode_suffix	COL17_CRC	nCount_RNA	9035	658	1929	2664	5580.3558384062	5299.5	78728
GSE178318	barcode_suffix	COL17_CRC	nFeature_RNA	9035	70	680	847	1080.03497509685	1311.5	6117
GSE178318	barcode_suffix	COL17_CRC	percent.mt	9035	0	2.1403207513906	2.91566862145866	4.27052065371555	3.84314127972397	95.6538314906595
GSE178318	barcode_suffix	COL17_LM	nCount_RNA	10000	758	1879	2372	3780.1198	3425.25	57763
GSE178318	barcode_suffix	COL17_LM	nFeature_RNA	10000	124	692	816	1028.5102	1074	5923
