column_name	class	non_missing
	character	41892
orig.ident	character	41892
nCount_RNA	integer	41892
nFeature_RNA	integer	41892
patients	character	41892
sampletag	character	41892
organs	character	41892
percent.mt	numeric	41892
percent.ribo	numeric	41892
log10GenesPerUMI	numeric	41892
integrated_snn_res.0.5	integer	41892
seurat_clusters	integer	41892
batch	character	41892
doublet.score	numeric	41892
predicted.doublet	character	41892
doublet	character	41892
cluster	character	41892
integrated_snn_res.0.1	integer	41892
patients_organ	character	41892
