field	value	cell_count
patients	s0920	18903
patients	s1231	10862
patients	s0813	7132
patients	s0107	2516
patients	s0115	2479
organs	LCT	26436
organs	CCT	15456
patients_organ	LCT_s0920	10466
patients_organ	LCT_s1231	8685
patients_organ	CCT_s0920	8437
patients_organ	LCT_s0813	4041
patients_organ	CCT_s0813	3091
patients_organ	LCT_s0115	2332
patients_organ	CCT_s1231	2177
patients_organ	CCT_s0107	1604
patients_organ	LCT_s0107	912
patients_organ	CCT_s0115	147
cluster	F01_fibroblast_PRELP	6218
cluster	Tu02_DEFA5	4747
cluster	Tu01_AREG	4636
cluster	F02_fibrblast_MCAM	4079
cluster	Tu03_SRRM2	3460
cluster	Tu06_NKD1	2809
cluster	Tu05_PCNA	2577
cluster	F03_fibroblast_CXCL14	2513
cluster	Tu04_RGMB	2207
cluster	Tu07_MKI67	2188
cluster	F04_fibroblast_C3	1609
cluster	E01_endothelial_SELP	1121
cluster	E02_endothelial_DLL4	926
cluster	Tu08_GNG13	544
cluster	F05_fibroblast_COCH	447
cluster	E03_endothelial_NOTCH3	432
cluster	Tu10_COL3A1	349
cluster	E04_endothelial_CD36	268
cluster	F06_cycling_MKI67	227
cluster	Tu09_MUC2	220
cluster	Tu11_PLA2G2A	217
cluster	E05_cycling_MKI67	56
cluster	E06_endothelial_CLEC4G	42
doublet	singlet	41892
predicted.doublet	False	41892
seurat_clusters	0	16467
seurat_clusters	1	10922
seurat_clusters	2	4174
seurat_clusters	3	3432
seurat_clusters	4	3328
seurat_clusters	5	2835
seurat_clusters	7	488
seurat_clusters	6	246
batch	s0920	18903
batch	s1231	10862
batch	s0813	7132
batch	s0107	2516
batch	s0115	2479
