dataset_id	gsm	sample_label	tissue_site	sample_title	genes	cells	barcodes
GSE245552	GSM7844812	Pt01_T1	primary tumor	Pt01_T1, scRNAseq	29569	4593	4593
GSE245552	GSM7844813	Pt01_T2	liver metastasis	Pt01_T2, scRNAseq	29569	6464	6464
GSE245552	GSM7844814	Pt02_T1	primary tumor	Pt02_T1, scRNAseq	29569	3704	3704
GSE245552	GSM7844815	Pt02_T2	liver metastasis	Pt02_T2, scRNAseq	29569	6243	6243
GSE245552	GSM7844816	Pt03_T1	primary tumor	Pt03_T1, scRNAseq	29569	2526	2526
GSE245552	GSM7844817	Pt03_T2	liver metastasis	Pt03_T2, scRNAseq	29569	3693	3693
GSE245552	GSM7844818	Pt04_T1	primary tumor	Pt04_T1, scRNAseq	29569	2775	2775
GSE245552	GSM7844819	Pt04_T2	liver metastasis	Pt04_T2, scRNAseq	29569	4111	4111
GSE245552	GSM7844820	Pt05_T1	primary tumor	Pt05_T1, scRNAseq	29569	3842	3842
GSE245552	GSM7844821	Pt05_T2	liver metastasis	Pt05_T2, scRNAseq	29569	4447	4447
GSE245552	GSM7844822	Pt05_T3	liver metastasis	Pt05_T3, scRNAseq	29569	2981	2981
GSE245552	GSM7844823	Pt06_T1	primary tumor	Pt06_T1, scRNAseq	29569	815	815
GSE245552	GSM7844824	Pt06_T2	liver metastasis	Pt06_T2, scRNAseq	29569	1454	1454
GSE245552	GSM7844825	Pt06_T3	liver metastasis	Pt06_T3, scRNAseq	29569	7277	7277
GSE245552	GSM7844826	Pt07_T1	primary tumor	Pt07_T1, scRNAseq	29569	4513	4513
GSE245552	GSM7844827	Pt07_T2	liver metastasis	Pt07_T2, scRNAseq	29569	5018	5018
GSE245552	GSM7844828	Pt08_T1	primary tumor	Pt08_T1, scRNAseq	29569	7745	7745
GSE245552	GSM7844829	Pt08_T2	primary tumor	Pt08_T2, scRNAseq	29569	3950	3950
GSE245552	GSM7844830	Pt08_T3	liver metastasis	Pt08_T3, scRNAseq	29569	6327	6327
GSE245552	GSM7844831	Pt08_T4	liver metastasis	Pt08_T4, scRNAseq	29569	6152	6152
GSE245552	GSM7844832	Pt09_T1	primary tumor	Pt09_T1, scRNAseq	29569	5516	5516
GSE245552	GSM7844833	Pt10_T1	primary tumor	Pt10_T1, scRNAseq	29569	8176	8176
GSE245552	GSM7844834	Pt10_T2	liver metastasis	Pt10_T2, scRNAseq	29569	8503	8503
GSE245552	GSM7844835	Pt11_T1	primary tumor	Pt11_T1, scRNAseq	29569	7175	7175
GSE245552	GSM7844836	Pt11_T2	liver metastasis	Pt11_T2, scRNAseq	29569	5356	5356
GSE245552	GSM7844837	Pt13_T1	primary tumor	Pt13_T1, scRNAseq	29569	4471	4471
GSE245552	GSM7844838	Pt13_Z1	colon adjacent tissue	Pt13_Z1, scRNAseq	29922	8136	8136
GSE245552	GSM7844839	Pt15_T1	primary tumor	Pt15_T1, scRNAseq	29569	11377	11377
GSE245552	GSM7844840	Pt15_T2	liver metastasis	Pt15_T2, scRNAseq	29569	5752	5752
GSE245552	GSM7844841	Pt15_Z1	colon adjacent tissue	Pt15_Z1, scRNAseq	29922	5853	5853
GSE245552	GSM7844842	Pt16_T1	liver metastasis	Pt16_T1, scRNAseq	29569	396	396
GSE245552	GSM7844843	Pt16_Z1	liver adjacent tissue	Pt16_Z1, scRNAseq	29922	285	285
GSE245552	GSM7844844	Pt17_T1	primary tumor	Pt17_T1, scRNAseq	29569	1677	1677
GSE245552	GSM7844845	Pt17_T2	liver metastasis	Pt17_T2, scRNAseq	29569	1907	1907
GSE245552	GSM7844846	Pt17_Z1	colon adjacent tissue	Pt17_Z1, scRNAseq	29922	4801	4801
GSE245552	GSM7844847	Pt18_T1	primary tumor	Pt18_T1, scRNAseq	29569	4639	4639
GSE245552	GSM7844848	Pt18_T2	liver metastasis	Pt18_T2, scRNAseq	29569	7009	7009
GSE245552	GSM7844849	Pt18_Z1	colon adjacent tissue	Pt18_Z1, scRNAseq	29922	3089	3089
GSE245552	GSM7844850	Pt18_Z2	liver adjacent tissue	Pt18_Z2, scRNAseq	29922	7442	7442
