dataset_id	group_field	group_value	metric	n	min	q1	median	mean	q3	max	gsm	tissue_site	sample_title
GSE245552	sample_label	Pt01_T1	nCount_RNA	4593	181	1582	3241	6899.84128020901	9852	80976	GSM7844812	primary tumor	Pt01_T1, scRNAseq
GSE245552	sample_label	Pt01_T1	nFeature_RNA	4593	149	898	1449	1998.37992597431	2527	8611	GSM7844812	primary tumor	Pt01_T1, scRNAseq
GSE245552	sample_label	Pt01_T1	percent.mt	4593	0	0	0	0	0	0	GSM7844812	primary tumor	Pt01_T1, scRNAseq
GSE245552	sample_label	Pt01_T2	nCount_RNA	6464	285	2495.75	6093	10734.2872834158	15997	118509	GSM7844813	liver metastasis	Pt01_T2, scRNAseq
GSE245552	sample_label	Pt01_T2	nFeature_RNA	6464	166	1366	2181.5	2650.82069925743	3694.5	9329	GSM7844813	liver metastasis	Pt01_T2, scRNAseq
GSE245552	sample_label	Pt01_T2	percent.mt	6464	0	0	0	0	0	0	GSM7844813	liver metastasis	Pt01_T2, scRNAseq
GSE245552	sample_label	Pt02_T1	nCount_RNA	3704	286	2985.75	7651	11268.25	16246.5	82203	GSM7844814	primary tumor	Pt02_T1, scRNAseq
GSE245552	sample_label	Pt02_T1	nFeature_RNA	3704	173	1466	2414	2801.05804535637	3917	8771	GSM7844814	primary tumor	Pt02_T1, scRNAseq
GSE245552	sample_label	Pt02_T1	percent.mt	3704	0	0	0	0	0	0	GSM7844814	primary tumor	Pt02_T1, scRNAseq
GSE245552	sample_label	Pt02_T2	nCount_RNA	6243	295	1991	4012	9330.38971648246	13447	87808	GSM7844815	liver metastasis	Pt02_T2, scRNAseq
GSE245552	sample_label	Pt02_T2	nFeature_RNA	6243	193	1166	1934	2717.36312670191	4095	9066	GSM7844815	liver metastasis	Pt02_T2, scRNAseq
GSE245552	sample_label	Pt02_T2	percent.mt	6243	0	0	0	0	0	0	GSM7844815	liver metastasis	Pt02_T2, scRNAseq
GSE245552	sample_label	Pt03_T1	nCount_RNA	2526	280	1970	6465.5	9611.92399049881	13774.5	70983	GSM7844816	primary tumor	Pt03_T1, scRNAseq
GSE245552	sample_label	Pt03_T1	nFeature_RNA	2526	185	1121	2692	2990.46714172605	4563	8906	GSM7844816	primary tumor	Pt03_T1, scRNAseq
GSE245552	sample_label	Pt03_T1	percent.mt	2526	0	0	0	0	0	0	GSM7844816	primary tumor	Pt03_T1, scRNAseq
GSE245552	sample_label	Pt03_T2	nCount_RNA	3693	228	1812	5283	8861.50419712971	11506	86534	GSM7844817	liver metastasis	Pt03_T2, scRNAseq
GSE245552	sample_label	Pt03_T2	nFeature_RNA	3693	166	1101	2248	2681.6325480639	3875	9188	GSM7844817	liver metastasis	Pt03_T2, scRNAseq
GSE245552	sample_label	Pt03_T2	percent.mt	3693	0	0	0	0	0	0	GSM7844817	liver metastasis	Pt03_T2, scRNAseq
GSE245552	sample_label	Pt04_T1	nCount_RNA	2775	297	1007	2612	8533.72216216216	12894.5	77701	GSM7844818	primary tumor	Pt04_T1, scRNAseq
GSE245552	sample_label	Pt04_T1	nFeature_RNA	2775	170	485.5	1360	1739.74774774775	2320.5	9117	GSM7844818	primary tumor	Pt04_T1, scRNAseq
GSE245552	sample_label	Pt04_T1	percent.mt	2775	0	0	0	0	0	0	GSM7844818	primary tumor	Pt04_T1, scRNAseq
GSE245552	sample_label	Pt04_T2	nCount_RNA	4111	245	1444.5	3655	5622.37290197032	8626	40503	GSM7844819	liver metastasis	Pt04_T2, scRNAseq
GSE245552	sample_label	Pt04_T2	nFeature_RNA	4111	191	926.5	1860	2102.72877645342	3155	7059	GSM7844819	liver metastasis	Pt04_T2, scRNAseq
GSE245552	sample_label	Pt04_T2	percent.mt	4111	0	0	0	0	0	0	GSM7844819	liver metastasis	Pt04_T2, scRNAseq
GSE245552	sample_label	Pt05_T1	nCount_RNA	3842	357	790.25	1086.5	7410.12363352421	4430	95506	GSM7844820	primary tumor	Pt05_T1, scRNAseq
GSE245552	sample_label	Pt05_T1	nFeature_RNA	3842	180	403	527	1703.70145757418	1832.5	9229	GSM7844820	primary tumor	Pt05_T1, scRNAseq
GSE245552	sample_label	Pt05_T1	percent.mt	3842	0	0	0	0	0	0	GSM7844820	primary tumor	Pt05_T1, scRNAseq
GSE245552	sample_label	Pt05_T2	nCount_RNA	4447	246	1072	1999	4863.4479424331	3933	99681	GSM7844821	liver metastasis	Pt05_T2, scRNAseq
GSE245552	sample_label	Pt05_T2	nFeature_RNA	4447	204	572	1168	1577.240836519	2063	9556	GSM7844821	liver metastasis	Pt05_T2, scRNAseq
GSE245552	sample_label	Pt05_T2	percent.mt	4447	0	0	0	0	0	0	GSM7844821	liver metastasis	Pt05_T2, scRNAseq
GSE245552	sample_label	Pt05_T3	nCount_RNA	2981	435	2837	3828	5538.45890640725	5625	98068	GSM7844822	liver metastasis	Pt05_T3, scRNAseq
GSE245552	sample_label	Pt05_T3	nFeature_RNA	2981	230	1531	1923	2046.47299563905	2382	6760	GSM7844822	liver metastasis	Pt05_T3, scRNAseq
GSE245552	sample_label	Pt05_T3	percent.mt	2981	0	0	0	0	0	0	GSM7844822	liver metastasis	Pt05_T3, scRNAseq
GSE245552	sample_label	Pt06_T1	nCount_RNA	815	164	1772.5	3666	7634.94233128834	11624.5	67902	GSM7844823	primary tumor	Pt06_T1, scRNAseq
GSE245552	sample_label	Pt06_T1	nFeature_RNA	815	144	1171.5	2009	2527.0036809816	3712	8621	GSM7844823	primary tumor	Pt06_T1, scRNAseq
GSE245552	sample_label	Pt06_T1	percent.mt	815	0	0	0	0	0	0	GSM7844823	primary tumor	Pt06_T1, scRNAseq
GSE245552	sample_label	Pt06_T2	nCount_RNA	1454	309	2683	5702	8970.26753782668	12713.25	86584	GSM7844824	liver metastasis	Pt06_T2, scRNAseq
GSE245552	sample_label	Pt06_T2	nFeature_RNA	1454	179	1406.25	2331.5	2612.43328748281	3690	9351	GSM7844824	liver metastasis	Pt06_T2, scRNAseq
GSE245552	sample_label	Pt06_T2	percent.mt	1454	0	0	0	0	0	0	GSM7844824	liver metastasis	Pt06_T2, scRNAseq
GSE245552	sample_label	Pt06_T3	nCount_RNA	7277	183	1622	3814	5508.68008794833	7664	69867	GSM7844825	liver metastasis	Pt06_T3, scRNAseq
GSE245552	sample_label	Pt06_T3	nFeature_RNA	7277	161	949	1652	1935.45087261234	2662	8963	GSM7844825	liver metastasis	Pt06_T3, scRNAseq
GSE245552	sample_label	Pt06_T3	percent.mt	7277	0	0	0	0	0	0	GSM7844825	liver metastasis	Pt06_T3, scRNAseq
GSE245552	sample_label	Pt07_T1	nCount_RNA	4513	278	1520	2403	5541.2368712608	6519	74821	GSM7844826	primary tumor	Pt07_T1, scRNAseq
GSE245552	sample_label	Pt07_T1	nFeature_RNA	4513	138	735	1059	1433.07733215156	1602	8837	GSM7844826	primary tumor	Pt07_T1, scRNAseq
GSE245552	sample_label	Pt07_T1	percent.mt	4513	0	0	0	0	0	0	GSM7844826	primary tumor	Pt07_T1, scRNAseq
GSE245552	sample_label	Pt07_T2	nCount_RNA	5018	344	638	1437	4502.06416899163	4840	71697	GSM7844827	liver metastasis	Pt07_T2, scRNAseq
GSE245552	sample_label	Pt07_T2	nFeature_RNA	5018	190	348	830	1426.46671980869	2000.5	8564	GSM7844827	liver metastasis	Pt07_T2, scRNAseq
GSE245552	sample_label	Pt07_T2	percent.mt	5018	0	0	0	0	0	0	GSM7844827	liver metastasis	Pt07_T2, scRNAseq
GSE245552	sample_label	Pt08_T1	nCount_RNA	7745	188	1777	3075	7864.71245965139	10128	92093	GSM7844828	primary tumor	Pt08_T1, scRNAseq
GSE245552	sample_label	Pt08_T1	nFeature_RNA	7745	141	1007	1465	1808.14396384764	2250	9282	GSM7844828	primary tumor	Pt08_T1, scRNAseq
GSE245552	sample_label	Pt08_T1	percent.mt	7745	0	0	0	0	0	0	GSM7844828	primary tumor	Pt08_T1, scRNAseq
GSE245552	sample_label	Pt08_T2	nCount_RNA	3950	201	1734	3347.5	7670.97037974684	9726.5	106111	GSM7844829	primary tumor	Pt08_T2, scRNAseq
GSE245552	sample_label	Pt08_T2	nFeature_RNA	3950	123	954.75	1458.5	1707.58708860759	2136.75	8140	GSM7844829	primary tumor	Pt08_T2, scRNAseq
GSE245552	sample_label	Pt08_T2	percent.mt	3950	0	0	0	0	0	0	GSM7844829	primary tumor	Pt08_T2, scRNAseq
GSE245552	sample_label	Pt08_T3	nCount_RNA	6327	146	786.5	2136	3565.56788367315	5172.5	43629	GSM7844830	liver metastasis	Pt08_T3, scRNAseq
GSE245552	sample_label	Pt08_T3	nFeature_RNA	6327	124	509	1061	1411.83578315157	2092.5	7354	GSM7844830	liver metastasis	Pt08_T3, scRNAseq
GSE245552	sample_label	Pt08_T3	percent.mt	6327	0	0	0	0	0	0	GSM7844830	liver metastasis	Pt08_T3, scRNAseq
GSE245552	sample_label	Pt08_T4	nCount_RNA	6152	144	704	1779	5981.88637841352	8782.75	79926	GSM7844831	liver metastasis	Pt08_T4, scRNAseq
GSE245552	sample_label	Pt08_T4	nFeature_RNA	6152	120	498.75	1068.5	1893.26869310793	3077.25	8522	GSM7844831	liver metastasis	Pt08_T4, scRNAseq
GSE245552	sample_label	Pt08_T4	percent.mt	6152	0	0	0	0	0	0	GSM7844831	liver metastasis	Pt08_T4, scRNAseq
GSE245552	sample_label	Pt09_T1	nCount_RNA	5516	227	1319	2101	6743.03553299492	9168.25	76511	GSM7844832	primary tumor	Pt09_T1, scRNAseq
GSE245552	sample_label	Pt09_T1	nFeature_RNA	5516	141	780	1115	1326.09155184917	1717.25	9040	GSM7844832	primary tumor	Pt09_T1, scRNAseq
GSE245552	sample_label	Pt09_T1	percent.mt	5516	0	0	0	0	0	0	GSM7844832	primary tumor	Pt09_T1, scRNAseq
GSE245552	sample_label	Pt10_T1	nCount_RNA	8176	199	1358	2312	6261.35078277886	9115	52640	GSM7844833	primary tumor	Pt10_T1, scRNAseq
GSE245552	sample_label	Pt10_T1	nFeature_RNA	8176	135	754	1143	1248.03595890411	1688	5826	GSM7844833	primary tumor	Pt10_T1, scRNAseq
GSE245552	sample_label	Pt10_T1	percent.mt	8176	0	0	0	0	0	0	GSM7844833	primary tumor	Pt10_T1, scRNAseq
GSE245552	sample_label	Pt10_T2	nCount_RNA	8503	348	1721.5	2619	4238.059978831	4655	73881	GSM7844834	liver metastasis	Pt10_T2, scRNAseq
GSE245552	sample_label	Pt10_T2	nFeature_RNA	8503	196	1016	1391	1590.43525814418	1953	8038	GSM7844834	liver metastasis	Pt10_T2, scRNAseq
