dataset_id	object_label	object_path	file_size_bytes	cells	marker_programs
GSE178318	gse178318_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse178318_working_qc_sparse_matrix_marker_program_prepass.rds	1608097	126303	7
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt01_T1_working_qc_sparse_matrix_marker_program_prepass.rds	57416	3854	7
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt01_T2_working_qc_sparse_matrix_marker_program_prepass.rds	112920	6002	7
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt02_T1_working_qc_sparse_matrix_marker_program_prepass.rds	63910	3269	7
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt02_T2_working_qc_sparse_matrix_marker_program_prepass.rds	97382	5969	7
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt03_T1_working_qc_sparse_matrix_marker_program_prepass.rds	33699	2220	7
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt03_T2_working_qc_sparse_matrix_marker_program_prepass.rds	48405	3218	7
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt04_T1_working_qc_sparse_matrix_marker_program_prepass.rds	28789	1997	7
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt04_T2_working_qc_sparse_matrix_marker_program_prepass.rds	53223	3389	7
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt05_T1_working_qc_sparse_matrix_marker_program_prepass.rds	29448	1971	7
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt05_T2_working_qc_sparse_matrix_marker_program_prepass.rds	44764	3393	7
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt05_T3_working_qc_sparse_matrix_marker_program_prepass.rds	40714	2936	7
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt06_T1_working_qc_sparse_matrix_marker_program_prepass.rds	13230	733	7
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt06_T2_working_qc_sparse_matrix_marker_program_prepass.rds	28939	1304	7
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt06_T3_working_qc_sparse_matrix_marker_program_prepass.rds	138651	6534	7
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt07_T1_working_qc_sparse_matrix_marker_program_prepass.rds	49007	3784	7
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt07_T2_working_qc_sparse_matrix_marker_program_prepass.rds	46023	2758	7
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt08_T1_working_qc_sparse_matrix_marker_program_prepass.rds	97797	6993	7
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt08_T2_working_qc_sparse_matrix_marker_program_prepass.rds	50980	3318	7
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt08_T3_working_qc_sparse_matrix_marker_program_prepass.rds	78841	4262	7
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt08_T4_working_qc_sparse_matrix_marker_program_prepass.rds	78491	4096	7
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt09_T1_working_qc_sparse_matrix_marker_program_prepass.rds	70639	4533	7
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt10_T1_working_qc_sparse_matrix_marker_program_prepass.rds	69172	6748	7
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt10_T2_working_qc_sparse_matrix_marker_program_prepass.rds	111468	7345	7
