dataset_id	object_label	sample_label	tissue_site	top_marker_program	cell_count	total_cells	fraction
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_activation	7	14108	0.000496172384462716
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial	59	14108	0.00418202438332861
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_tumor	6708	14108	0.4754749078537
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		fibroblast_ecm	574	14108	0.0406861355259427
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		immune_context	6691	14108	0.474269917777148
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		inflammatory_caf	47	14108	0.00333144315282109
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		pericyte_like	22	14108	0.00155939892259711
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		caf_activation	6	13106	0.00045780558522814
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		endothelial	111	13106	0.00846940332672059
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		epithelial_tumor	1678	13106	0.128032962002136
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		fibroblast_ecm	358	13106	0.0273157332519457
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		immune_context	10926	13106	0.833663970700443
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		inflammatory_caf	10	13106	0.000763009308713566
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		pericyte_like	17	13106	0.00129711582481306
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		caf_activation	54	9719	0.00555612717357753
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		endothelial	121	9719	0.0124498405185719
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		epithelial_tumor	409	9719	0.042082518777652
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		fibroblast_ecm	1372	9719	0.141166786706451
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		immune_context	7632	9719	0.785265973865624
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		inflammatory_caf	75	9719	0.00771684329663546
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		pericyte_like	56	9719	0.00576190966148781
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		caf_activation	2	2561	0.000780944943381492
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		endothelial	13	2561	0.0050761421319797
