dataset_id	object_label	sample_label	tissue_site	stromal_review_program_count	total_cells	stromal_review_program_fraction
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		650	14108	0.0460731499858236
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		391	13106	0.0298336639707004
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		1557	9719	0.160201666838152
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		150	2561	0.0585708707536119
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		1389	12382	0.112178969471814
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		406	3159	0.12852168407724
GSE178318	gse178318_working_qc_sparse_matrix	COL15_LM		663	7930	0.0836065573770492
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		208	4865	0.042754367934224
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		289	7946	0.0363705008809464
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		1240	8421	0.147250920318252
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		812	9582	0.0847422250052181
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		831	6679	0.124419823326845
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		1807	7942	0.227524553009318
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		814	10064	0.0808823529411765
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		742	7839	0.094654930475826
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	466	3854	0.120913336792942
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	409	6002	0.0681439520159947
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	743	3269	0.227286631997553
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	477	5969	0.0799128832300218
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	111	2220	0.05
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	86	3218	0.0267246737103791
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	362	1997	0.181271907861793
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	243	3389	0.0717025671289466
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	104	1971	0.0527650938609843
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	228	3393	0.0671971706454465
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	Pt05_T3	liver metastasis	16	2936	0.00544959128065395
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	Pt06_T1	primary tumor	89	733	0.121418826739427
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	219	1304	0.167944785276074
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	1026	6534	0.15702479338843
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	848	3784	0.224101479915433
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	56	2758	0.0203045685279188
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	748	6993	0.106964106964107
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	347	3318	0.104581072935503
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	Pt08_T3	liver metastasis	220	4262	0.0516189582355702
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	Pt08_T4	liver metastasis	53	4096	0.012939453125
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	Pt09_T1	primary tumor	946	4533	0.208691815574675
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	Pt10_T1	primary tumor	1461	6748	0.216508595139301
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	Pt10_T2	liver metastasis	572	7345	0.0778761061946903
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	Pt11_T1	primary tumor	658	6023	0.109247883114727
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	Pt11_T2	liver metastasis	154	4970	0.0309859154929577
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	Pt13_T1	primary tumor	369	3415	0.10805270863836
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	Pt13_Z1	colon adjacent tissue	1954	5547	0.352262484225708
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	Pt15_T1	primary tumor	3008	8355	0.360023937761819
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	Pt15_T2	liver metastasis	37	4698	0.00787569178373776
GSE245552	gse245552_Pt15_Z1_working_qc_sparse_matrix	Pt15_Z1	colon adjacent tissue	63	5170	0.0121856866537718
GSE245552	gse245552_Pt16_T1_working_qc_sparse_matrix	Pt16_T1	liver metastasis	13	347	0.037463976945245
GSE245552	gse245552_Pt16_Z1_working_qc_sparse_matrix	Pt16_Z1	liver adjacent tissue	22	255	0.0862745098039216
GSE245552	gse245552_Pt17_T1_working_qc_sparse_matrix	Pt17_T1	primary tumor	297	1517	0.195781147000659
GSE245552	gse245552_Pt17_T2_working_qc_sparse_matrix	Pt17_T2	liver metastasis	80	1804	0.0443458980044346
GSE245552	gse245552_Pt17_Z1_working_qc_sparse_matrix	Pt17_Z1	colon adjacent tissue	637	3570	0.17843137254902
GSE245552	gse245552_Pt18_T1_working_qc_sparse_matrix	Pt18_T1	primary tumor	170	3264	0.0520833333333333
GSE245552	gse245552_Pt18_T2_working_qc_sparse_matrix	Pt18_T2	liver metastasis	219	4759	0.0460180710233242
GSE245552	gse245552_Pt18_Z1_working_qc_sparse_matrix	Pt18_Z1	colon adjacent tissue	716	2793	0.256355173648407
GSE245552	gse245552_Pt18_Z2_working_qc_sparse_matrix	Pt18_Z2	liver adjacent tissue	219	5952	0.0367943548387097
