member_name	member_size	summary_type	primary_count	secondary_count	third_count	notes
GSM7844812_Pt01_T1_barcodes.tsv.gz	23576	not_parsed				
GSM7844812_Pt01_T1_features.tsv.gz	212926	not_parsed				
GSM7844812_Pt01_T1_matrix.mtx.gz	27818578	matrix_market_dimensions	29569	4593	9178559	
GSM7844813_Pt01_T2_barcodes.tsv.gz	32098	not_parsed				
GSM7844813_Pt01_T2_features.tsv.gz	212926	not_parsed				
GSM7844813_Pt01_T2_matrix.mtx.gz	52007152	matrix_market_dimensions	29569	6464	17134905	
GSM7844814_Pt02_T1_barcodes.tsv.gz	19907	not_parsed				
GSM7844814_Pt02_T1_features.tsv.gz	212926	not_parsed				
GSM7844814_Pt02_T1_matrix.mtx.gz	31382614	matrix_market_dimensions	29569	3704	10375119	
GSM7844815_Pt02_T2_barcodes.tsv.gz	30682	not_parsed				
GSM7844815_Pt02_T2_features.tsv.gz	212926	not_parsed				
GSM7844815_Pt02_T2_matrix.mtx.gz	51413109	matrix_market_dimensions	29569	6243	16964498	
GSM7844816_Pt03_T1_barcodes.tsv.gz	13307	not_parsed				
GSM7844816_Pt03_T1_features.tsv.gz	212926	not_parsed				
GSM7844816_Pt03_T1_matrix.mtx.gz	22749120	matrix_market_dimensions	29569	2526	7553920	
GSM7844817_Pt03_T2_barcodes.tsv.gz	18547	not_parsed				
GSM7844817_Pt03_T2_features.tsv.gz	212926	not_parsed				
GSM7844817_Pt03_T2_matrix.mtx.gz	30016425	matrix_market_dimensions	29569	3693	9903269	
GSM7844818_Pt04_T1_barcodes.tsv.gz	15146	not_parsed				
GSM7844818_Pt04_T1_features.tsv.gz	212926	not_parsed				
GSM7844818_Pt04_T1_matrix.mtx.gz	14724905	matrix_market_dimensions	29569	2775	4827800	
GSM7844819_Pt04_T2_barcodes.tsv.gz	19940	not_parsed				
GSM7844819_Pt04_T2_features.tsv.gz	212926	not_parsed				
GSM7844819_Pt04_T2_matrix.mtx.gz	26197573	matrix_market_dimensions	29569	4111	8644318	
GSM7844820_Pt05_T1_barcodes.tsv.gz	19413	not_parsed				
GSM7844820_Pt05_T1_features.tsv.gz	212926	not_parsed				
GSM7844820_Pt05_T1_matrix.mtx.gz	20246488	matrix_market_dimensions	29569	3842	6545621	
GSM7844821_Pt05_T2_barcodes.tsv.gz	22902	not_parsed				
GSM7844821_Pt05_T2_features.tsv.gz	212926	not_parsed				
GSM7844821_Pt05_T2_matrix.mtx.gz	21369202	matrix_market_dimensions	29569	4447	7013990	
GSM7844822_Pt05_T3_barcodes.tsv.gz	14689	not_parsed				
GSM7844822_Pt05_T3_features.tsv.gz	212926	not_parsed				
GSM7844822_Pt05_T3_matrix.mtx.gz	18536441	matrix_market_dimensions	29569	2981	6100536	
