name	size	is_file
GSM7844812_Pt01_T1_barcodes.tsv.gz	23576	True
GSM7844812_Pt01_T1_features.tsv.gz	212926	True
GSM7844812_Pt01_T1_matrix.mtx.gz	27818578	True
GSM7844813_Pt01_T2_barcodes.tsv.gz	32098	True
GSM7844813_Pt01_T2_features.tsv.gz	212926	True
GSM7844813_Pt01_T2_matrix.mtx.gz	52007152	True
GSM7844814_Pt02_T1_barcodes.tsv.gz	19907	True
GSM7844814_Pt02_T1_features.tsv.gz	212926	True
GSM7844814_Pt02_T1_matrix.mtx.gz	31382614	True
GSM7844815_Pt02_T2_barcodes.tsv.gz	30682	True
GSM7844815_Pt02_T2_features.tsv.gz	212926	True
GSM7844815_Pt02_T2_matrix.mtx.gz	51413109	True
GSM7844816_Pt03_T1_barcodes.tsv.gz	13307	True
GSM7844816_Pt03_T1_features.tsv.gz	212926	True
GSM7844816_Pt03_T1_matrix.mtx.gz	22749120	True
GSM7844817_Pt03_T2_barcodes.tsv.gz	18547	True
GSM7844817_Pt03_T2_features.tsv.gz	212926	True
GSM7844817_Pt03_T2_matrix.mtx.gz	30016425	True
GSM7844818_Pt04_T1_barcodes.tsv.gz	15146	True
GSM7844818_Pt04_T1_features.tsv.gz	212926	True
GSM7844818_Pt04_T1_matrix.mtx.gz	14724905	True
GSM7844819_Pt04_T2_barcodes.tsv.gz	19940	True
GSM7844819_Pt04_T2_features.tsv.gz	212926	True
GSM7844819_Pt04_T2_matrix.mtx.gz	26197573	True
GSM7844820_Pt05_T1_barcodes.tsv.gz	19413	True
GSM7844820_Pt05_T1_features.tsv.gz	212926	True
GSM7844820_Pt05_T1_matrix.mtx.gz	20246488	True
GSM7844821_Pt05_T2_barcodes.tsv.gz	22902	True
GSM7844821_Pt05_T2_features.tsv.gz	212926	True
GSM7844821_Pt05_T2_matrix.mtx.gz	21369202	True
GSM7844822_Pt05_T3_barcodes.tsv.gz	14689	True
GSM7844822_Pt05_T3_features.tsv.gz	212926	True
GSM7844822_Pt05_T3_matrix.mtx.gz	18536441	True
