dataset_id	object_label	sample_label	tissue_site	review_class	cell_count	total_cells	fraction
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	628	14108	0.0445137510632265
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	59	14108	0.00418202438332861
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	6708	14108	0.4754749078537
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		immune_review	6691	14108	0.474269917777148
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		pericyte_review	22	14108	0.00155939892259711
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		caf_ecm_review	374	13106	0.0285365481458874
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		endothelial_review	111	13106	0.00846940332672059
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		epithelial_review	1678	13106	0.128032962002136
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		immune_review	10926	13106	0.833663970700443
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		pericyte_review	17	13106	0.00129711582481306
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		caf_ecm_review	1501	9719	0.154439757176664
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		endothelial_review	121	9719	0.0124498405185719
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		epithelial_review	409	9719	0.042082518777652
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		immune_review	7632	9719	0.785265973865624
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		pericyte_review	56	9719	0.00576190966148781
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		caf_ecm_review	108	2561	0.0421710269426005
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		endothelial_review	13	2561	0.0050761421319797
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		epithelial_review	232	2561	0.090589613432253
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		immune_review	2166	2561	0.845763373682155
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		pericyte_review	42	2561	0.0163998438110113
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		caf_ecm_review	1329	12382	0.107333225650137
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		endothelial_review	89	12382	0.007187853335487
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		epithelial_review	18	12382	0.00145372314650299
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		immune_review	10886	12382	0.879179454046196
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		pericyte_review	60	12382	0.00484574382167663
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		caf_ecm_review	368	3159	0.116492560937005
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		endothelial_review	65	3159	0.0205761316872428
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		epithelial_review	488	3159	0.154479265590377
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		immune_review	2200	3159	0.696422918645141
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		pericyte_review	38	3159	0.0120291231402343
GSE178318	gse178318_working_qc_sparse_matrix	COL15_LM		caf_ecm_review	517	7930	0.0651954602774275
GSE178318	gse178318_working_qc_sparse_matrix	COL15_LM		endothelial_review	66	7930	0.00832282471626734
GSE178318	gse178318_working_qc_sparse_matrix	COL15_LM		epithelial_review	1143	7930	0.144136191677175
GSE178318	gse178318_working_qc_sparse_matrix	COL15_LM		immune_review	6058	7930	0.763934426229508
GSE178318	gse178318_working_qc_sparse_matrix	COL15_LM		pericyte_review	146	7930	0.0184110970996217
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		caf_ecm_review	201	4865	0.0413155190133607
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		endothelial_review	34	4865	0.00698869475847893
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		epithelial_review	1885	4865	0.387461459403905
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		immune_review	2738	4865	0.562795477903392
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		pericyte_review	7	4865	0.00143884892086331
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		caf_ecm_review	262	7946	0.0329725648124843
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		endothelial_review	30	7946	0.00377548452051347
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		epithelial_review	291	7946	0.0366221998489806
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		immune_review	7336	7946	0.92323181474956
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		pericyte_review	27	7946	0.00339793606846212
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		caf_ecm_review	1165	8421	0.138344614653842
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		endothelial_review	355	8421	0.0421565134782092
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		epithelial_review	195	8421	0.023156394727467
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		immune_review	6631	8421	0.787436171476072
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		pericyte_review	75	8421	0.0089063056644104
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		caf_ecm_review	755	9582	0.0787935712794824
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		endothelial_review	109	9582	0.0113754957211438
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		epithelial_review	105	9582	0.0109580463368817
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		immune_review	8556	9582	0.892924232936756
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		pericyte_review	57	9582	0.00594865372573575
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		caf_ecm_review	795	6679	0.119029794879473
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		endothelial_review	68	6679	0.0101811648450367
