dataset_id	object_label	object_path	file_size_bytes	cells
GSE178318	gse178318_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse178318_working_qc_sparse_matrix_stromal_first_pass_review.rds	2211057	126303
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt01_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	75293	3854
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt01_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	130533	6002
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt02_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	69296	3269
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt02_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	121039	5969
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt03_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	46076	2220
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt03_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	65948	3218
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt04_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	31758	1997
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt04_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	69747	3389
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt05_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	36220	1971
