dataset_id	cluster	marker_rows	top_gene	max_score
GSE178318	0	1110	FGFBP2	7.36240465389114
GSE178318	1	508	RP5-887A10.1	4.77986417786022
GSE178318	2	738	ICOS	3.35151406844351
GSE178318	3	353	IGLL5	8.06731706528897
GSE178318	4	3887	OMD	12.2992803473079
GSE178318	5	446	HSPA6	4.65292673185311
GSE178318	6	560	TCL1B	6.865098732819
GSE178318	7	1328	MIR3945HG	7.24558699530414
GSE178318	8	488	ADTRP	4.44670337844416
GSE178318	9	2441	OR51E1	11.1027936133549
GSE178318	10	1059	ADCYAP1	13.2030482689179
GSE178318	11	3447	SOX17	12.9350572143693
GSE178318	12	1633	RP11-73G16.2	11.8794316333266
GSE178318	13	1025	HJURP	8.25932409876467
GSE178318	14	907	RBFOX3	6.23660686950527
GSE245552	0	238	IGKV3OR2-268	5.22027613569812
GSE245552	1	636	DNAAF1	3.19445167160476
GSE245552	9	1804	TREM2	10.0349061216497
GSE245552	10	1783	PI3	10.462671942048
GSE245552	15	1104	MT-CO1	24.2992004704595
