dataset_id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	marker_rank
GSE178318	0	7.36240465389114	0.843	0.018	0	0	FGFBP2	1
GSE178318	0	6.27005552725926	0.643	0.016	0	0	KLRF1	2
GSE178318	0	6.26414866090344	0.163	0.003	0	0	KIR3DL2	3
GSE178318	0	5.84053379099545	0.31	0.007	0	0	S1PR5	4
GSE178318	0	5.61653105839511	0.228	0.005	0	0	CD160	5
GSE178318	0	5.44449010212854	0.281	0.012	0	0	ADGRG1	6
GSE178318	0	5.38235744326635	0.808	0.047	0	0	PRF1	7
GSE178318	0	5.37765515332584	0.237	0.009	0	0	KLRC2	8
GSE178318	0	5.06493163584006	0.763	0.044	0	0	FCGR3A	9
GSE178318	0	5.05869460556497	0.284	0.009	0	0	FCRL6	10
GSE178318	0	4.76287579085856	0.957	0.135	0	0	GNLY	11
GSE178318	0	4.72282603512331	0.998	0.242	0	0	NKG7	12
GSE178318	0	4.61876809130483	0.685	0.035	0	0	TRDC	13
GSE178318	0	4.60273287382668	0.868	0.058	0	0	KLRD1	14
GSE178318	0	4.47283197643668	0.27	0.03	0	0	TTC38	15
GSE178318	0	4.37783168336283	0.876	0.105	0	0	GZMH	16
GSE178318	4.620274519991e-269	4.35543732671346	0.154	0.01	1.55518440342897e-264	0	CD244	17
GSE178318	3.34811792470779e-280	4.08413118852808	0.169	0.012	1.12697649345664e-275	0	PTGDR	18
GSE178318	0	3.94253335046357	0.228	0.018	0	0	AOAH	19
GSE178318	2.04252296011766e-282	3.8713803194856	0.209	0.026	6.87513228375605e-278	0	GTF3C1	20
GSE178318	0	3.81220415129793	0.83	0.168	0	0	CMC1	21
GSE178318	3.26090064021478e-142	3.80443012745715	0.11	0.014	1.0976191554963e-137	0	ASCL2	22
GSE178318	0	3.77788754656503	0.768	0.099	0	0	CTSW	23
GSE178318	0	3.7703052995247	0.295	0.025	0	0	LAIR2	24
GSE178318	0	3.64222717143204	0.674	0.097	0	0	CD247	25
GSE178318	1.27339649736497e-125	3.62296095858976	0.106	0.015	4.28625261013049e-121	0	GK5	26
GSE178318	1.3724950017729e-237	3.55070860384816	0.184	0.024	4.61981817596759e-233	0	CEP78	27
GSE178318	0	3.5319088718374	0.236	0.03	0	0	FGR	28
GSE178318	0	3.48541279101534	0.942	0.192	0	0	CST7	29
GSE178318	1.10403385049157e-185	3.47509080397855	0.119	0.01	3.71617794075462e-181	0	DTHD1	30
GSE178318	2.54075041357233e-261	3.45923758186126	0.19	0.022	8.55216589208445e-257	0	TXK	31
GSE178318	0	3.43289350898149	0.511	0.069	0	0	CLIC3	32
GSE178318	0	3.34239014028155	0.392	0.045	0	0	MATK	33
GSE178318	0	3.19160536866006	0.92	0.121	0	0	GZMB	34
