dataset_id	main_cluster	review_class	N
GSE178318	2	caf_ecm_review	1921
GSE178318	10	caf_ecm_review	308
GSE178318	1	caf_ecm_review	2204
GSE178318	0	caf_ecm_review	2454
GSE178318	4	caf_ecm_review	1019
GSE178318	9	pericyte_review	290
GSE178318	2	endothelial_review	160
GSE178318	3	endothelial_review	651
GSE178318	8	caf_ecm_review	392
GSE178318	7	pericyte_review	13
GSE178318	3	caf_ecm_review	827
GSE178318	7	caf_ecm_review	347
GSE178318	12	caf_ecm_review	151
GSE178318	2	pericyte_review	113
GSE178318	8	pericyte_review	16
GSE178318	11	endothelial_review	199
GSE178318	12	endothelial_review	50
GSE178318	13	endothelial_review	9
GSE178318	13	caf_ecm_review	58
GSE178318	6	caf_ecm_review	533
GSE178318	9	caf_ecm_review	132
GSE178318	7	endothelial_review	103
GSE178318	8	endothelial_review	54
GSE178318	13	pericyte_review	7
GSE178318	1	pericyte_review	41
GSE178318	1	endothelial_review	50
GSE178318	5	caf_ecm_review	753
GSE178318	0	pericyte_review	188
GSE178318	3	pericyte_review	64
GSE178318	0	endothelial_review	147
GSE178318	6	pericyte_review	8
GSE178318	10	endothelial_review	13
GSE178318	14	caf_ecm_review	7
GSE178318	5	endothelial_review	92
GSE178318	10	pericyte_review	7
GSE178318	6	endothelial_review	38
GSE178318	5	pericyte_review	51
GSE178318	14	pericyte_review	5
GSE178318	14	endothelial_review	4
GSE178318	4	pericyte_review	1
GSE178318	11	pericyte_review	17
GSE178318	11	caf_ecm_review	21
GSE178318	12	pericyte_review	1
GSE245552	9	caf_ecm_review	489
GSE245552	17	endothelial_review	49
GSE245552	6	caf_ecm_review	1009
GSE245552	6	endothelial_review	102
GSE245552	9	endothelial_review	186
GSE245552	14	caf_ecm_review	115
GSE245552	7	caf_ecm_review	709
GSE245552	7	pericyte_review	83
GSE245552	7	endothelial_review	222
GSE245552	0	endothelial_review	3856
GSE245552	1	endothelial_review	2859
GSE245552	1	caf_ecm_review	3164
GSE245552	0	caf_ecm_review	3435
GSE245552	0	pericyte_review	73
GSE245552	1	pericyte_review	74
GSE245552	6	pericyte_review	36
GSE245552	8	caf_ecm_review	631
GSE245552	8	endothelial_review	40
GSE245552	3	pericyte_review	2337
GSE245552	2	caf_ecm_review	2985
GSE245552	11	caf_ecm_review	468
GSE245552	4	endothelial_review	1801
GSE245552	4	caf_ecm_review	18
GSE245552	5	caf_ecm_review	1329
GSE245552	16	caf_ecm_review	70
GSE245552	4	pericyte_review	48
GSE245552	14	endothelial_review	62
GSE245552	10	caf_ecm_review	350
GSE245552	3	caf_ecm_review	423
GSE245552	12	endothelial_review	402
GSE245552	17	caf_ecm_review	15
GSE245552	8	pericyte_review	19
GSE245552	16	pericyte_review	28
GSE245552	10	pericyte_review	1
GSE245552	10	endothelial_review	259
GSE245552	2	pericyte_review	18
GSE245552	5	pericyte_review	10
GSE245552	14	pericyte_review	6
GSE245552	12	pericyte_review	9
GSE245552	12	caf_ecm_review	10
GSE245552	15	caf_ecm_review	104
GSE245552	13	caf_ecm_review	374
GSE245552	11	pericyte_review	2
GSE245552	9	pericyte_review	3
GSE245552	11	endothelial_review	1
GSE245552	3	endothelial_review	3
GSE245552	17	pericyte_review	1
