dataset_id	main_cluster	sample_label	N
GSE178318	2	COL07_CRC	192
GSE178318	10	COL07_CRC	39
GSE178318	1	COL07_CRC	118
GSE178318	0	COL07_CRC	23
GSE178318	4	COL07_CRC	154
GSE178318	9	COL07_CRC	13
GSE178318	3	COL07_CRC	39
GSE178318	8	COL07_CRC	23
GSE178318	7	COL07_CRC	54
GSE178318	12	COL07_CRC	21
GSE178318	11	COL07_CRC	10
GSE178318	13	COL07_CRC	15
GSE178318	6	COL07_CRC	7
GSE178318	5	COL07_CRC	1
GSE178318	2	COL07_LM	227
GSE178318	3	COL07_LM	122
GSE178318	12	COL07_LM	42
GSE178318	1	COL07_LM	46
GSE178318	13	COL07_LM	12
GSE178318	0	COL07_LM	18
GSE178318	8	COL07_LM	7
GSE178318	7	COL07_LM	13
GSE178318	5	COL07_LM	3
GSE178318	4	COL07_LM	6
GSE178318	10	COL07_LM	3
GSE178318	11	COL07_LM	2
GSE178318	9	COL07_LM	1
GSE178318	3	COL12_CRC	93
GSE178318	1	COL12_CRC	521
GSE178318	0	COL12_CRC	259
GSE178318	7	COL12_CRC	56
GSE178318	2	COL12_CRC	268
GSE178318	4	COL12_CRC	314
GSE178318	6	COL12_CRC	34
GSE178318	13	COL12_CRC	17
GSE178318	10	COL12_CRC	38
GSE178318	9	COL12_CRC	28
GSE178318	5	COL12_CRC	12
GSE178318	11	COL12_CRC	18
GSE178318	8	COL12_CRC	15
GSE178318	12	COL12_CRC	4
GSE178318	14	COL12_CRC	1
GSE178318	5	COL12_LM	36
GSE178318	13	COL12_LM	7
GSE178318	0	COL12_LM	55
GSE178318	2	COL12_LM	29
GSE178318	9	COL12_LM	17
GSE178318	7	COL12_LM	2
GSE178318	6	COL12_LM	2
GSE178318	1	COL12_LM	6
GSE178318	11	COL12_LM	4
GSE178318	8	COL12_LM	1
GSE178318	4	COL12_LM	3
GSE178318	10	COL12_LM	1
GSE178318	0	COL12_PBMC	711
GSE178318	8	COL12_PBMC	243
GSE178318	1	COL12_PBMC	79
GSE178318	6	COL12_PBMC	399
GSE178318	2	COL12_PBMC	13
GSE178318	3	COL12_PBMC	15
GSE178318	14	COL12_PBMC	12
GSE178318	12	COL12_PBMC	2
GSE178318	7	COL12_PBMC	3
GSE178318	13	COL12_PBMC	1
GSE178318	0	COL15_CRC	25
GSE178318	1	COL15_CRC	40
GSE178318	4	COL15_CRC	149
GSE178318	2	COL15_CRC	102
GSE178318	11	COL15_CRC	24
GSE178318	12	COL15_CRC	9
GSE178318	10	COL15_CRC	33
GSE178318	9	COL15_CRC	23
GSE178318	3	COL15_CRC	34
GSE178318	7	COL15_CRC	21
GSE178318	5	COL15_CRC	8
GSE178318	13	COL15_CRC	1
GSE178318	8	COL15_CRC	2
GSE178318	0	COL15_LM	120
GSE178318	9	COL15_LM	145
GSE178318	7	COL15_LM	151
GSE178318	2	COL15_LM	208
GSE178318	12	COL15_LM	16
GSE178318	1	COL15_LM	36
GSE178318	5	COL15_LM	2
GSE178318	10	COL15_LM	6
GSE178318	4	COL15_LM	13
GSE178318	11	COL15_LM	20
GSE178318	3	COL15_LM	8
GSE178318	8	COL15_LM	3
GSE178318	13	COL15_LM	1
GSE178318	4	COL16_CRC	44
GSE178318	1	COL16_CRC	41
GSE178318	7	COL16_CRC	46
GSE178318	5	COL16_CRC	19
GSE178318	11	COL16_CRC	16
GSE178318	2	COL16_CRC	45
GSE178318	10	COL16_CRC	3
GSE178318	12	COL16_CRC	10
GSE178318	0	COL16_CRC	11
GSE178318	9	COL16_CRC	5
GSE178318	8	COL16_CRC	1
GSE178318	3	COL16_CRC	1
GSE178318	5	COL16_LM	145
GSE178318	0	COL16_LM	52
GSE178318	9	COL16_LM	13
GSE178318	2	COL16_LM	47
GSE178318	13	COL16_LM	6
GSE178318	3	COL16_LM	10
GSE178318	1	COL16_LM	19
GSE178318	7	COL16_LM	23
GSE178318	10	COL16_LM	2
GSE178318	12	COL16_LM	2
GSE178318	2	COL17_CRC	305
GSE178318	3	COL17_CRC	655
GSE178318	1	COL17_CRC	299
GSE178318	4	COL17_CRC	45
GSE178318	11	COL17_CRC	58
GSE178318	5	COL17_CRC	4
GSE178318	12	COL17_CRC	54
GSE178318	10	COL17_CRC	40
GSE178318	9	COL17_CRC	13
GSE178318	8	COL17_CRC	7
GSE178318	0	COL17_CRC	94
GSE178318	7	COL17_CRC	18
GSE178318	6	COL17_CRC	2
GSE178318	13	COL17_CRC	1
GSE178318	3	COL17_LM	59
GSE178318	2	COL17_LM	90
GSE178318	0	COL17_LM	17
GSE178318	5	COL17_LM	626
GSE178318	1	COL17_LM	52
GSE178318	4	COL17_LM	41
GSE178318	11	COL17_LM	4
GSE178318	7	COL17_LM	12
GSE178318	13	COL17_LM	2
GSE178318	10	COL17_LM	5
GSE178318	9	COL17_LM	12
GSE178318	12	COL17_LM	1
GSE178318	0	COL17_PBMC	625
GSE178318	8	COL17_PBMC	119
GSE178318	1	COL17_PBMC	48
GSE178318	14	COL17_PBMC	2
GSE178318	3	COL17_PBMC	18
GSE178318	6	COL17_PBMC	81
GSE178318	2	COL17_PBMC	5
GSE178318	12	COL17_PBMC	1
GSE178318	1	COL18_CRC	794
GSE178318	0	COL18_CRC	71
GSE178318	3	COL18_CRC	430
GSE178318	12	COL18_CRC	26
GSE178318	9	COL18_CRC	94
GSE178318	2	COL18_CRC	171
GSE178318	11	COL18_CRC	47
GSE178318	10	COL18_CRC	147
GSE178318	4	COL18_CRC	216
GSE178318	5	COL18_CRC	12
GSE178318	7	COL18_CRC	29
GSE178318	13	COL18_CRC	4
GSE178318	6	COL18_CRC	1
GSE178318	8	COL18_CRC	1
GSE178318	2	COL18_LM	484
GSE178318	3	COL18_LM	49
GSE178318	0	COL18_LM	62
GSE178318	1	COL18_LM	127
GSE178318	12	COL18_LM	12
GSE178318	4	COL18_LM	35
GSE178318	9	COL18_LM	58
GSE178318	7	COL18_LM	15
GSE178318	5	COL18_LM	28
GSE178318	11	COL18_LM	34
GSE178318	10	COL18_LM	11
GSE178318	13	COL18_LM	3
GSE178318	8	COL18_LM	1
GSE178318	0	COL18_PBMC	646
GSE178318	6	COL18_PBMC	53
GSE178318	8	COL18_PBMC	39
GSE178318	1	COL18_PBMC	69
GSE178318	7	COL18_PBMC	20
GSE178318	2	COL18_PBMC	8
GSE178318	14	COL18_PBMC	1
GSE178318	13	COL18_PBMC	4
GSE178318	3	COL18_PBMC	9
GSE178318	12	COL18_PBMC	2
GSE245552	9	Pt01_T1	6
GSE245552	17	Pt01_T1	12
GSE245552	6	Pt01_T1	36
GSE245552	14	Pt01_T1	7
GSE245552	7	Pt01_T1	15
GSE245552	0	Pt01_T1	180
GSE245552	1	Pt01_T1	265
GSE245552	8	Pt01_T1	27
GSE245552	3	Pt01_T1	10
GSE245552	2	Pt01_T1	60
GSE245552	11	Pt01_T1	2
GSE245552	4	Pt01_T1	17
GSE245552	5	Pt01_T1	4
GSE245552	16	Pt01_T1	1
GSE245552	9	Pt01_T2	12
GSE245552	6	Pt01_T2	4
GSE245552	17	Pt01_T2	5
GSE245552	7	Pt01_T2	26
GSE245552	14	Pt01_T2	16
GSE245552	1	Pt01_T2	432
GSE245552	0	Pt01_T2	174
GSE245552	10	Pt01_T2	2
GSE245552	8	Pt01_T2	24
GSE245552	5	Pt01_T2	109
GSE245552	3	Pt01_T2	120
GSE245552	4	Pt01_T2	34
GSE245552	12	Pt01_T2	5
GSE245552	2	Pt01_T2	2
GSE245552	17	Pt02_T1	4
GSE245552	6	Pt02_T1	8
GSE245552	9	Pt02_T1	1
GSE245552	7	Pt02_T1	5
GSE245552	0	Pt02_T1	313
GSE245552	1	Pt02_T1	174
GSE245552	10	Pt02_T1	2
GSE245552	8	Pt02_T1	44
GSE245552	2	Pt02_T1	365
GSE245552	4	Pt02_T1	171
GSE245552	3	Pt02_T1	140
GSE245552	16	Pt02_T1	32
GSE245552	14	Pt02_T1	11
GSE245552	17	Pt02_T2	6
GSE245552	9	Pt02_T2	10
GSE245552	6	Pt02_T2	4
GSE245552	7	Pt02_T2	66
GSE245552	1	Pt02_T2	21
GSE245552	0	Pt02_T2	15
GSE245552	10	Pt02_T2	1
GSE245552	8	Pt02_T2	23
GSE245552	4	Pt02_T2	73
GSE245552	3	Pt02_T2	326
GSE245552	5	Pt02_T2	40
GSE245552	16	Pt02_T2	7
GSE245552	12	Pt02_T2	13
GSE245552	14	Pt02_T2	1
GSE245552	9	Pt03_T1	15
GSE245552	7	Pt03_T1	3
GSE245552	0	Pt03_T1	79
GSE245552	1	Pt03_T1	27
GSE245552	6	Pt03_T1	4
GSE245552	8	Pt03_T1	11
GSE245552	2	Pt03_T1	25
GSE245552	3	Pt03_T1	9
GSE245552	4	Pt03_T1	5
GSE245552	16	Pt03_T1	2
GSE245552	9	Pt03_T2	48
GSE245552	0	Pt03_T2	3
GSE245552	14	Pt03_T2	1
GSE245552	1	Pt03_T2	3
GSE245552	7	Pt03_T2	11
GSE245552	6	Pt03_T2	1
GSE245552	5	Pt03_T2	19
GSE245552	3	Pt03_T2	15
GSE245552	4	Pt03_T2	12
GSE245552	2	Pt03_T2	2
GSE245552	8	Pt04_T1	59
GSE245552	9	Pt04_T1	2
GSE245552	14	Pt04_T1	3
GSE245552	7	Pt04_T1	5
GSE245552	1	Pt04_T1	248
GSE245552	0	Pt04_T1	180
GSE245552	6	Pt04_T1	26
GSE245552	10	Pt04_T1	24
GSE245552	2	Pt04_T1	54
GSE245552	11	Pt04_T1	23
GSE245552	4	Pt04_T1	19
GSE245552	3	Pt04_T1	16
GSE245552	16	Pt04_T1	2
GSE245552	5	Pt04_T1	2
GSE245552	9	Pt04_T2	9
GSE245552	7	Pt04_T2	6
GSE245552	1	Pt04_T2	11
GSE245552	0	Pt04_T2	1
GSE245552	6	Pt04_T2	2
GSE245552	10	Pt04_T2	5
GSE245552	8	Pt04_T2	10
GSE245552	5	Pt04_T2	152
GSE245552	3	Pt04_T2	59
GSE245552	4	Pt04_T2	5
GSE245552	16	Pt04_T2	1
GSE245552	9	Pt05_T1	5
GSE245552	17	Pt05_T1	1
GSE245552	7	Pt05_T1	4
GSE245552	14	Pt05_T1	1
GSE245552	0	Pt05_T1	33
GSE245552	6	Pt05_T1	7
GSE245552	1	Pt05_T1	32
GSE245552	10	Pt05_T1	173
GSE245552	4	Pt05_T1	11
GSE245552	2	Pt05_T1	1
GSE245552	5	Pt05_T1	1
GSE245552	17	Pt05_T2	3
GSE245552	9	Pt05_T2	3
GSE245552	7	Pt05_T2	12
GSE245552	14	Pt05_T2	1
GSE245552	0	Pt05_T2	52
GSE245552	1	Pt05_T2	66
GSE245552	6	Pt05_T2	24
GSE245552	10	Pt05_T2	228
GSE245552	5	Pt05_T2	15
GSE245552	4	Pt05_T2	8
GSE245552	3	Pt05_T2	19
GSE245552	12	Pt05_T2	15
GSE245552	17	Pt05_T3	1
GSE245552	7	Pt05_T3	2
GSE245552	1	Pt05_T3	28
GSE245552	0	Pt05_T3	27
GSE245552	4	Pt05_T3	3
GSE245552	3	Pt05_T3	1
GSE245552	14	Pt06_T1	5
GSE245552	7	Pt06_T1	1
GSE245552	1	Pt06_T1	14
GSE245552	6	Pt06_T1	6
GSE245552	0	Pt06_T1	19
GSE245552	2	Pt06_T1	58
