dataset_id	main_cluster	top_marker_program	N
GSE178318	2	fibroblast_ecm	1820
GSE178318	10	fibroblast_ecm	287
GSE178318	1	fibroblast_ecm	2061
GSE178318	0	fibroblast_ecm	2328
GSE178318	4	fibroblast_ecm	951
GSE178318	9	pericyte_like	290
GSE178318	2	endothelial	160
GSE178318	3	endothelial	651
GSE178318	8	fibroblast_ecm	378
GSE178318	7	pericyte_like	13
GSE178318	3	fibroblast_ecm	735
GSE178318	4	inflammatory_caf	66
GSE178318	2	caf_activation	50
GSE178318	7	fibroblast_ecm	172
GSE178318	7	inflammatory_caf	170
GSE178318	12	fibroblast_ecm	143
GSE178318	2	pericyte_like	113
GSE178318	8	pericyte_like	16
GSE178318	11	endothelial	199
GSE178318	12	endothelial	50
GSE178318	3	inflammatory_caf	55
GSE178318	13	endothelial	9
GSE178318	13	fibroblast_ecm	53
GSE178318	6	fibroblast_ecm	450
GSE178318	9	fibroblast_ecm	76
GSE178318	7	endothelial	103
GSE178318	1	inflammatory_caf	96
GSE178318	2	inflammatory_caf	51
GSE178318	8	endothelial	54
GSE178318	4	caf_activation	2
GSE178318	13	pericyte_like	7
GSE178318	9	caf_activation	55
GSE178318	0	caf_activation	88
GSE178318	1	pericyte_like	41
GSE178318	1	endothelial	50
GSE178318	3	caf_activation	37
GSE178318	5	fibroblast_ecm	702
GSE178318	10	inflammatory_caf	17
GSE178318	0	pericyte_like	188
GSE178318	12	caf_activation	2
GSE178318	13	caf_activation	3
GSE178318	3	pericyte_like	64
GSE178318	1	caf_activation	47
GSE178318	0	endothelial	147
GSE178318	6	pericyte_like	8
GSE178318	6	inflammatory_caf	79
GSE178318	10	endothelial	13
GSE178318	0	inflammatory_caf	38
GSE178318	14	fibroblast_ecm	4
GSE178318	5	endothelial	92
GSE178318	6	caf_activation	4
GSE178318	10	pericyte_like	7
GSE178318	13	inflammatory_caf	2
GSE178318	8	caf_activation	4
GSE178318	7	caf_activation	5
GSE178318	6	endothelial	38
GSE178318	9	inflammatory_caf	1
GSE178318	5	pericyte_like	51
GSE178318	5	inflammatory_caf	21
GSE178318	8	inflammatory_caf	10
GSE178318	14	pericyte_like	5
GSE178318	14	endothelial	4
GSE178318	14	inflammatory_caf	2
GSE178318	14	caf_activation	1
GSE178318	10	caf_activation	4
GSE178318	12	inflammatory_caf	6
GSE178318	4	pericyte_like	1
GSE178318	11	pericyte_like	17
GSE178318	11	fibroblast_ecm	12
GSE178318	11	inflammatory_caf	4
GSE178318	5	caf_activation	30
GSE178318	11	caf_activation	5
GSE178318	12	pericyte_like	1
GSE245552	9	fibroblast_ecm	119
GSE245552	17	endothelial	49
GSE245552	6	fibroblast_ecm	917
GSE245552	6	endothelial	102
GSE245552	9	endothelial	186
GSE245552	14	fibroblast_ecm	100
GSE245552	7	fibroblast_ecm	671
GSE245552	7	caf_activation	12
GSE245552	7	pericyte_like	83
GSE245552	7	endothelial	222
GSE245552	0	endothelial	3856
GSE245552	1	endothelial	2859
GSE245552	1	fibroblast_ecm	3001
GSE245552	0	fibroblast_ecm	3229
GSE245552	0	pericyte_like	73
GSE245552	1	pericyte_like	74
GSE245552	0	caf_activation	61
GSE245552	6	pericyte_like	36
GSE245552	1	caf_activation	58
GSE245552	1	inflammatory_caf	105
GSE245552	6	caf_activation	39
GSE245552	0	inflammatory_caf	145
GSE245552	8	fibroblast_ecm	588
GSE245552	8	endothelial	40
GSE245552	8	inflammatory_caf	29
GSE245552	3	pericyte_like	2337
GSE245552	2	fibroblast_ecm	2919
GSE245552	11	fibroblast_ecm	176
GSE245552	4	endothelial	1801
GSE245552	4	fibroblast_ecm	12
GSE245552	5	fibroblast_ecm	1303
GSE245552	2	inflammatory_caf	55
GSE245552	16	fibroblast_ecm	69
GSE245552	4	pericyte_like	48
GSE245552	9	inflammatory_caf	360
GSE245552	14	inflammatory_caf	10
GSE245552	14	endothelial	62
GSE245552	10	fibroblast_ecm	306
GSE245552	3	fibroblast_ecm	385
GSE245552	12	endothelial	402
GSE245552	5	caf_activation	21
GSE245552	17	fibroblast_ecm	13
GSE245552	8	pericyte_like	19
GSE245552	16	pericyte_like	28
GSE245552	17	caf_activation	1
GSE245552	7	inflammatory_caf	26
GSE245552	10	pericyte_like	1
GSE245552	8	caf_activation	14
GSE245552	9	caf_activation	10
GSE245552	3	caf_activation	35
GSE245552	14	caf_activation	5
GSE245552	6	inflammatory_caf	53
GSE245552	10	endothelial	259
GSE245552	2	pericyte_like	18
GSE245552	11	inflammatory_caf	129
GSE245552	11	caf_activation	163
GSE245552	10	inflammatory_caf	40
GSE245552	4	inflammatory_caf	3
GSE245552	10	caf_activation	4
GSE245552	5	pericyte_like	10
GSE245552	14	pericyte_like	6
GSE245552	2	caf_activation	11
GSE245552	16	inflammatory_caf	1
GSE245552	4	caf_activation	3
GSE245552	12	pericyte_like	9
GSE245552	5	inflammatory_caf	5
GSE245552	12	fibroblast_ecm	6
GSE245552	15	fibroblast_ecm	98
GSE245552	15	inflammatory_caf	4
GSE245552	15	caf_activation	2
GSE245552	13	fibroblast_ecm	372
GSE245552	11	pericyte_like	2
GSE245552	9	pericyte_like	3
GSE245552	11	endothelial	1
GSE245552	3	endothelial	3
GSE245552	3	inflammatory_caf	3
GSE245552	12	inflammatory_caf	4
GSE245552	13	inflammatory_caf	2
GSE245552	17	inflammatory_caf	1
GSE245552	17	pericyte_like	1
