dataset_id	main_cluster	N	fraction
GSE178318	2	2194	0.162290110215253
GSE178318	10	328	0.0242621495672757
GSE178318	1	2295	0.169761077002737
GSE178318	0	2789	0.206302241290036
GSE178318	4	1020	0.075449367556772
GSE178318	9	422	0.0312153265774096
GSE178318	3	1542	0.114061690953473
GSE178318	8	462	0.0341741253051261
GSE178318	7	463	0.034248095273319
GSE178318	12	202	0.0149419335749686
GSE178318	11	237	0.0175308824617205
GSE178318	13	74	0.00547377764627561
GSE178318	6	579	0.042828611583697
GSE178318	5	896	0.0662770915008507
GSE178318	14	16	0.00118351949108662
GSE245552	9	678	0.0239677601809955
GSE245552	17	65	0.00229779411764706
GSE245552	6	1147	0.0405472285067873
GSE245552	14	183	0.0064691742081448
GSE245552	7	1014	0.0358455882352941
GSE245552	0	7364	0.260322398190045
GSE245552	1	6097	0.215533088235294
GSE245552	8	690	0.0243919683257919
GSE245552	3	2763	0.0976739253393665
GSE245552	2	3003	0.106158088235294
GSE245552	11	471	0.0166501696832579
GSE245552	4	1867	0.0659997171945701
GSE245552	5	1339	0.0473345588235294
GSE245552	16	98	0.0034643665158371
GSE245552	10	610	0.0215639140271493
GSE245552	12	421	0.0148826357466063
GSE245552	15	104	0.00367647058823529
GSE245552	13	374	0.0132211538461538
