p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	marker_rank
5.87800656036258e-158	3.35151406844351	0.161	0.028	1.97853700821804e-153	2	ICOS	1
0	3.05791752120376	0.438	0.097	0	2	GZMK	2
3.07729001165995e-87	2.81468901153504	0.122	0.029	1.03581581792474e-82	2	TNFRSF25	3
0	2.7601657681535	0.443	0.108	0	2	IL7R	4
1.78163064495979e-21	2.57559989302895	0.13	0.076	5.99696875093467e-17	2	TNFRSF4	5
2.10508142109059e-190	2.56845705515596	0.27	0.07	7.08570406339094e-186	2	CD3G	6
1.85874692317939e-118	2.51762731259806	0.168	0.041	6.25654214342182e-114	2	TRAT1	7
9.09173004023687e-65	2.45005493937801	0.118	0.035	3.06027633154373e-60	2	BCL11B	8
1.98140095466398e-78	2.43295467467187	0.136	0.039	6.66939561339895e-74	2	CD8B	9
0	2.36136035859313	0.623	0.237	0	2	TRAC	10
4.89894621092468e-300	13.2030482689179	0.104	0	1.64898529459725e-295	10	ADCYAP1	1
0	12.8905120509554	0.122	0	0	10	CMA1	2
0	12.1802699428217	0.988	0.014	0	10	TPSAB1	3
0	11.9478044983792	0.238	0	0	10	GCSAML	4
0	11.8715934922298	0.14	0	0	10	TPSG1	5
0	11.5309330992053	0.997	0.049	0	10	TPSB2	6
0	11.509059513514	0.991	0.005	0	10	CPA3	7
0	11.3749273468108	0.363	0.002	0	10	CTSG	8
0	11.0268528629119	0.848	0.002	0	10	MS4A2	9
0	10.5739865748974	0.375	0	0	10	AC004791.2	10
0	4.77986417786022	0.245	0.027	0	1	RP5-887A10.1	1
0	4.34568021177627	0.53	0.037	0	1	BANK1	2
7.16079954496624e-226	4.07307065425842	0.139	0.01	2.41032512683564e-221	1	CXCR5	3
0	4.03854596995061	0.282	0.027	0	1	BLK	4
1.93034920080044e-285	3.99617531931203	0.224	0.029	6.49755540989429e-281	1	ARHGAP24	5
2.63546485146386e-186	3.989748411499	0.193	0.036	8.87097469002736e-182	1	TNFRSF13B	6
5.73440934411226e-190	3.87677710409987	0.124	0.01	1.93020218522819e-185	1	SCIMP	7
2.54841011072154e-160	3.7030800941244	0.108	0.009	8.57794843268871e-156	1	AC079767.4	8
0	3.65498545375659	0.654	0.055	0	1	MS4A1	9
2.87393703719109e-244	3.53450099562581	0.234	0.04	9.67367206718521e-240	1	CD19	10
0	7.36240465389114	0.843	0.018	0	0	FGFBP2	1
0	6.27005552725926	0.643	0.016	0	0	KLRF1	2
0	6.26414866090344	0.163	0.003	0	0	KIR3DL2	3
0	5.84053379099545	0.31	0.007	0	0	S1PR5	4
0	5.61653105839511	0.228	0.005	0	0	CD160	5
0	5.44449010212854	0.281	0.012	0	0	ADGRG1	6
0	5.38235744326635	0.808	0.047	0	0	PRF1	7
0	5.37765515332584	0.237	0.009	0	0	KLRC2	8
0	5.06493163584006	0.763	0.044	0	0	FCGR3A	9
0	5.05869460556497	0.284	0.009	0	0	FCRL6	10
0	12.2992803473079	0.275	0	0	4	OMD	1
0	12.1783323884309	0.166	0	0	4	C16orf89	2
0	10.1025056134419	0.231	0.001	0	4	CCL11	3
0	9.85239545440423	0.709	0.009	0	4	SFRP2	4
0	9.78490626262279	0.349	0.005	0	4	PLA2G2A	5
0	9.65619284781	0.895	0.01	0	4	FBLN1	6
0	9.54818373775238	0.426	0.002	0	4	DPT	7
0	9.47851412018974	0.557	0.004	0	4	SFRP4	8
0	9.46081532359004	0.153	0	0	4	WNT2	9
0	9.2817480487439	0.281	0	0	4	CILP	10
0	11.1027936133549	0.133	0	0	9	OR51E1	1
0	10.9996044591365	0.249	0	0	9	GPR20	2
2.57530350247733e-279	10.9562431868443	0.1	0	8.66847158933868e-275	9	CASQ2	3
0	10.7448864401775	0.282	0.001	0	9	RERGL	4
0	10.3076420381516	0.254	0	0	9	COX4I2	5
0	9.59642397913479	0.31	0.001	0	9	HIGD1B	6
0	9.54687493513639	0.126	0	0	9	HRC	7
8.29090639110492e-307	9.30473393692573	0.114	0	2.79071909124592e-302	9	FHL5	8
0	8.45184094713779	0.161	0.001	0	9	KCNA5	9
0	8.35244543159395	0.46	0.005	0	9	PLN	10
0	8.06731706528897	0.296	0.013	0	3	IGLL5	1
0	7.82469108467046	0.705	0.118	0	3	IGHG2	2
0	7.48448819156617	0.328	0.004	0	3	IGLV6-57	3
0	7.26131629074186	0.918	0.335	0	3	IGHG1	4
0	7.14871277783562	0.78	0.156	0	3	IGHA2	5
0	6.83883162048194	0.981	0.316	0	3	JCHAIN	6
0	6.7369788203217	0.929	0.29	0	3	IGHG3	7
0	6.7231795948453	0.373	0.038	0	3	IGLC7	8
0	6.70828290000419	0.892	0.353	0	3	IGLC3	9
2.68926352337768e-288	6.57503849037643	0.958	0.508	9.05206101968926e-284	3	IGLC2	10
