dataset_id	main_cluster	gene_symbol	mean_log_norm
GSE178318	g0	ACTA2	0.155164290642346
GSE178318	g0	C3	0.00537505442305002
GSE178318	g0	CD3D	0.0304009400067715
GSE178318	g0	CFD	0.0620506516552592
GSE178318	g0	COL1A1	0.0312226625872821
GSE178318	g0	COL1A2	0.015301303316073
GSE178318	g0	COL3A1	0.0183390954616676
GSE178318	g0	CSPG4	0
GSE178318	g0	CXCL12	0.00152575086014205
GSE178318	g0	CXCL14	0.00674427852402239
GSE178318	g0	DCN	0.0370053034409775
GSE178318	g0	EPCAM	0.00604160915673248
GSE178318	g0	FAP	0.00210912618901989
GSE178318	g0	IL6	0.00346077628601691
GSE178318	g0	KDR	0
GSE178318	g0	KRT18	0.00517151974309643
GSE178318	g0	KRT19	0.0264148393545081
GSE178318	g0	KRT8	0.0154390268297917
GSE178318	g0	LUM	0.0496456526279918
GSE178318	g0	LYZ	0.0357479785922833
GSE178318	g0	MCAM	0.00341477573460363
GSE178318	g0	MKI67	0.00901689618687415
GSE178318	g0	MMP11	0.0186012328998995
GSE178318	g0	MMP2	0.00802856798626366
GSE178318	g0	PDGFRB	0.278858802955407
GSE178318	g0	PECAM1	0.231070036520605
GSE178318	g0	POSTN	0.00519331845368921
GSE178318	g0	PRELP	0.00392897337390978
GSE178318	g0	PTPRC	0.222920999505094
GSE178318	g0	RGS5	0.0372447782551526
GSE178318	g0	SFRP1	0.00169287748882616
GSE178318	g0	THBS2	0.00273286167784589
GSE178318	g0	TOP2A	0.00309428135182763
GSE178318	g0	VWF	0.00324774866062845
GSE178318	g1	ACTA2	0.0387690810909993
GSE178318	g1	C3	0.00798931331548061
GSE178318	g1	CD3D	0.00210164396956856
GSE178318	g1	CFD	0.0684387471440846
GSE178318	g1	COL1A1	0.0513968782519452
GSE178318	g1	COL1A2	0.0479868015667615
GSE178318	g1	COL3A1	0.0499118023874887
GSE178318	g1	CSPG4	0.00267647326470856
GSE178318	g1	CXCL12	0.0069284595318234
GSE178318	g1	CXCL14	0.036279540400228
GSE178318	g1	DCN	0.121935651259933
GSE178318	g1	EPCAM	0.00705686003589629
GSE178318	g1	FAP	0.000701206706621425
GSE178318	g1	IL6	0.130526022539243
GSE178318	g1	KDR	0
GSE178318	g1	KRT18	0.00541400708243854
GSE178318	g1	KRT19	0.0915883430186188
GSE178318	g1	KRT8	0.0109230401226353
GSE178318	g1	LUM	0.134465638197874
GSE178318	g1	LYZ	0.0084851995612816
GSE178318	g1	MCAM	0.0264336007728009
GSE178318	g1	MKI67	0.00995764194376354
GSE178318	g1	MMP11	0.0238397883045568
GSE178318	g1	MMP2	0.0181120701344522
GSE178318	g1	PDGFRB	0.00254847958295894
GSE178318	g1	PECAM1	0.0827246209196017
GSE178318	g1	POSTN	0.00552375321409764
GSE178318	g1	PRELP	0.00103425076547485
GSE178318	g1	PTPRC	0.0551260973957714
GSE178318	g1	RGS5	0.0428761526910784
GSE178318	g1	SFRP1	0.00379108934858627
GSE178318	g1	THBS2	0.00864725081961004
GSE178318	g1	TOP2A	0.0175874430516946
GSE178318	g1	VWF	0.00194896449905244
GSE178318	g10	ACTA2	0.0541715774977046
GSE178318	g10	C3	0.0219336725741358
GSE178318	g10	CD3D	0.00337366436627739
GSE178318	g10	CFD	0.129656026138544
GSE178318	g10	COL1A1	0.0380088814875018
GSE178318	g10	COL1A2	0.032725030063814
GSE178318	g10	COL3A1	0.0162663625908098
GSE178318	g10	CSPG4	0.00560334586988583
GSE178318	g10	CXCL12	0.00562194447317883
GSE178318	g10	CXCL14	0.0381535851844861
GSE178318	g10	DCN	0.061332139929457
GSE178318	g10	EPCAM	0
GSE178318	g10	FAP	0
GSE178318	g10	IL6	0.00108093617720435
GSE178318	g10	KDR	0
GSE178318	g10	KRT18	0
GSE178318	g10	KRT19	0.37190570188752
GSE178318	g10	KRT8	0
