dataset_id	sample_label	tissue_site	marker_group	gene_symbol	present
GSE178318	all		caf_activation	ACTA2	TRUE
GSE178318	all		caf_activation	FAP	TRUE
GSE178318	all		caf_activation	POSTN	TRUE
GSE178318	all		caf_activation	THBS2	TRUE
GSE178318	all		endothelial	KDR	TRUE
GSE178318	all		endothelial	PECAM1	TRUE
GSE178318	all		endothelial	VWF	TRUE
GSE178318	all		epithelial_tumor	EPCAM	TRUE
GSE178318	all		epithelial_tumor	KRT18	TRUE
GSE178318	all		epithelial_tumor	KRT8	TRUE
GSE178318	all		fibroblast_ecm	COL1A1	TRUE
GSE178318	all		fibroblast_ecm	COL1A2	TRUE
GSE178318	all		fibroblast_ecm	COL3A1	TRUE
GSE178318	all		fibroblast_ecm	DCN	TRUE
GSE178318	all		fibroblast_ecm	LUM	TRUE
GSE178318	all		immune_context	CD3D	TRUE
GSE178318	all		immune_context	LYZ	TRUE
GSE178318	all		immune_context	PTPRC	TRUE
GSE178318	all		pericyte_like	MCAM	TRUE
GSE178318	all		pericyte_like	PDGFRB	TRUE
GSE178318	all		pericyte_like	RGS5	TRUE
GSE245552	Pt01_T1	primary tumor	caf_activation	ACTA2	TRUE
GSE245552	Pt01_T1	primary tumor	caf_activation	FAP	TRUE
GSE245552	Pt01_T1	primary tumor	caf_activation	POSTN	TRUE
GSE245552	Pt01_T1	primary tumor	caf_activation	THBS2	TRUE
GSE245552	Pt01_T1	primary tumor	endothelial	KDR	TRUE
GSE245552	Pt01_T1	primary tumor	endothelial	PECAM1	TRUE
GSE245552	Pt01_T1	primary tumor	endothelial	VWF	TRUE
GSE245552	Pt01_T1	primary tumor	epithelial_tumor	EPCAM	TRUE
GSE245552	Pt01_T1	primary tumor	epithelial_tumor	KRT18	TRUE
GSE245552	Pt01_T1	primary tumor	epithelial_tumor	KRT8	TRUE
GSE245552	Pt01_T1	primary tumor	fibroblast_ecm	COL1A1	TRUE
GSE245552	Pt01_T1	primary tumor	fibroblast_ecm	COL1A2	TRUE
GSE245552	Pt01_T1	primary tumor	fibroblast_ecm	COL3A1	TRUE
GSE245552	Pt01_T1	primary tumor	fibroblast_ecm	DCN	TRUE
GSE245552	Pt01_T1	primary tumor	fibroblast_ecm	LUM	TRUE
GSE245552	Pt01_T1	primary tumor	immune_context	CD3D	TRUE
