barcode_suffix	start_cells	retained_cells	retained_fraction	min_features	max_percent_mt
COL07_CRC	17000	14108	0.829882352941177	500	15
COL07_LM	16100	13106	0.814037267080745	500	15
COL12_CRC	10750	9719	0.904093023255814	500	15
COL12_LM	3160	2561	0.810443037974684	500	15
COL12_PBMC	12400	12382	0.998548387096774	500	15
COL15_CRC	4250	3159	0.743294117647059	500	15
COL15_LM	9700	7930	0.817525773195876	500	15
COL16_CRC	6000	4865	0.810833333333333	500	15
COL16_LM	8200	7946	0.969024390243902	500	15
COL17_CRC	9035	8421	0.932042058660764	500	15
COL17_LM	10000	9582	0.9582	500	15
COL17_PBMC	6700	6679	0.996865671641791	500	15
COL18_CRC	8700	7942	0.912873563218391	500	15
COL18_LM	10436	10064	0.964354158681487	500	15
COL18_PBMC	7850	7839	0.99859872611465	500	15
