cluster	source_cluster_prefix	cell_count
E01_endothelial_SELP	E	1121
E02_endothelial_DLL4	E	926
E03_endothelial_NOTCH3	E	432
E04_endothelial_CD36	E	268
E05_cycling_MKI67	E	56
E06_endothelial_CLEC4G	E	42
F01_fibroblast_PRELP	F	6218
F02_fibrblast_MCAM	F	4079
F03_fibroblast_CXCL14	F	2513
F04_fibroblast_C3	F	1609
F05_fibroblast_COCH	F	447
F06_cycling_MKI67	F	227
Tu02_DEFA5	Tu	4747
Tu01_AREG	Tu	4636
Tu03_SRRM2	Tu	3460
Tu06_NKD1	Tu	2809
Tu05_PCNA	Tu	2577
Tu04_RGMB	Tu	2207
Tu07_MKI67	Tu	2188
Tu08_GNG13	Tu	544
Tu10_COL3A1	Tu	349
Tu09_MUC2	Tu	220
Tu11_PLA2G2A	Tu	217
