dataset_id	gsm	sample_label	tissue_site	lesion_type	feature_rows	start_cells	retained_cells	retained_fraction	min_features	min_counts	mt_upper_prefix_count_col1	mt_upper_prefix_count_col2
GSE245552	GSM7844838	Pt13_Z1	colon adjacent tissue	Pt13_Z1, scRNAseq	29922	8136	5547	0.681784660766962	500	1000	13	13
GSE245552	GSM7844841	Pt15_Z1	colon adjacent tissue	Pt15_Z1, scRNAseq	29922	5853	5170	0.883307705450196	500	1000	13	13
GSE245552	GSM7844846	Pt17_Z1	colon adjacent tissue	Pt17_Z1, scRNAseq	29922	4801	3570	0.743595084357425	500	1000	13	13
GSE245552	GSM7844849	Pt18_Z1	colon adjacent tissue	Pt18_Z1, scRNAseq	29922	3089	2793	0.904176108773066	500	1000	13	13
GSE245552	GSM7844843	Pt16_Z1	liver adjacent tissue	Pt16_Z1, scRNAseq	29922	285	255	0.894736842105263	500	1000	13	13
GSE245552	GSM7844850	Pt18_Z2	liver adjacent tissue	Pt18_Z2, scRNAseq	29922	7442	5952	0.799785004031174	500	1000	13	13
GSE245552	GSM7844813	Pt01_T2	liver metastasis	Pt01_T2, scRNAseq	29569	6464	6002	0.928527227722772	500	1000	0	0
GSE245552	GSM7844815	Pt02_T2	liver metastasis	Pt02_T2, scRNAseq	29569	6243	5969	0.956110844145443	500	1000	0	0
GSE245552	GSM7844817	Pt03_T2	liver metastasis	Pt03_T2, scRNAseq	29569	3693	3218	0.871378283238559	500	1000	0	0
GSE245552	GSM7844819	Pt04_T2	liver metastasis	Pt04_T2, scRNAseq	29569	4111	3389	0.824373631719776	500	1000	0	0
GSE245552	GSM7844821	Pt05_T2	liver metastasis	Pt05_T2, scRNAseq	29569	4447	3393	0.76298628288734	500	1000	0	0
GSE245552	GSM7844822	Pt05_T3	liver metastasis	Pt05_T3, scRNAseq	29569	2981	2936	0.98490439449849	500	1000	0	0
GSE245552	GSM7844824	Pt06_T2	liver metastasis	Pt06_T2, scRNAseq	29569	1454	1304	0.896836313617607	500	1000	0	0
GSE245552	GSM7844825	Pt06_T3	liver metastasis	Pt06_T3, scRNAseq	29569	7277	6534	0.897897485227429	500	1000	0	0
GSE245552	GSM7844827	Pt07_T2	liver metastasis	Pt07_T2, scRNAseq	29569	5018	2758	0.549621363092866	500	1000	0	0
GSE245552	GSM7844830	Pt08_T3	liver metastasis	Pt08_T3, scRNAseq	29569	6327	4262	0.673620989410463	500	1000	0	0
GSE245552	GSM7844831	Pt08_T4	liver metastasis	Pt08_T4, scRNAseq	29569	6152	4096	0.665799739921977	500	1000	0	0
GSE245552	GSM7844834	Pt10_T2	liver metastasis	Pt10_T2, scRNAseq	29569	8503	7345	0.863812771962837	500	1000	0	0
GSE245552	GSM7844836	Pt11_T2	liver metastasis	Pt11_T2, scRNAseq	29569	5356	4970	0.927931292008962	500	1000	0	0
GSE245552	GSM7844840	Pt15_T2	liver metastasis	Pt15_T2, scRNAseq	29569	5752	4698	0.816759388038943	500	1000	0	0
GSE245552	GSM7844842	Pt16_T1	liver metastasis	Pt16_T1, scRNAseq	29569	396	347	0.876262626262626	500	1000	0	0
GSE245552	GSM7844845	Pt17_T2	liver metastasis	Pt17_T2, scRNAseq	29569	1907	1804	0.945988463555323	500	1000	0	0
GSE245552	GSM7844848	Pt18_T2	liver metastasis	Pt18_T2, scRNAseq	29569	7009	4759	0.678984163218719	500	1000	0	0
GSE245552	GSM7844812	Pt01_T1	primary tumor	Pt01_T1, scRNAseq	29569	4593	3854	0.839102982799913	500	1000	0	0
GSE245552	GSM7844814	Pt02_T1	primary tumor	Pt02_T1, scRNAseq	29569	3704	3269	0.88255939524838	500	1000	0	0
GSE245552	GSM7844816	Pt03_T1	primary tumor	Pt03_T1, scRNAseq	29569	2526	2220	0.878859857482185	500	1000	0	0
GSE245552	GSM7844818	Pt04_T1	primary tumor	Pt04_T1, scRNAseq	29569	2775	1997	0.71963963963964	500	1000	0	0
GSE245552	GSM7844820	Pt05_T1	primary tumor	Pt05_T1, scRNAseq	29569	3842	1971	0.513014055179594	500	1000	0	0
GSE245552	GSM7844823	Pt06_T1	primary tumor	Pt06_T1, scRNAseq	29569	815	733	0.899386503067485	500	1000	0	0
GSE245552	GSM7844826	Pt07_T1	primary tumor	Pt07_T1, scRNAseq	29569	4513	3784	0.838466651894527	500	1000	0	0
GSE245552	GSM7844828	Pt08_T1	primary tumor	Pt08_T1, scRNAseq	29569	7745	6993	0.902905100064558	500	1000	0	0
GSE245552	GSM7844829	Pt08_T2	primary tumor	Pt08_T2, scRNAseq	29569	3950	3318	0.84	500	1000	0	0
GSE245552	GSM7844832	Pt09_T1	primary tumor	Pt09_T1, scRNAseq	29569	5516	4533	0.821791153009427	500	1000	0	0
GSE245552	GSM7844833	Pt10_T1	primary tumor	Pt10_T1, scRNAseq	29569	8176	6748	0.825342465753425	500	1000	0	0
GSE245552	GSM7844835	Pt11_T1	primary tumor	Pt11_T1, scRNAseq	29569	7175	6023	0.839442508710801	500	1000	0	0
GSE245552	GSM7844837	Pt13_T1	primary tumor	Pt13_T1, scRNAseq	29569	4471	3415	0.763811227913219	500	1000	0	0
GSE245552	GSM7844839	Pt15_T1	primary tumor	Pt15_T1, scRNAseq	29569	11377	8355	0.734376373384899	500	1000	0	0
GSE245552	GSM7844844	Pt17_T1	primary tumor	Pt17_T1, scRNAseq	29569	1677	1517	0.904591532498509	500	1000	0	0
GSE245552	GSM7844847	Pt18_T1	primary tumor	Pt18_T1, scRNAseq	29569	4639	3264	0.70359991377452	500	1000	0	0
