dataset_id	object_label	object_path	file_size_bytes	features	cells
GSE178318	gse178318_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse178318_working_qc_sparse_matrix.rds	365791049	33694	126303
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt01_T1_working_qc_sparse_matrix.rds	20856423	29569	3854
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt01_T2_working_qc_sparse_matrix.rds	40067213	29569	6002
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt02_T1_working_qc_sparse_matrix.rds	23960294	29569	3269
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt02_T2_working_qc_sparse_matrix.rds	38850390	29569	5969
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt03_T1_working_qc_sparse_matrix.rds	17548777	29569	2220
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt03_T2_working_qc_sparse_matrix.rds	23191654	29569	3218
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt04_T1_working_qc_sparse_matrix.rds	10695432	29569	1997
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt04_T2_working_qc_sparse_matrix.rds	19325185	29569	3389
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt05_T1_working_qc_sparse_matrix.rds	13992276	29569	1971
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt05_T2_working_qc_sparse_matrix.rds	15182830	29569	3393
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt05_T3_working_qc_sparse_matrix.rds	13750491	29569	2936
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt06_T1_working_qc_sparse_matrix.rds	5034529	29569	733
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt06_T2_working_qc_sparse_matrix.rds	8999621	29569	1304
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt06_T3_working_qc_sparse_matrix.rds	31540928	29569	6534
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt07_T1_working_qc_sparse_matrix.rds	14285090	29569	3784
