integrated_cluster	dataset_id	N
2	GSE178318	2194
10	GSE178318	328
1	GSE178318	2295
0	GSE178318	2789
4	GSE178318	1020
9	GSE178318	422
3	GSE178318	1542
8	GSE178318	462
7	GSE178318	463
12	GSE178318	202
11	GSE178318	237
13	GSE178318	74
6	GSE178318	579
5	GSE178318	896
14	GSE178318	16
9	GSE245552	678
17	GSE245552	65
6	GSE245552	1147
14	GSE245552	183
7	GSE245552	1014
0	GSE245552	7364
1	GSE245552	6097
8	GSE245552	690
3	GSE245552	2763
2	GSE245552	3003
11	GSE245552	471
4	GSE245552	1867
5	GSE245552	1339
16	GSE245552	98
10	GSE245552	610
12	GSE245552	421
15	GSE245552	104
13	GSE245552	374
