integrated_cluster	review_class	N
2	caf_ecm_review	4906
10	caf_ecm_review	658
1	caf_ecm_review	5368
0	caf_ecm_review	5889
4	caf_ecm_review	1037
9	pericyte_review	293
2	endothelial_review	160
3	endothelial_review	654
8	caf_ecm_review	1023
7	pericyte_review	96
3	caf_ecm_review	1250
7	caf_ecm_review	1056
12	caf_ecm_review	161
2	pericyte_review	131
8	pericyte_review	35
11	endothelial_review	200
12	endothelial_review	452
13	endothelial_review	9
13	caf_ecm_review	432
6	caf_ecm_review	1542
9	caf_ecm_review	621
7	endothelial_review	325
8	endothelial_review	94
13	pericyte_review	7
1	pericyte_review	115
1	endothelial_review	2909
5	caf_ecm_review	2082
0	pericyte_review	261
3	pericyte_review	2401
0	endothelial_review	4003
6	pericyte_review	44
10	endothelial_review	272
14	caf_ecm_review	122
5	endothelial_review	92
10	pericyte_review	8
6	endothelial_review	140
5	pericyte_review	61
14	pericyte_review	11
14	endothelial_review	66
4	pericyte_review	49
11	pericyte_review	19
11	caf_ecm_review	489
12	pericyte_review	10
17	endothelial_review	49
9	endothelial_review	186
4	endothelial_review	1801
16	caf_ecm_review	70
17	caf_ecm_review	15
16	pericyte_review	28
15	caf_ecm_review	104
17	pericyte_review	1
