integrated_cluster	tissue_site	N
2		2194
10		328
1		2295
0		2789
4		1020
9		422
3		1542
8		462
7		463
12		202
11		237
13		74
6		579
5		896
14		16
9	primary tumor	152
17	primary tumor	34
6	primary tumor	737
14	primary tumor	118
7	primary tumor	431
0	primary tumor	4408
1	primary tumor	4281
8	primary tumor	469
3	primary tumor	1512
2	primary tumor	2916
11	primary tumor	410
4	primary tumor	1286
5	primary tumor	44
16	primary tumor	74
9	liver metastasis	492
6	liver metastasis	140
17	liver metastasis	16
7	liver metastasis	473
14	liver metastasis	63
1	liver metastasis	835
0	liver metastasis	707
10	liver metastasis	378
8	liver metastasis	118
5	liver metastasis	1282
3	liver metastasis	1104
4	liver metastasis	344
12	liver metastasis	69
2	liver metastasis	52
10	primary tumor	230
16	liver metastasis	24
15	colon adjacent tissue	104
7	colon adjacent tissue	77
0	colon adjacent tissue	2245
1	colon adjacent tissue	961
8	colon adjacent tissue	101
11	colon adjacent tissue	61
3	colon adjacent tissue	31
2	colon adjacent tissue	34
13	colon adjacent tissue	373
4	colon adjacent tissue	62
6	colon adjacent tissue	228
10	colon adjacent tissue	1
7	liver adjacent tissue	33
6	liver adjacent tissue	42
1	liver adjacent tissue	20
3	liver adjacent tissue	116
12	liver adjacent tissue	352
4	liver adjacent tissue	175
5	colon adjacent tissue	2
9	colon adjacent tissue	5
0	liver adjacent tissue	4
17	liver adjacent tissue	15
8	liver adjacent tissue	2
9	liver adjacent tissue	29
10	liver adjacent tissue	1
14	liver adjacent tissue	2
5	liver adjacent tissue	11
13	liver adjacent tissue	1
2	liver adjacent tissue	1
