integrated_cluster	top_marker_program	N
2	fibroblast_ecm	4739
10	fibroblast_ecm	593
1	fibroblast_ecm	5062
0	fibroblast_ecm	5557
4	fibroblast_ecm	963
9	pericyte_like	293
2	endothelial	160
3	endothelial	654
8	fibroblast_ecm	966
7	pericyte_like	96
3	fibroblast_ecm	1120
4	inflammatory_caf	69
2	caf_activation	61
7	fibroblast_ecm	843
7	inflammatory_caf	196
12	fibroblast_ecm	149
2	pericyte_like	131
8	pericyte_like	35
11	endothelial	200
12	endothelial	452
3	inflammatory_caf	58
13	endothelial	9
13	fibroblast_ecm	425
6	fibroblast_ecm	1367
9	fibroblast_ecm	195
7	endothelial	325
1	inflammatory_caf	201
2	inflammatory_caf	106
8	endothelial	94
4	caf_activation	5
13	pericyte_like	7
9	caf_activation	65
0	caf_activation	149
1	pericyte_like	115
1	endothelial	2909
3	caf_activation	72
5	fibroblast_ecm	2005
10	inflammatory_caf	57
0	pericyte_like	261
12	caf_activation	2
13	caf_activation	3
3	pericyte_like	2401
1	caf_activation	105
0	endothelial	4003
6	pericyte_like	44
6	inflammatory_caf	132
10	endothelial	272
0	inflammatory_caf	183
14	fibroblast_ecm	104
5	endothelial	92
6	caf_activation	43
10	pericyte_like	8
13	inflammatory_caf	4
8	caf_activation	18
7	caf_activation	17
6	endothelial	140
9	inflammatory_caf	361
5	pericyte_like	61
5	inflammatory_caf	26
8	inflammatory_caf	39
14	pericyte_like	11
14	endothelial	66
14	inflammatory_caf	12
14	caf_activation	6
10	caf_activation	8
12	inflammatory_caf	10
4	pericyte_like	49
11	pericyte_like	19
11	fibroblast_ecm	188
11	inflammatory_caf	133
5	caf_activation	51
11	caf_activation	168
12	pericyte_like	10
17	endothelial	49
9	endothelial	186
4	endothelial	1801
16	fibroblast_ecm	69
17	fibroblast_ecm	13
16	pericyte_like	28
17	caf_activation	1
16	inflammatory_caf	1
15	fibroblast_ecm	98
15	inflammatory_caf	4
15	caf_activation	2
17	inflammatory_caf	1
17	pericyte_like	1
