integrated_cluster	N	fraction
2	5197	0.124309326189394
10	938	0.0224364340899849
1	8392	0.200731934843447
0	10153	0.242854067500658
4	2887	0.0690554213409238
9	1100	0.0263113832611764
3	4305	0.102973186308513
8	1152	0.0275551941062502
7	1477	0.0353290118879613
12	623	0.0149018107015572
11	708	0.0169349630444662
13	448	0.0107159088190973
6	1726	0.0412849522807185
5	2235	0.0534599468988447
14	199	0.00475996842634009
17	65	0.00155476355634224
16	98	0.00234410505417753
15	104	0.00248762169014758
