accession	file_name	url	required_for
GSE164522	GSE164522_CRLM_LN_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_LN_expression.csv.gz	full_GSE164522_cross_tissue_atlas
GSE164522	GSE164522_CRLM_MN_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_MN_expression.csv.gz	full_GSE164522_cross_tissue_atlas
GSE164522	GSE164522_CRLM_MT_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_MT_expression.csv.gz	full_GSE164522_cross_tissue_atlas
GSE164522	GSE164522_CRLM_PBMC_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_PBMC_expression.csv.gz	full_GSE164522_cross_tissue_atlas
GSE164522	GSE164522_CRLM_PN_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_PN_expression.csv.gz	full_GSE164522_cross_tissue_atlas
GSE164522	GSE164522_CRLM_PT_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_PT_expression.csv.gz	full_GSE164522_cross_tissue_atlas
GSE164522	GSE164522_CRLM_metadata.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_metadata.csv.gz	full_GSE164522_cross_tissue_atlas
GSE178318	GSE178318_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178318/suppl/GSE178318_barcodes.tsv.gz	primary_liver_metastasis_pbmc_discovery
GSE178318	GSE178318_genes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178318/suppl/GSE178318_genes.tsv.gz	primary_liver_metastasis_pbmc_discovery
GSE178318	GSE178318_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178318/suppl/GSE178318_matrix.mtx.gz	primary_liver_metastasis_pbmc_discovery
GSE225857	GSE225857_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225857/suppl/GSE225857_RAW.tar	scRNA_and_spatial_validation
GSE225857	filelist.txt	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225857/suppl/filelist.txt	scRNA_and_spatial_validation
