cluster	review_label	current_action	cells	singlets	doublets	broad_clean_singlets	core_clean_singlets	cleanup_labels
0	T_NK_boundary_signal	exclude_from_mac_mono_subtype_panel_after_marker_confirmation	2162	1905	257	0	0	strong_lineage_exclude
1	mac_mono_supported	retain_for_current_mac_mono_analysis	1411	1276	135	1276	1276	core_retained_singlet;doublet_exclude
2	mac_mono_supported	retain_with_batch_sensitivity_label	1220	1113	107	1113	0	batch_sensitive_retained_singlet;doublet_exclude
3	mac_mono_supported	retain_with_batch_sensitivity_label	1189	1163	26	1163	0	batch_sensitive_retained_singlet;doublet_exclude
4	mac_mono_supported	retain_with_batch_sensitivity_label	1086	1061	25	1061	0	batch_sensitive_retained_singlet;doublet_exclude
5	mac_mono_supported	retain_for_current_mac_mono_analysis	1071	963	108	963	963	core_retained_singlet;doublet_exclude
6	mac_mono_supported	retain_with_batch_sensitivity_label	1029	1005	24	1005	0	batch_sensitive_retained_singlet;doublet_exclude
7	mixed_boundary_signal	hold_out_for_manual_marker_review	869	863	6	0	0	mixed_holdout
8	mac_mono_supported	retain_for_current_mac_mono_analysis	719	691	28	691	691	core_retained_singlet;doublet_exclude
9	mac_mono_supported	retain_after_per_cell_doublet_filter_and_recluster_check	660	544	116	544	0	doublet_exclude;doublet_sensitive_retained_singlet
10	mac_mono_supported	retain_for_current_mac_mono_analysis	606	548	58	548	548	core_retained_singlet;doublet_exclude
11	mac_mono_supported	retain_with_batch_sensitivity_label	602	560	42	560	0	batch_sensitive_retained_singlet;doublet_exclude
12	mac_mono_supported	retain_with_batch_sensitivity_label	580	580	0	580	0	batch_sensitive_retained_singlet
13	DC_boundary_signal	exclude_from_mac_mono_subtype_panel_after_marker_confirmation	413	405	8	0	0	strong_lineage_exclude
14	mac_mono_supported	retain_with_batch_sensitivity_label	387	387	0	387	0	batch_sensitive_retained_singlet
15	T_NK_boundary_signal	exclude_from_mac_mono_subtype_panel_after_marker_confirmation	377	366	11	0	0	strong_lineage_exclude
16	mixed_boundary_signal	hold_out_for_manual_marker_review	346	337	9	0	0	mixed_holdout
17	DC_boundary_signal	exclude_from_mac_mono_subtype_panel_after_marker_confirmation	341	326	15	0	0	strong_lineage_exclude
18	T_NK_boundary_signal	exclude_from_mac_mono_subtype_panel_after_marker_confirmation	300	298	2	0	0	strong_lineage_exclude
19	mixed_boundary_signal	hold_out_for_manual_marker_review	202	194	8	0	0	mixed_holdout
20	B_plasma_boundary_signal	exclude_from_mac_mono_subtype_panel_after_marker_confirmation	177	133	44	0	0	strong_lineage_exclude
21	mast_boundary_signal	exclude_from_mac_mono_subtype_panel_after_marker_confirmation	58	58	0	0	0	strong_lineage_exclude
22	mac_mono_supported	retain_with_batch_sensitivity_label	48	48	0	48	0	batch_sensitive_retained_singlet
