cluster	cell_count	dominant_tissue_by_count	review_label	initial_action	top10_genes	reason
0	2162	metastasis tumor	T_NK_boundary_signal	exclude_initial	CXCR6,ICOS,CCDC64,FBLN7,THEMIS,GPR171,PPP2R2B,CD28,CD40LG,TRAT1	T_NK:CXCR6,ICOS,THEMIS,CD28,CD40LG,TRAT1,CD96,GZMK,TIGIT,IFNG,TRAC,CD3D,CD3E,TRBC2
1	1411	metastasis tumor	mac_mono_supported	keep_initial	SDS,FPR3,TREM2,APOC1,LGMN,C1QC,SLCO2B1,APOE,ID3,SLAMF8	C1QC_APOE_macrophage:C1QC,APOE,C1QB,C1QA,MRC1;SPP1_TREM2_macrophage:TREM2,APOC1,GPNMB
2	1220	metastasis normal	mac_mono_supported	keep_initial	APOBEC3A,PHLDA1,PPIF,THBS1,SEMA6B,PNP,LAMB3,CREM,ATP2B1,TIMP1	Classical_monocyte:VCAN,FCN1,S100A8,S100A9;Inflammatory:EREG,CXCL2,CXCL8
3	1189	metastasis normal	mac_mono_supported	keep_initial	CLEC4E,DDIT4,CXCR4,FCN1,TSC22D3,DUSP1,ZFP36,PLIN2,LYZ,LSP1	Classical_monocyte:FCN1
4	1086	PBMC	mac_mono_supported	keep_initial	S100A8,S100A12,S100A9,NCF1,FCN1,VCAN,CSF3R,LYZ,MNDA,LINC00937	Classical_monocyte:S100A8,S100A12,S100A9,FCN1,VCAN,CSF3R;Nonclassical_monocyte:LST1
5	1071	primary tumor	mac_mono_supported	keep_initial	PTGS2,CCL20,CCL3L3,EREG,CXCL2,CXCL8,IL1B,BCL2A1,IER3,CCL4L2	Inflammatory:PTGS2,EREG,CXCL2,CXCL8,IL1B,CCL3,NFKBIA,CCL4
6	1029	metastasis tumor	mac_mono_supported	keep_initial	AGRP,SPOCD1,ANGPTL4,DEFB1,NT5E,SPP1,SERPINE1,CST6,ENO2,TNS1	SPP1_TREM2_macrophage:SPP1,GPNMB,APOC1
7	869	PBMC	mixed_boundary_signal	review_before_keep	PTGDR2,CYP4F22,CKB,LYPD2,CDKN1C,PPM1N,NEURL1,CD79B,RP11-362F19.1,CDH23	B_plasma:CD79B; mac_mono=Nonclassical_monocyte:CX3CR1,FCGR3A
8	719	primary tumor	mac_mono_supported	keep_initial	BIRC5,MMP12,MKI67,UBE2C,GTSE1,ADAMDEC1,TROAP,KIAA0101,C1QC,RRM2	C1QC_APOE_macrophage:C1QC,C1QB,C1QA,APOE;SPP1_TREM2_macrophage:MMP12;Cycling:BIRC5,MKI67,UBE2C,TOP2A,STMN1
9	660	metastasis normal	mac_mono_supported	keep_initial	FCGR3A,PTGES,LINC01272,MTSS1,PAG1,LILRB2,HES4,PAPSS2,SIDT2,CDC42EP2	Classical_monocyte:LILRB2;Nonclassical_monocyte:FCGR3A,LST1,MS4A7
10	606	metastasis normal	mac_mono_supported	keep_initial	PROK2,S100A12,SLC2A3,RNASE2,VCAN,S100A8,ADAMTS2,S100A9,AQP9,GCA	Classical_monocyte:S100A12,VCAN,S100A8,S100A9,FCN1,CSF3R
11	602	primary tumor	mac_mono_supported	keep_initial	MAMDC2,MGP,LYVE1,IGF1,SEPP1,RNASE1,FOLR2,A2M,F13A1,MRC1	C1QC_APOE_macrophage:LYVE1,SEPP1,FOLR2,MRC1,C1QC,C1QB,C1QA;Nonclassical_monocyte:MS4A7
12	580	PBMC	mac_mono_supported	keep_initial	CD36,MNDA,NFE2,RP11-160E2.6,S100A12,IER2,JUN,VCAN,AP1S2,AHNAK	Classical_monocyte:S100A12,VCAN,FCN1,S100A8,S100A9
13	413	metastasis normal	DC_boundary_signal	exclude_initial	PPP1R14A,SPIB,IDO1,DNASE1L3,HLA-DOB,CD207,GPR157,AFF3,FCER1A,PLD4	DC:SPIB,IDO1,HLA-DOB,CD207,FCER1A,PLD4,CCR7
14	387	PBMC	mac_mono_supported	keep_initial	ADAMTS2,MARC1,CASC8,NFE2,RNASE2,RBP7,CDA,CYP1B1,VNN2,LTB4R	Classical_monocyte:S100A12,S100A8,CSF3R,S100A9
15	377	PBMC	T_NK_boundary_signal	exclude_initial	FGFBP2,LINC00861,PTPRCAP,CD3E,GNLY,LEF1,LCK,TCF7,IL32,PRSS23	T_NK:PTPRCAP,CD3E,GNLY,LEF1,LCK,TCF7,IL32,CD3D,TRBC1,TRBC2
