panel	gene
Macrophage_core	LST1
Macrophage_core	AIF1
Macrophage_core	TYROBP
Macrophage_core	FCGR3A
Macrophage_core	MS4A7
Macrophage_core	CD68
Macrophage_core	CSF1R
C1QC_APOE_macrophage	C1QA
C1QC_APOE_macrophage	C1QB
C1QC_APOE_macrophage	C1QC
C1QC_APOE_macrophage	APOE
C1QC_APOE_macrophage	SELENOP
C1QC_APOE_macrophage	FOLR2
SPP1_TREM2_macrophage	SPP1
SPP1_TREM2_macrophage	TREM2
SPP1_TREM2_macrophage	GPNMB
SPP1_TREM2_macrophage	APOC1
SPP1_TREM2_macrophage	FABP5
SPP1_TREM2_macrophage	LGALS3
Monocyte_classical	FCN1
Monocyte_classical	VCAN
Monocyte_classical	S100A8
Monocyte_classical	S100A9
Monocyte_classical	CCR2
Monocyte_classical	LILRB2
Monocyte_nonclassical	FCGR3A
Monocyte_nonclassical	MS4A7
Monocyte_nonclassical	LST1
Monocyte_nonclassical	CX3CR1
Monocyte_nonclassical	LYN
Inflammatory	IL1B
Inflammatory	CXCL8
Inflammatory	CCL3
Inflammatory	CCL4
Inflammatory	NFKBIA
IFN_response	ISG15
IFN_response	IFIT1
IFN_response	IFIT2
IFN_response	IFIT3
IFN_response	CXCL10
MHCII_antigen_presentation	HLA-DRA
MHCII_antigen_presentation	HLA-DRB1
MHCII_antigen_presentation	HLA-DPA1
MHCII_antigen_presentation	HLA-DPB1
MHCII_antigen_presentation	CD74
Cycling	MKI67
Cycling	TOP2A
Cycling	STMN1
DC_boundary	FCER1A
DC_boundary	CLEC10A
DC_boundary	CD1C
DC_boundary	CLEC9A
DC_boundary	LAMP3
DC_boundary	CCR7
Mast_boundary	TPSAB1
Mast_boundary	TPSB2
Mast_boundary	CPA3
T_NK_boundary	CD3D
T_NK_boundary	TRAC
T_NK_boundary	NKG7
T_NK_boundary	GNLY
B_boundary	MS4A1
B_boundary	CD79A
Endothelial_boundary	PECAM1
Endothelial_boundary	VWF
Epithelial_boundary	EPCAM
Epithelial_boundary	KRT18
Epithelial_boundary	KRT19
