score_set	gene	note
Myeloid_Mac_Mono	LYZ	macrophage_monocyte_identity
Myeloid_Mac_Mono	LST1	macrophage_monocyte_identity
Myeloid_Mac_Mono	CD68	macrophage_identity
Myeloid_Mac_Mono	CSF1R	macrophage_monocyte_identity
Myeloid_Mac_Mono	FCGR3A	monocyte_macrophage_identity
Myeloid_Mac_Mono	FCN1	classical_monocyte_identity
Myeloid_Mac_Mono	VCAN	classical_monocyte_identity
Myeloid_Mac_Mono	S100A8	classical_monocyte_identity
Myeloid_Mac_Mono	S100A9	classical_monocyte_identity
Myeloid_Mac_Mono	MS4A7	macrophage_identity
Myeloid_Mac_Mono	C1QA	C1QC_APOE_macrophage_identity
Myeloid_Mac_Mono	C1QB	C1QC_APOE_macrophage_identity
Myeloid_Mac_Mono	C1QC	C1QC_APOE_macrophage_identity
Myeloid_Mac_Mono	APOE	C1QC_APOE_macrophage_identity
Myeloid_Mac_Mono	MRC1	tissue_macrophage_identity
Myeloid_Mac_Mono	TREM2	SPP1_TREM2_macrophage_identity
Myeloid_Mac_Mono	SPP1	SPP1_TREM2_macrophage_identity
T_NK	CD3D	T_cell_boundary
T_NK	CD3E	T_cell_boundary
T_NK	TRAC	T_cell_boundary
T_NK	TRBC1	T_cell_boundary
T_NK	TRBC2	T_cell_boundary
T_NK	CD2	T_cell_boundary
T_NK	CD247	T_cell_boundary
T_NK	IL7R	T_cell_boundary
T_NK	CCR7	T_cell_boundary
T_NK	CD8A	T_cell_boundary
T_NK	CD8B	T_cell_boundary
T_NK	NKG7	NK_cell_boundary
T_NK	GNLY	NK_cell_boundary
T_NK	GZMB	NK_cell_boundary
T_NK	GZMK	NK_cell_boundary
T_NK	PRF1	NK_cell_boundary
T_NK	KLRD1	NK_cell_boundary
DC	FCER1A	conventional_DC_boundary
DC	CLEC10A	conventional_DC_boundary
DC	CD1C	conventional_DC_boundary
DC	CD1E	conventional_DC_boundary
DC	ITGAX	DC_boundary
DC	HLA-DRA	antigen_presentation
DC	LILRA4	plasmacytoid_DC_boundary
DC	CLEC4C	plasmacytoid_DC_boundary
DC	IRF7	plasmacytoid_DC_boundary
DC	CCR7	migratory_DC_boundary
DC	FSCN1	migratory_DC_boundary
DC	LAMP3	migratory_DC_boundary
B_Plasma	MS4A1	B_cell_boundary
B_Plasma	CD79A	B_cell_boundary
B_Plasma	CD79B	B_cell_boundary
B_Plasma	CD19	B_cell_boundary
B_Plasma	BANK1	B_cell_boundary
B_Plasma	MZB1	plasma_cell_boundary
B_Plasma	JCHAIN	plasma_cell_boundary
B_Plasma	IGKC	plasma_cell_boundary
B_Plasma	IGHG1	plasma_cell_boundary
B_Plasma	IGHA1	plasma_cell_boundary
B_Plasma	XBP1	plasma_cell_boundary
B_Plasma	SDC1	plasma_cell_boundary
Mast	TPSAB1	mast_cell_boundary
Mast	TPSB2	mast_cell_boundary
Mast	CPA3	mast_cell_boundary
Mast	KIT	mast_cell_boundary
Mast	MS4A2	mast_cell_boundary
Mast	HDC	mast_cell_boundary
Mast	GATA2	mast_cell_boundary
Epithelial	EPCAM	epithelial_boundary
Epithelial	KRT8	epithelial_boundary
Epithelial	KRT18	epithelial_boundary
Epithelial	KRT19	epithelial_boundary
Epithelial	KRT7	epithelial_boundary
Epithelial	MUC1	epithelial_boundary
Epithelial	TACSTD2	epithelial_boundary
Endothelial	PECAM1	endothelial_boundary
Endothelial	VWF	endothelial_boundary
Endothelial	KDR	endothelial_boundary
Endothelial	ENG	endothelial_boundary
Endothelial	CDH5	endothelial_boundary
Endothelial	CLDN5	endothelial_boundary
Endothelial	RAMP2	endothelial_boundary
Endothelial	ESAM	endothelial_boundary
Cycling	MKI67	cell_cycle_signal
Cycling	TOP2A	cell_cycle_signal
Cycling	STMN1	cell_cycle_signal
Cycling	PCNA	cell_cycle_signal
Cycling	TYMS	cell_cycle_signal
RBC	HBB	erythroid_boundary
RBC	HBA1	erythroid_boundary
RBC	HBA2	erythroid_boundary
RBC	ALAS2	erythroid_boundary
RBC	SLC4A1	erythroid_boundary
