accession	file_name	url	local_path	status	message	bytes	sha256	checked_at
GSE164522	GSE164522_CRLM_LN_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_LN_expression.csv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE164522\GSE164522_CRLM_LN_expression.csv.gz	ok	already_present	688915844	7ef0e4a61c453fb2e824f324e70bf26e5285a0b5509df8442012961015a5c064	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_MN_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_MN_expression.csv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE164522\GSE164522_CRLM_MN_expression.csv.gz	ok	already_present	882136610	a8e6341ae38cd3cb59f4591526b67b2d1dd03f389ffef9a50995180c8c098755	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_MT_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_MT_expression.csv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE164522\GSE164522_CRLM_MT_expression.csv.gz	ok	already_present	610164930	e7b47ac440f3445a2105869197c440c156deeb0d0048468044ba69ddfa28d860	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_PBMC_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_PBMC_expression.csv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE164522\GSE164522_CRLM_PBMC_expression.csv.gz	ok	downloaded	699576199	bf38ae8445e54ce55466063044bc5b386ea994aa174cf12d9b6603de2174dbb2	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_PN_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_PN_expression.csv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE164522\GSE164522_CRLM_PN_expression.csv.gz	ok	already_present	465402747	cde0d1fb75302772e7134a758108983a317b0cdc06f92e1ec7f66f11b2814612	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_PT_expression.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_PT_expression.csv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE164522\GSE164522_CRLM_PT_expression.csv.gz	ok	already_present	627881778	9262db6779faadf58a49507568abe130abb25f3e002dcbfe12ca7b150359d2e9	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_metadata.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/suppl/GSE164522_CRLM_metadata.csv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE164522\GSE164522_CRLM_metadata.csv.gz	ok	already_present	5826154	3c01aacf5a82c1a479371e90161bf28709156e07fbaebac5413890be3da13f95	2026-07-06T19:17:40+08:00
GSE178318	GSE178318_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178318/suppl/GSE178318_barcodes.tsv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE178318\GSE178318_barcodes.tsv.gz	ok	already_present	592450	8c65e63a380ee85439ecba2ff81a1af232cd169f300c38d5a74e9fcbedfdc8c1	2026-07-06T19:17:40+08:00
GSE178318	GSE178318_genes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178318/suppl/GSE178318_genes.tsv.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE178318\GSE178318_genes.tsv.gz	ok	already_present	264505	e13e2618e6b6ca963394aa0c8afbbd901524afe74f4b0bd8b1dc846fdd57bebc	2026-07-06T19:17:40+08:00
GSE178318	GSE178318_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178318/suppl/GSE178318_matrix.mtx.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\crlm-macrophage-atlas\desktop_exchange\requests\20260706_core_geo_download_audit\raw_core_geo\GSE178318\GSE178318_matrix.mtx.gz	ok	already_present	545942023	304943daca7795ab5fef630d6e127d385a8469ccbfb3d0c196788d9102f8cd74	2026-07-06T19:17:40+08:00
