accession	file_name	integrity_check	checked_at
GSE164522	GSE164522_CRLM_LN_expression.csv.gz	pass	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_MN_expression.csv.gz	pass	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_MT_expression.csv.gz	pass	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_PBMC_expression.csv.gz	pass	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_PN_expression.csv.gz	pass	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_PT_expression.csv.gz	pass	2026-07-06T19:17:40+08:00
GSE164522	GSE164522_CRLM_metadata.csv.gz	pass	2026-07-06T19:17:40+08:00
GSE178318	GSE178318_barcodes.tsv.gz	pass	2026-07-06T19:17:40+08:00
GSE178318	GSE178318_genes.tsv.gz	pass	2026-07-06T19:17:40+08:00
GSE178318	GSE178318_matrix.mtx.gz	pass	2026-07-06T19:17:40+08:00
GSE225857	GSE225857_RAW.tar	non_gzip_present	2026-07-06T19:17:40+08:00
GSE225857	filelist.txt	non_gzip_present	2026-07-06T19:17:40+08:00
