name	size	is_file
GSM7058754_immune_counts.txt.gz	224338701	True
GSM7058754_immune_meta.txt.gz	10089020	True
GSM7058755_non_immune_counts.txt.gz	90363024	True
GSM7058755_non_immune_meta.txt.gz	1979260	True
GSM7058756_C1.barcodes.tsv.gz	11983	True
GSM7058756_C1.features.tsv.gz	155265	True
GSM7058756_C1.matrix.mtx.gz	48358651	True
GSM7058756_C1_aligned_fiducials.jpg.gz	1774954	True
GSM7058756_C1_detected_tissue_image.jpg.gz	2320739	True
GSM7058756_C1_scalefactors_json.json.gz	162	True
GSM7058756_C1_tissue_hires_image.png.gz	4974590	True
GSM7058756_C1_tissue_lowres_image.png.gz	466373	True
GSM7058756_C1_tissue_positions_list.csv.gz	54319	True
GSM7058757_C2.barcodes.tsv.gz	18909	True
GSM7058757_C2.features.tsv.gz	155265	True
GSM7058757_C2.matrix.mtx.gz	44188962	True
GSM7058757_C2_aligned_fiducials.jpg.gz	2213556	True
GSM7058757_C2_detected_tissue_image.jpg.gz	2530526	True
GSM7058757_C2_scalefactors_json.json.gz	160	True
GSM7058757_C2_tissue_hires_image.png.gz	6375769	True
GSM7058757_C2_tissue_lowres_image.png.gz	589061	True
GSM7058757_C2_tissue_positions_list.csv.gz	54463	True
GSM7058758_C3.barcodes.tsv.gz	19589	True
GSM7058758_C3.features.tsv.gz	155265	True
GSM7058758_C3.matrix.mtx.gz	48983684	True
GSM7058758_C3_aligned_fiducials.jpg.gz	2222881	True
GSM7058758_C3_detected_tissue_image.jpg.gz	2564246	True
GSM7058758_C3_scalefactors_json.json.gz	165	True
GSM7058758_C3_tissue_hires_image.png.gz	6552174	True
GSM7058758_C3_tissue_lowres_image.png.gz	602575	True
GSM7058758_C3_tissue_positions_list.csv.gz	53500	True
GSM7058759_C4.barcodes.tsv.gz	22885	True
GSM7058759_C4.features.tsv.gz	155265	True
GSM7058759_C4.matrix.mtx.gz	26096416	True
GSM7058759_C4_aligned_fiducials.jpg.gz	2401780	True
GSM7058759_C4_detected_tissue_image.jpg.gz	2646679	True
GSM7058759_C4_scalefactors_json.json.gz	163	True
GSM7058759_C4_tissue_hires_image.png.gz	6858960	True
GSM7058759_C4_tissue_lowres_image.png.gz	612657	True
GSM7058759_C4_tissue_positions_list.csv.gz	65452	True
GSM7058760_L1.barcodes.tsv.gz	26555	True
GSM7058760_L1.features.tsv.gz	155265	True
GSM7058760_L1.matrix.mtx.gz	45034412	True
GSM7058760_L1_aligned_fiducials.jpg.gz	2586067	True
GSM7058760_L1_detected_tissue_image.jpg.gz	2682900	True
GSM7058760_L1_scalefactors_json.json.gz	163	True
GSM7058760_L1_tissue_hires_image.png.gz	7469863	True
GSM7058760_L1_tissue_lowres_image.png.gz	659818	True
GSM7058760_L1_tissue_positions_list.csv.gz	66432	True
GSM7058761_L2.barcodes.tsv.gz	27222	True
GSM7058761_L2.features.tsv.gz	155265	True
GSM7058761_L2.matrix.mtx.gz	23055732	True
GSM7058761_L2_aligned_fiducials.jpg.gz	2549895	True
GSM7058761_L2_detected_tissue_image.jpg.gz	2639290	True
GSM7058761_L2_scalefactors_json.json.gz	162	True
GSM7058761_L2_tissue_hires_image.png.gz	7566766	True
GSM7058761_L2_tissue_lowres_image.png.gz	685210	True
GSM7058761_L2_tissue_positions_list.csv.gz	67212	True
