clean_cluster	value	N	fraction
0	hC53_Mph-C1QC	458	0.350420811017598
0	hC50_Mph-IL1B	445	0.340474368783474
0	hC54_Mph-SPP1	132	0.100994644223412
0	hC48_Mph-FCN1	99	0.0757459831675593
0	hC51_Mph-PLTP	59	0.045141545524101
0	hC49_Mph-NLRP3	50	0.0382555470543229
0	hC46_Mono-CD14|FCGR3A	32	0.0244835501147666
0	hC52_Mph-CXCL12	15	0.0114766641162969
0	hC43_MonoDC-CLEC10A	8	0.00612088752869166
0	hC55_Mph-MKI67	6	0.00459066564651875
0	hC56_Mph-CD3E	3	0.00229533282325937
1	hC46_Mono-CD14|FCGR3A	487	0.419827586206897
1	hC48_Mph-FCN1	450	0.387931034482759
1	hC45_Mono-FCGR3A	101	0.0870689655172414
1	hC50_Mph-IL1B	39	0.0336206896551724
1	hC44_Mono-CD14	37	0.0318965517241379
1	hC49_Mph-NLRP3	35	0.0301724137931035
1	hC43_MonoDC-CLEC10A	7	0.00603448275862069
1	hC54_Mph-SPP1	2	0.00172413793103448
1	hC56_Mph-CD3E	2	0.00172413793103448
10	hC51_Mph-PLTP	439	0.814471243042672
10	hC50_Mph-IL1B	41	0.0760667903525046
10	hC49_Mph-NLRP3	37	0.0686456400742115
10	hC53_Mph-C1QC	12	0.0222634508348794
10	hC52_Mph-CXCL12	5	0.00927643784786642
10	hC56_Mph-CD3E	4	0.00742115027829314
10	hC54_Mph-SPP1	1	0.00185528756957328
11	hC44_Mono-CD14	383	0.987113402061856
11	hC46_Mono-CD14|FCGR3A	3	0.0077319587628866
11	hC48_Mph-FCN1	1	0.00257731958762887
11	hC50_Mph-IL1B	1	0.00257731958762887
12	hC49_Mph-NLRP3	176	0.902564102564103
12	hC54_Mph-SPP1	18	0.0923076923076923
12	hC56_Mph-CD3E	1	0.00512820512820513
13	hC56_Mph-CD3E	76	0.723809523809524
13	hC53_Mph-C1QC	18	0.171428571428571
13	hC55_Mph-MKI67	6	0.0571428571428571
13	hC47_Mono-CD3E	3	0.0285714285714286
13	hC51_Mph-PLTP	2	0.0190476190476191
14	hC52_Mph-CXCL12	46	0.938775510204082
14	hC55_Mph-MKI67	3	0.0612244897959184
2	hC48_Mph-FCN1	809	0.75185873605948
