clean_cluster	value	N	fraction
0	1	1219	0.932670237184392
0	8	22	0.0168324407039021
0	6	19	0.0145371078806427
0	2	17	0.0130068859984698
0	5	11	0.00841622035195103
0	3	10	0.00765110941086458
0	11	7	0.0053557765876052
0	9	2	0.00153022188217292
1	3	1136	0.979310344827586
1	5	7	0.00603448275862069
1	9	5	0.00431034482758621
1	1	4	0.00344827586206897
1	10	4	0.00344827586206897
1	4	3	0.00258620689655172
1	8	1	0.000862068965517241
10	11	530	0.98330241187384
10	8	4	0.00742115027829314
10	1	3	0.00556586270871985
10	4	1	0.00185528756957328
10	5	1	0.00185528756957328
11	14	378	0.974226804123711
11	4	7	0.0180412371134021
11	10	2	0.00515463917525773
11	12	1	0.00257731958762887
12	5	193	0.98974358974359
12	6	2	0.0102564102564103
13	8	101	0.961904761904762
13	1	2	0.0190476190476191
13	11	2	0.0190476190476191
14	22	48	0.979591836734694
14	8	1	0.0204081632653061
2	2	1043	0.969330855018587
2	9	16	0.0148698884758364
2	5	10	0.00929368029739777
2	1	4	0.00371747211895911
2	10	3	0.00278810408921933
3	4	1028	0.962546816479401
3	5	15	0.0140449438202247
3	12	10	0.00936329588014981
3	14	6	0.00561797752808989
3	3	4	0.00374531835205993
3	10	3	0.00280898876404494
3	11	1	0.000936329588014981
3	8	1	0.000936329588014981
4	6	978	0.96165191740413
4	2	19	0.0186823992133727
4	5	15	0.0147492625368732
4	1	3	0.00294985250737463
4	8	2	0.00196656833824975
5	5	701	0.917539267015707
5	11	19	0.024869109947644
5	1	16	0.0209424083769634
5	2	8	0.0104712041884817
5	3	7	0.00916230366492147
5	10	5	0.00654450261780105
5	9	5	0.00654450261780105
5	4	1	0.00130890052356021
5	6	1	0.00130890052356021
5	8	1	0.00130890052356021
6	8	556	0.95368782161235
6	1	14	0.0240137221269297
6	6	5	0.00857632933104631
6	4	3	0.00514579759862779
6	5	3	0.00514579759862779
6	10	1	0.00171526586620926
6	2	1	0.00171526586620926
7	12	569	0.98272884283247
7	4	10	0.0172711571675302
8	10	528	0.929577464788732
8	2	23	0.0404929577464789
8	1	6	0.0105633802816901
8	5	4	0.00704225352112676
8	14	3	0.00528169014084507
8	3	2	0.00352112676056338
8	4	2	0.00352112676056338
9	9	516	0.953789279112754
9	4	6	0.011090573012939
9	1	5	0.00924214417744917
9	3	4	0.00739371534195934
9	5	3	0.0055452865064695
9	10	2	0.00369685767097967
9	2	2	0.00369685767097967
9	8	2	0.00369685767097967
9	11	1	0.00184842883548983
