clean_cluster	value	N	fraction
0	patient17	300	0.229533282325937
0	patient11	282	0.215761285386381
0	patient16	248	0.189747513389441
0	patient13	179	0.136954858454476
0	patient15	124	0.0948737566947207
0	patient14	77	0.0589135424636572
0	patient12	44	0.0336648814078041
0	patient10	24	0.018362662586075
0	patient09	23	0.0175975516449885
0	patient08	6	0.00459066564651875
1	patient11	1102	0.95
1	patient12	15	0.0129310344827586
1	patient08	14	0.0120689655172414
1	patient14	12	0.0103448275862069
1	patient10	6	0.00517241379310345
1	patient16	5	0.00431034482758621
1	patient09	2	0.00172413793103448
1	patient17	2	0.00172413793103448
1	patient13	1	0.000862068965517241
1	patient15	1	0.000862068965517241
10	patient16	415	0.769944341372913
10	patient17	58	0.10760667903525
10	patient14	20	0.0371057513914657
10	patient13	15	0.0278293135435993
10	patient11	14	0.025974025974026
10	patient12	7	0.012987012987013
10	patient09	4	0.00742115027829314
10	patient15	4	0.00742115027829314
10	patient08	1	0.00185528756957328
10	patient10	1	0.00185528756957328
11	patient13	367	0.945876288659794
11	patient11	6	0.0154639175257732
11	patient12	4	0.0103092783505155
11	patient09	3	0.0077319587628866
11	patient16	3	0.0077319587628866
11	patient10	2	0.00515463917525773
11	patient17	2	0.00515463917525773
11	patient15	1	0.00257731958762887
12	patient15	89	0.456410256410256
12	patient10	44	0.225641025641026
12	patient11	29	0.148717948717949
12	patient16	10	0.0512820512820513
12	patient17	8	0.041025641025641
12	patient14	5	0.0256410256410256
12	patient12	4	0.0205128205128205
12	patient13	4	0.0205128205128205
12	patient09	2	0.0102564102564103
13	patient14	33	0.314285714285714
13	patient17	23	0.219047619047619
13	patient16	21	0.2
13	patient11	12	0.114285714285714
13	patient15	7	0.0666666666666667
13	patient13	6	0.0571428571428571
13	patient08	1	0.00952380952380953
13	patient09	1	0.00952380952380953
13	patient10	1	0.00952380952380953
14	patient17	12	0.244897959183673
14	patient11	11	0.224489795918367
14	patient13	10	0.204081632653061
14	patient15	8	0.163265306122449
14	patient09	3	0.0612244897959184
14	patient16	3	0.0612244897959184
14	patient12	2	0.0408163265306122
2	patient17	939	0.872676579925651
2	patient15	63	0.058550185873606
2	patient16	62	0.0576208178438662
2	patient09	4	0.00371747211895911
2	patient14	4	0.00371747211895911
2	patient11	2	0.00185873605947955
2	patient10	1	0.000929368029739777
2	patient12	1	0.000929368029739777
3	patient11	264	0.247191011235955
3	patient12	220	0.205992509363296
3	patient14	163	0.152621722846442
3	patient17	139	0.130149812734082
3	patient10	134	0.125468164794007
3	patient16	61	0.0571161048689139
3	patient15	32	0.0299625468164794
3	patient09	24	0.0224719101123596
3	patient13	16	0.0149812734082397
3	patient08	15	0.0140449438202247
4	patient16	607	0.596853490658801
4	patient17	190	0.186823992133727
4	patient15	120	0.117994100294985
4	patient11	29	0.0285152409046214
4	patient12	29	0.0285152409046214
4	patient13	22	0.0216322517207473
4	patient09	7	0.00688298918387414
4	patient14	7	0.00688298918387414
4	patient10	6	0.00589970501474926
5	patient12	331	0.433246073298429
5	patient16	118	0.154450261780105
5	patient11	113	0.147905759162304
5	patient17	59	0.0772251308900524
5	patient15	49	0.0641361256544503
5	patient13	37	0.0484293193717278
5	patient14	27	0.0353403141361257
5	patient10	18	0.0235602094240838
5	patient09	11	0.0143979057591623
5	patient08	1	0.00130890052356021
6	patient17	133	0.228130360205832
6	patient13	114	0.195540308747856
6	patient14	81	0.13893653516295
6	patient11	65	0.111492281303602
6	patient16	65	0.111492281303602
6	patient12	53	0.0909090909090909
6	patient15	29	0.0497427101200686
6	patient10	24	0.0411663807890223
6	patient09	11	0.0188679245283019
6	patient08	8	0.0137221269296741
7	patient08	546	0.94300518134715
7	patient10	22	0.0379965457685665
7	patient09	6	0.0103626943005181
7	patient16	2	0.00345423143350605
7	patient11	1	0.00172711571675302
7	patient12	1	0.00172711571675302
7	patient17	1	0.00172711571675302
8	patient13	344	0.605633802816901
8	patient09	171	0.301056338028169
8	patient14	17	0.0299295774647887
8	patient11	15	0.0264084507042254
8	patient16	9	0.0158450704225352
8	patient10	6	0.0105633802816901
8	patient15	4	0.00704225352112676
8	patient12	1	0.00176056338028169
8	patient17	1	0.00176056338028169
9	patient14	198	0.365988909426987
9	patient17	103	0.190388170055453
9	patient12	99	0.182994454713494
9	patient15	44	0.0813308687615527
9	patient16	33	0.0609981515711645
9	patient11	25	0.0462107208872458
9	patient10	14	0.0258780036968577
9	patient13	14	0.0258780036968577
9	patient09	8	0.0147874306839187
9	patient08	3	0.0055452865064695
