clean_cluster	value	N	fraction
0	metastasis tumor	927	0.709257842387146
0	metastasis normal	197	0.150726855394032
0	primary tumor	120	0.0918133129303749
0	lymph node	31	0.0237184391736802
0	primary normal	16	0.0122417750573833
0	metastasis normal1	8	0.00612088752869166
0	metastasis tumor1	4	0.00306044376434583
0	metastasis tumor2	4	0.00306044376434583
1	metastasis normal	1090	0.939655172413793
1	metastasis tumor	34	0.0293103448275862
1	primary tumor	23	0.0198275862068966
1	lymph node	8	0.00689655172413793
1	primary normal	3	0.00258620689655172
1	metastasis normal1	2	0.00172413793103448
10	primary tumor	235	0.435992578849722
10	primary normal	216	0.400742115027829
10	lymph node	55	0.102040816326531
10	metastasis normal	20	0.0371057513914657
10	metastasis tumor	13	0.0241187384044527
11	PBMC	348	0.896907216494845
11	metastasis normal	18	0.0463917525773196
11	primary tumor	11	0.0283505154639175
11	metastasis tumor	7	0.0180412371134021
11	primary normal	2	0.00515463917525773
11	lymph node	1	0.00257731958762887
11	metastasis normal2	1	0.00257731958762887
12	primary tumor	164	0.841025641025641
12	metastasis tumor	26	0.133333333333333
12	primary normal	3	0.0153846153846154
12	lymph node	1	0.00512820512820513
12	metastasis normal	1	0.00512820512820513
13	primary tumor	52	0.495238095238095
13	metastasis tumor	35	0.333333333333333
13	metastasis normal	14	0.133333333333333
13	lymph node	2	0.0190476190476191
13	metastasis normal1	1	0.00952380952380953
13	primary normal	1	0.00952380952380953
14	metastasis normal	42	0.857142857142857
14	lymph node	2	0.0408163265306122
14	metastasis normal2	2	0.0408163265306122
14	metastasis tumor	2	0.0408163265306122
14	metastasis normal1	1	0.0204081632653061
2	metastasis normal	771	0.716542750929368
2	metastasis tumor	246	0.228624535315985
2	lymph node	36	0.033457249070632
2	primary tumor	17	0.0157992565055762
2	metastasis normal1	2	0.00185873605947955
2	primary normal	2	0.00185873605947955
2	metastasis normal2	1	0.000929368029739777
2	metastasis tumor2	1	0.000929368029739777
3	PBMC	795	0.74438202247191
3	metastasis normal	142	0.132958801498127
3	primary tumor	55	0.051498127340824
3	metastasis tumor	40	0.0374531835205993
3	primary normal	29	0.0271535580524345
3	metastasis normal2	3	0.00280898876404494
3	lymph node	2	0.00187265917602996
3	metastasis normal1	1	0.000936329588014981
3	metastasis tumor1	1	0.000936329588014981
4	metastasis tumor	938	0.922320550639135
4	primary tumor	54	0.0530973451327434
4	lymph node	12	0.0117994100294985
4	metastasis normal	6	0.00589970501474926
4	metastasis tumor1	5	0.00491642084562439
4	metastasis tumor2	2	0.00196656833824975
5	primary tumor	225	0.294502617801047
5	metastasis tumor	182	0.238219895287958
5	metastasis normal	166	0.217277486910995
5	primary normal	105	0.137434554973822
5	lymph node	85	0.111256544502618
5	metastasis normal1	1	0.00130890052356021
6	primary tumor	355	0.608919382504288
6	metastasis tumor	148	0.253859348198971
6	lymph node	46	0.0789022298456261
6	metastasis normal	19	0.032590051457976
6	primary normal	9	0.0154373927958834
6	metastasis tumor1	3	0.00514579759862779
6	metastasis normal1	2	0.00343053173241852
6	metastasis tumor2	1	0.00171526586620926
7	PBMC	570	0.984455958549223
7	metastasis normal	4	0.00690846286701209
7	primary tumor	3	0.00518134715025907
7	lymph node	1	0.00172711571675302
7	metastasis normal1	1	0.00172711571675302
8	metastasis normal	242	0.426056338028169
8	metastasis normal1	162	0.285211267605634
8	metastasis tumor	94	0.165492957746479
8	primary tumor	46	0.0809859154929578
8	primary normal	12	0.0211267605633803
8	metastasis normal2	9	0.0158450704225352
8	lymph node	3	0.00528169014084507
9	metastasis normal	373	0.689463955637708
9	metastasis tumor	129	0.238447319778189
9	primary normal	12	0.022181146025878
9	lymph node	8	0.0147874306839187
9	primary tumor	8	0.0147874306839187
9	metastasis normal1	5	0.00924214417744917
9	PBMC	4	0.00739371534195934
9	metastasis normal2	2	0.00369685767097967
