clean_cluster	value	N	fraction
0	metastasis tumor	935	0.715378729915838
0	metastasis normal	205	0.156847742922724
0	primary tumor	120	0.0918133129303749
0	lymph node	31	0.0237184391736802
0	primary normal	16	0.0122417750573833
1	metastasis normal	1092	0.941379310344828
1	metastasis tumor	34	0.0293103448275862
1	primary tumor	23	0.0198275862068966
1	lymph node	8	0.00689655172413793
1	primary normal	3	0.00258620689655172
10	primary tumor	235	0.435992578849722
10	primary normal	216	0.400742115027829
10	lymph node	55	0.102040816326531
10	metastasis normal	20	0.0371057513914657
10	metastasis tumor	13	0.0241187384044527
11	PBMC	348	0.896907216494845
11	metastasis normal	19	0.0489690721649485
11	primary tumor	11	0.0283505154639175
11	metastasis tumor	7	0.0180412371134021
11	primary normal	2	0.00515463917525773
11	lymph node	1	0.00257731958762887
12	primary tumor	164	0.841025641025641
12	metastasis tumor	26	0.133333333333333
12	primary normal	3	0.0153846153846154
12	lymph node	1	0.00512820512820513
12	metastasis normal	1	0.00512820512820513
13	primary tumor	52	0.495238095238095
13	metastasis tumor	35	0.333333333333333
13	metastasis normal	15	0.142857142857143
13	lymph node	2	0.0190476190476191
13	primary normal	1	0.00952380952380953
14	metastasis normal	45	0.918367346938776
14	lymph node	2	0.0408163265306122
14	metastasis tumor	2	0.0408163265306122
2	metastasis normal	774	0.719330855018587
2	metastasis tumor	247	0.229553903345725
2	lymph node	36	0.033457249070632
2	primary tumor	17	0.0157992565055762
2	primary normal	2	0.00185873605947955
3	PBMC	795	0.74438202247191
3	metastasis normal	146	0.136704119850187
3	primary tumor	55	0.051498127340824
3	metastasis tumor	41	0.0383895131086142
3	primary normal	29	0.0271535580524345
3	lymph node	2	0.00187265917602996
4	metastasis tumor	945	0.929203539823009
4	primary tumor	54	0.0530973451327434
4	lymph node	12	0.0117994100294985
4	metastasis normal	6	0.00589970501474926
5	primary tumor	225	0.294502617801047
5	metastasis tumor	182	0.238219895287958
5	metastasis normal	167	0.218586387434555
5	primary normal	105	0.137434554973822
5	lymph node	85	0.111256544502618
6	primary tumor	355	0.608919382504288
6	metastasis tumor	152	0.260720411663808
6	lymph node	46	0.0789022298456261
6	metastasis normal	21	0.0360205831903945
6	primary normal	9	0.0154373927958834
7	PBMC	570	0.984455958549223
7	metastasis normal	5	0.00863557858376511
7	primary tumor	3	0.00518134715025907
7	lymph node	1	0.00172711571675302
8	metastasis normal	413	0.727112676056338
8	metastasis tumor	94	0.165492957746479
8	primary tumor	46	0.0809859154929578
8	primary normal	12	0.0211267605633803
8	lymph node	3	0.00528169014084507
9	metastasis normal	380	0.702402957486137
9	metastasis tumor	129	0.238447319778189
9	primary normal	12	0.022181146025878
9	lymph node	8	0.0147874306839187
9	primary tumor	8	0.0147874306839187
9	PBMC	4	0.00739371534195934
