cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	0	2.36872003568991	0.692	0.133	0	SDS
0	0	2.11624514803427	0.534	0.109	0	ID3
0	0	1.83624283283257	0.677	0.171	0	FPR3
0	0	1.73673139551993	0.769	0.207	0	RGS1
0	8.39610776866017e-277	2.08415967679482	0.497	0.106	2.07064809790697e-272	TREM2
0	2.52002011109943e-276	1.57616722286885	0.708	0.193	6.21487359799342e-272	C1QC
0	7.03231621721013e-263	1.64453625081766	0.647	0.18	1.73430982548836e-258	APOC1
0	1.12272459036351e-255	1.38828126802914	0.761	0.251	2.76886338475448e-251	LGMN
0	1.25333314658878e-255	1.54311037820048	0.682	0.188	3.09097020611725e-251	C1QB
0	3.47958539173201e-249	1.5959599423893	0.553	0.135	8.58135349308947e-245	SLCO2B1
0	1.34950690199287e-246	1.62751162636903	0.526	0.124	3.32815392169481e-242	PLTP
0	5.1967144492151e-244	1.69076280880812	0.568	0.148	1.28161371746543e-239	SLAMF8
0	2.52786152702609e-240	1.66362549836981	0.594	0.169	6.23421209795174e-236	APOE
0	4.72702723366094e-236	1.69327975443024	0.496	0.114	1.16577945636546e-231	CD72
0	3.2007979534817e-231	1.38488608110159	0.725	0.23	7.89380791287656e-227	C1QA
0	1.01525107122701e-230	1.79266819760194	0.473	0.106	2.50381219186004e-226	HLA-DOA
0	1.49038681784377e-224	1.78041008086935	0.507	0.128	3.6755919701663e-220	SLC16A10
0	2.50345730559783e-218	1.22975762465541	0.831	0.316	6.17402640706538e-214	ZNF331
0	4.51741069068578e-212	2.16144134542473	0.348	0.064	1.11408382453693e-207	SERPINF1
0	4.90781263772707e-211	1.9638841331799	0.357	0.067	1.21036475271625e-206	AXL
0	1.42619556751787e-209	1.58710928973734	0.476	0.117	3.51728350861257e-205	A2M
0	3.49320501639896e-190	2.02141030556627	0.303	0.052	8.61494221144311e-186	KCNMA1
0	5.49220783605967e-190	1.5200335916018	0.504	0.14	1.35448829652904e-185	SDSL
0	1.40145146811298e-188	1.75304284170555	0.415	0.101	3.45625961066023e-184	MMP14
0	3.86342883677193e-185	1.39589407445253	0.606	0.199	9.52798819724694e-181	CD9
0	2.1918365914858e-183	1.2158704678446	0.689	0.243	5.40550740192228e-179	ARL4C
0	4.49663306849039e-182	1.19539821047483	0.716	0.274	1.1089596473511e-177	LMNA
0	8.73882517249538e-182	2.4239665497443	0.255	0.039	2.15516906404081e-177	GAL3ST4
0	1.05537579615723e-176	2.47989606920528	0.216	0.027	2.60276778848296e-172	AC079767.4
0	3.02710597567763e-174	1.40807878563156	0.467	0.129	7.46544875721617e-170	C1orf54
0	1.67394227908623e-173	1.23007741493005	0.628	0.215	4.12827644868245e-169	PTMS
0	2.9695269911075e-172	1.36507238789806	0.555	0.179	7.32344746546932e-168	PMP22
0	3.62635750872409e-170	1.55561699348494	0.426	0.112	8.94332288801536e-166	ATP1B1
0	9.94365942657252e-170	1.20193176240589	0.684	0.256	2.45230528778131e-165	CD81
0	2.05659209197666e-166	2.17750276003946	0.26	0.045	5.07196741723284e-162	ADAMDEC1
0	2.72952612282633e-164	1.23160020400357	0.624	0.219	6.73155732411429e-160	PVRL2
0	2.42422650940714e-162	1.14358383230679	0.687	0.262	5.97862741749989e-158	AKR1B1
0	2.97891442879905e-162	1.39181504702486	0.484	0.145	7.34659876430422e-158	LGALS3BP
0	2.34027661207597e-159	2.99053050842248	0.168	0.017	5.77159018070176e-155	CADM1
0	1.95518586810479e-158	1.33843537940372	0.46	0.134	4.82187938792003e-154	NRP2
0	2.15545190330384e-155	1.15819543450231	0.629	0.228	5.31577548392792e-151	MSR1
0	7.48459699692938e-153	2.02696559884239	0.283	0.058	1.84585131138272e-148	HS3ST1
0	1.86699933330541e-152	1.75676860765396	0.348	0.086	4.6043937557978e-148	GALM
0	7.86718283776129e-151	2.00736955683746	0.246	0.043	1.94020463144869e-146	LINC01094
0	2.65991732590659e-149	1.11567438795748	0.708	0.301	6.55988810915084e-145	ACP5
0	3.69822363355539e-148	1.29043569533973	0.471	0.149	9.1205591250743e-144	CD59
0	1.07513036698472e-147	1.25187122104227	0.567	0.203	2.65148651105771e-143	GPNMB
