clean_cluster	value	N	fraction
0	hC49_Mph-NLRP3	506	0.820097244732577
0	hC48_Mph-FCN1	45	0.0729335494327391
0	hC50_Mph-IL1B	21	0.0340356564019449
0	hC44_Mono-CD14	13	0.0210696920583468
0	hC54_Mph-SPP1	10	0.0162074554294976
0	hC46_Mono-CD14|FCGR3A	9	0.0145867098865478
0	hC45_Mono-FCGR3A	6	0.00972447325769854
0	hC53_Mph-C1QC	3	0.00486223662884927
0	hC43_MonoDC-CLEC10A	2	0.00324149108589951
0	hC56_Mph-CD3E	2	0.00324149108589951
1	hC53_Mph-C1QC	446	0.843100189035917
1	hC50_Mph-IL1B	29	0.054820415879017
1	hC54_Mph-SPP1	27	0.0510396975425331
1	hC51_Mph-PLTP	17	0.0321361058601134
1	hC55_Mph-MKI67	6	0.0113421550094518
1	hC49_Mph-NLRP3	2	0.00378071833648393
1	hC52_Mph-CXCL12	2	0.00378071833648393
10	hC50_Mph-IL1B	35	0.546875
10	hC51_Mph-PLTP	17	0.265625
10	hC49_Mph-NLRP3	9	0.140625
10	hC52_Mph-CXCL12	2	0.03125
10	hC56_Mph-CD3E	1	0.015625
11	hC56_Mph-CD3E	23	0.657142857142857
11	hC53_Mph-C1QC	12	0.342857142857143
2	hC50_Mph-IL1B	305	0.612449799196787
2	hC51_Mph-PLTP	44	0.0883534136546185
2	hC49_Mph-NLRP3	40	0.0803212851405623
2	hC53_Mph-C1QC	35	0.070281124497992
2	hC46_Mono-CD14|FCGR3A	22	0.0441767068273092
2	hC48_Mph-FCN1	19	0.0381526104417671
2	hC54_Mph-SPP1	13	0.0261044176706827
2	hC52_Mph-CXCL12	12	0.0240963855421687
2	hC43_MonoDC-CLEC10A	6	0.0120481927710843
2	hC45_Mono-FCGR3A	1	0.00200803212851406
2	hC55_Mph-MKI67	1	0.00200803212851406
3	hC53_Mph-C1QC	185	0.459057071960298
3	hC54_Mph-SPP1	79	0.196029776674938
3	hC46_Mono-CD14|FCGR3A	43	0.106699751861042
3	hC49_Mph-NLRP3	41	0.101736972704715
3	hC50_Mph-IL1B	35	0.086848635235732
3	hC55_Mph-MKI67	9	0.0223325062034739
3	hC44_Mono-CD14	3	0.00744416873449132
3	hC51_Mph-PLTP	3	0.00744416873449132
3	hC56_Mph-CD3E	3	0.00744416873449132
3	hC45_Mono-FCGR3A	1	0.00248138957816377
3	hC52_Mph-CXCL12	1	0.00248138957816377
4	hC48_Mph-FCN1	292	0.766404199475066
4	hC44_Mono-CD14	50	0.131233595800525
4	hC49_Mph-NLRP3	28	0.073490813648294
4	hC46_Mono-CD14|FCGR3A	5	0.0131233595800525
4	hC54_Mph-SPP1	4	0.010498687664042
4	hC45_Mono-FCGR3A	2	0.005249343832021
5	hC50_Mph-IL1B	114	0.35625
5	hC48_Mph-FCN1	83	0.259375
5	hC54_Mph-SPP1	83	0.259375
5	hC49_Mph-NLRP3	16	0.05
5	hC53_Mph-C1QC	10	0.03125
5	hC56_Mph-CD3E	6	0.01875
5	hC46_Mono-CD14|FCGR3A	5	0.015625
5	hC43_MonoDC-CLEC10A	2	0.00625
5	hC55_Mph-MKI67	1	0.003125
6	hC49_Mph-NLRP3	213	0.858870967741936
6	hC54_Mph-SPP1	29	0.116935483870968
6	hC56_Mph-CD3E	2	0.00806451612903226
6	hC45_Mono-FCGR3A	1	0.00403225806451613
6	hC46_Mono-CD14|FCGR3A	1	0.00403225806451613
6	hC48_Mph-FCN1	1	0.00403225806451613
6	hC50_Mph-IL1B	1	0.00403225806451613
7	hC48_Mph-FCN1	138	0.821428571428571
7	hC46_Mono-CD14|FCGR3A	17	0.101190476190476
7	hC44_Mono-CD14	4	0.0238095238095238
7	hC49_Mph-NLRP3	3	0.0178571428571429
7	hC54_Mph-SPP1	3	0.0178571428571429
7	hC56_Mph-CD3E	2	0.0119047619047619
7	hC45_Mono-FCGR3A	1	0.00595238095238095
8	hC55_Mph-MKI67	64	0.528925619834711
8	hC56_Mph-CD3E	53	0.43801652892562
8	hC47_Mono-CD3E	3	0.0247933884297521
8	hC54_Mph-SPP1	1	0.00826446280991736
9	hC53_Mph-C1QC	85	0.904255319148936
9	hC49_Mph-NLRP3	5	0.0531914893617021
9	hC50_Mph-IL1B	1	0.0106382978723404
9	hC51_Mph-PLTP	1	0.0106382978723404
9	hC52_Mph-CXCL12	1	0.0106382978723404
9	hC55_Mph-MKI67	1	0.0106382978723404
