clean_cluster	value	N	fraction
0	5	604	0.978930307941653
0	1	9	0.0145867098865478
0	10	4	0.00648298217179903
1	1	472	0.892249527410208
1	8	53	0.100189035916824
1	5	4	0.00756143667296786
10	5	63	0.984375
10	1	1	0.015625
11	8	35	1
2	1	473	0.949799196787149
2	5	18	0.036144578313253
2	8	7	0.0140562248995984
3	8	377	0.935483870967742
3	1	13	0.032258064516129
3	10	8	0.0198511166253102
3	5	5	0.0124069478908189
4	10	367	0.963254593175853
4	5	12	0.031496062992126
4	1	1	0.0026246719160105
4	8	1	0.0026246719160105
5	1	305	0.953125
5	5	11	0.034375
5	8	3	0.009375
5	10	1	0.003125
6	5	245	0.987903225806452
6	8	3	0.0120967741935484
7	10	168	1
8	8	120	0.991735537190083
8	1	1	0.00826446280991736
9	8	92	0.978723404255319
9	1	1	0.0106382978723404
9	5	1	0.0106382978723404
