clean_cluster	value	N	fraction
0	patient12	260	0.421393841166937
0	patient16	118	0.191247974068071
0	patient11	96	0.155591572123177
0	patient17	54	0.0875202593192869
0	patient15	27	0.0437601296596434
0	patient14	21	0.0340356564019449
0	patient13	19	0.0307941653160454
0	patient10	12	0.0194489465153971
0	patient09	9	0.0145867098865478
0	patient08	1	0.00162074554294976
1	patient16	152	0.287334593572779
1	patient17	87	0.164461247637051
1	patient13	69	0.130434782608696
1	patient15	69	0.130434782608696
1	patient12	43	0.0812854442344045
1	patient14	39	0.0737240075614367
1	patient11	38	0.0718336483931947
1	patient10	13	0.0245746691871456
1	patient09	10	0.0189035916824197
1	patient08	9	0.0170132325141777
10	patient12	59	0.921875
10	patient16	3	0.046875
10	patient11	1	0.015625
10	patient14	1	0.015625
11	patient14	18	0.514285714285714
11	patient17	15	0.428571428571429
11	patient08	1	0.0285714285714286
11	patient13	1	0.0285714285714286
2	patient17	209	0.419678714859438
2	patient13	106	0.21285140562249
2	patient16	74	0.14859437751004
2	patient15	35	0.070281124497992
2	patient14	34	0.0682730923694779
2	patient11	15	0.0301204819277108
2	patient09	11	0.0220883534136546
2	patient12	9	0.0180722891566265
2	patient10	4	0.00803212851405622
2	patient08	1	0.00200803212851406
3	patient13	111	0.275434243176179
3	patient14	70	0.173697270471464
3	patient16	59	0.146401985111663
3	patient11	48	0.119106699751861
3	patient12	39	0.0967741935483871
3	patient17	37	0.0918114143920596
3	patient15	17	0.0421836228287841
3	patient10	13	0.032258064516129
3	patient09	8	0.0198511166253102
3	patient08	1	0.00248138957816377
4	patient13	347	0.910761154855643
4	patient10	7	0.0183727034120735
4	patient11	7	0.0183727034120735
4	patient14	7	0.0183727034120735
4	patient09	5	0.0131233595800525
4	patient15	5	0.0131233595800525
4	patient16	3	0.0078740157480315
5	patient11	238	0.74375
5	patient16	16	0.05
5	patient14	14	0.04375
5	patient15	12	0.0375
5	patient10	11	0.034375
5	patient12	9	0.028125
5	patient13	7	0.021875
5	patient17	6	0.01875
5	patient09	5	0.015625
5	patient08	2	0.00625
6	patient15	114	0.459677419354839
6	patient10	47	0.189516129032258
6	patient11	36	0.145161290322581
6	patient16	14	0.0564516129032258
6	patient14	11	0.0443548387096774
6	patient17	11	0.0443548387096774
6	patient13	8	0.032258064516129
6	patient12	4	0.0161290322580645
6	patient09	3	0.0120967741935484
7	patient09	167	0.994047619047619
7	patient11	1	0.00595238095238095
8	patient11	27	0.223140495867769
8	patient16	24	0.198347107438017
8	patient14	20	0.165289256198347
8	patient17	17	0.140495867768595
8	patient15	11	0.0909090909090909
8	patient13	10	0.0826446280991736
8	patient12	5	0.0413223140495868
8	patient10	4	0.0330578512396694
8	patient08	2	0.0165289256198347
8	patient09	1	0.00826446280991736
9	patient17	87	0.925531914893617
9	patient15	3	0.0319148936170213
9	patient09	1	0.0106382978723404
9	patient10	1	0.0106382978723404
9	patient12	1	0.0106382978723404
9	patient16	1	0.0106382978723404
