clean_cluster	value	N	fraction
0	primary tumor	195	0.316045380875203
0	metastasis tumor	152	0.246353322528363
0	metastasis normal	106	0.171799027552674
0	primary normal	87	0.141004862236629
0	lymph node	75	0.121555915721232
0	PBMC	1	0.00162074554294976
0	metastasis normal1	1	0.00162074554294976
1	metastasis tumor	366	0.69187145557656
1	primary tumor	127	0.24007561436673
1	lymph node	13	0.0245746691871456
1	primary normal	11	0.0207939508506616
1	metastasis normal	7	0.0132325141776938
1	metastasis tumor1	2	0.00378071833648393
1	metastasis tumor2	2	0.00378071833648393
1	metastasis normal1	1	0.00189035916824197
10	metastasis normal	51	0.796875
10	metastasis tumor	9	0.140625
10	lymph node	3	0.046875
10	primary tumor	1	0.015625
11	primary tumor	35	1
2	metastasis tumor	270	0.542168674698795
2	metastasis normal	187	0.375502008032129
2	lymph node	19	0.0381526104417671
2	primary tumor	7	0.0140562248995984
2	metastasis normal1	6	0.0120481927710843
2	primary normal	6	0.0120481927710843
2	metastasis tumor2	2	0.00401606425702811
2	metastasis tumor1	1	0.00200803212851406
3	primary tumor	214	0.531017369727047
3	metastasis tumor	134	0.332506203473945
3	lymph node	40	0.0992555831265509
3	metastasis normal	5	0.0124069478908189
3	primary normal	4	0.00992555831265509
3	metastasis normal1	2	0.00496277915632754
3	metastasis tumor1	2	0.00496277915632754
3	metastasis normal2	1	0.00248138957816377
3	metastasis tumor2	1	0.00248138957816377
4	metastasis normal	226	0.593175853018373
4	metastasis tumor	91	0.238845144356955
4	primary tumor	39	0.102362204724409
4	primary normal	17	0.0446194225721785
4	metastasis normal1	5	0.0131233595800525
4	lymph node	3	0.0078740157480315
5	metastasis tumor	286	0.89375
5	primary tumor	21	0.065625
5	metastasis normal	7	0.021875
5	lymph node	2	0.00625
5	metastasis normal1	2	0.00625
5	metastasis tumor1	2	0.00625
6	primary tumor	207	0.834677419354839
6	metastasis tumor	32	0.129032258064516
6	primary normal	5	0.0201612903225806
6	lymph node	3	0.0120967741935484
6	metastasis normal	1	0.00403225806451613
7	metastasis normal1	159	0.946428571428571
7	metastasis normal2	8	0.0476190476190476
7	metastasis tumor	1	0.00595238095238095
8	metastasis tumor	47	0.388429752066116
8	primary tumor	41	0.338842975206612
8	metastasis normal	28	0.231404958677686
8	lymph node	3	0.0247933884297521
8	primary normal	2	0.0165289256198347
9	primary tumor	88	0.936170212765957
9	primary normal	4	0.0425531914893617
9	lymph node	2	0.0212765957446809
