cluster	max_sample	max_sample_fraction	sample_entropy	norm_sample_entropy	sample_count	max_patient	max_patient_fraction	patient_entropy	norm_patient_entropy	patient_count	max_tissue	max_tissue_fraction	tissue_entropy	norm_tissue_entropy	tissue_count	max_celltype_sub	max_celltype_sub_fraction	celltype_sub_entropy	norm_celltype_sub_entropy	celltype_sub_count	max_celltype_major	max_celltype_major_fraction	celltype_major_entropy	norm_celltype_major_entropy	celltype_major_count	max_expression_group	max_expression_group_fraction	expression_group_entropy	norm_expression_group_entropy	expression_group_count
0	metastasis tumor	0.470860314523589	1.44125922002817	0.625930926250417	10	patient16	0.268732654949121	2.11891706742444	0.920233989993056	10	metastasis tumor	0.479185938945421	1.27393682862066	0.710997681608186	6	hC56_Mph-CD3E	0.777983348751156	0.913533715757389	0.367633011821723	12	Macrophage	0.890379278445884	0.34572162845417	0.498770878898888	2	MT	0.479185938945421	1.27393682862066	0.710997681608186	6
1	metastasis tumor	0.691708008504607	1.0035762039142	0.482618137513729	8	patient11	0.217576187101347	1.95202090801963	0.847751908912698	10	metastasis tumor	0.700921332388377	0.915509018556612	0.568837736133607	5	hC50_Mph-IL1B	0.340184266477675	1.67269484251268	0.673141923723928	12	Macrophage	0.964564138908576	0.153157333227688	0.220959325123364	2	MT	0.700921332388377	0.915509018556612	0.568837736133607	5
10	metastasis normal	0.427392739273927	1.40592630629878	0.676107636650863	8	patient13	0.638613861386139	0.901645737239076	0.410356659277941	9	metastasis normal	0.731023102310231	0.829366757813448	0.515314540191936	5	hC48_Mph-FCN1	0.755775577557756	0.903735638936357	0.41130781453027	9	Macrophage	0.826732673267327	0.461029336877801	0.665124738017931	2	MN	0.731023102310231	0.829366757813448	0.515314540191936	5
11	primary tumor	0.43687707641196	1.18634444659106	0.737117249087815	5	patient16	0.747508305647841	0.984777629375727	0.427683490339644	10	primary tumor	0.43687707641196	1.18634444659106	0.737117249087815	5	hC51_Mph-PLTP	0.76578073089701	0.822638547349869	0.459123315086643	6	Macrophage	1	0	0	1	PT	0.43687707641196	1.18634444659106	0.737117249087815	5
12	PBMC	0.98448275862069	0.0988897362575931	0.0614436478062289	5	patient08	0.93448275862069	0.315503170690022	0.151724953246413	8	PBMC	0.98448275862069	0.0945759222615742	0.0682221070171366	4	hC44_Mono-CD14	0.925862068965517	0.373957141817898	0.192175955297548	7	Monocyte	0.968965517241379	0.138319946157042	0.199553500376793	2	PBMC	0.98448275862069	0.0945759222615742	0.0682221070171366	4
13	lymph node	0.346246973365617	1.49099906703432	0.717018986660164	8	patient17	0.302663438256659	1.92402528088563	0.835593562530983	10	metastasis normal	0.355932203389831	1.34197643101081	0.748971306728452	6	hC43_MonoDC-CLEC10A	0.849878934624697	0.653926061057578	0.297614576044092	9	Monocyte	0.861985472154964	0.401342841266379	0.579015326791291	2	MN	0.355932203389831	1.34197643101081	0.748971306728452	6
14	PBMC	0.904392764857881	0.446218187813504	0.229310787052594	7	patient13	0.948320413436693	0.290234806642257	0.149151186031461	7	PBMC	0.904392764857881	0.436238692223904	0.24346944984298	6	hC44_Mono-CD14	0.979328165374677	0.120783256242383	0.0871267024016532	4	Monocyte	0.987080103359173	0.0690245326941688	0.0995813510175554	2	PBMC	0.904392764857881	0.436238692223904	0.24346944984298	6
15	PBMC	0.909814323607427	0.43828621998908	0.225234561935892	7	patient08	0.342175066312997	1.90658059364429	0.82801743112354	10	PBMC	0.909814323607427	0.406382371921109	0.252499564463782	5	hC56_Mph-CD3E	0.586206896551724	0.806251503203857	0.581587522690738	4	Macrophage	0.586206896551724	0.678209393903313	0.978449329268619	2	PBMC	0.909814323607427	0.406382371921109	0.252499564463782	5
16	metastasis normal	0.965317919075144	0.200050299787456	0.111650198156142	6	patient11	0.907514450867052	0.465882207577231	0.224041983503358	8	metastasis normal	0.985549132947977	0.0893065160412978	0.0644210339059255	4	hC45_Mono-FCGR3A	0.997109826589595	0.019783214722987	0.0285411457736948	2	Monocyte	1	0	0	1	MN	0.985549132947977	0.0893065160412978	0.0644210339059255	4
17	metastasis normal	0.750733137829912	0.869959467094929	0.418362069650753	8	patient11	0.457478005865103	1.66147354116595	0.721568790756628	10	metastasis normal	0.75366568914956	0.836696721703244	0.466969331583172	6	hC50_Mph-IL1B	0.791788856304985	0.977619389856154	0.381145688905015	13	Macrophage	0.912023460410557	0.297831107378513	0.429679461637448	2	MN	0.75366568914956	0.836696721703244	0.466969331583172	6
18	metastasis normal	0.323333333333333	1.58906795084303	0.723215991316426	9	patient16	0.366666666666667	1.74105592889709	0.79238870111668	9	metastasis normal	0.333333333333333	1.50597049364962	0.840498135778482	6	hC56_Mph-CD3E	0.69	1.19982220688729	0.500364724222122	11	Macrophage	0.833333333333333	0.450561208866305	0.650022421648354	2	MN	0.333333333333333	1.50597049364962	0.840498135778482	6
19	metastasis normal	0.945544554455445	0.25279219516623	0.182351023170878	4	patient17	0.851485148514852	0.672190032526949	0.305926867676799	9	metastasis normal	0.95049504950495	0.221827409659162	0.20191600981279	3	hC52_Mph-CXCL12	0.965346534653465	0.194816978851428	0.121046594805754	5	Macrophage	1	0	0	1	MN	0.95049504950495	0.221827409659162	0.20191600981279	3
2	metastasis normal	0.65655737704918	0.869551276903545	0.395749840900531	9	patient17	0.785245901639344	0.766438127782089	0.348821024344845	9	metastasis normal	0.659836065573771	0.841432047128323	0.469612167023087	6	hC48_Mph-FCN1	0.736885245901639	0.954094244438638	0.397888204402355	11	Macrophage	0.922950819672131	0.27150261630995	0.391695478138743	2	MN	0.659836065573771	0.841432047128323	0.469612167023087	6
20	primary tumor	0.451977401129944	1.55347782097083	0.747064916148536	8	patient11	0.23728813559322	1.95939278090211	0.850953472626854	10	primary tumor	0.451977401129944	1.45824571216978	0.813862428084747	6	hC56_Mph-CD3E	0.977401129943503	0.131484533651594	0.0948460423263762	4	Macrophage	0.994350282485876	0.0348775115189437	0.0503176129069278	2	PT	0.451977401129944	1.45824571216978	0.813862428084747	6
21	primary tumor	0.862068965517241	0.453158160291342	0.412482333363231	3	patient14	0.344827586206897	1.50845529159738	0.775192673890774	7	primary tumor	0.862068965517241	0.453158160291342	0.412482333363231	3	hC56_Mph-CD3E	0.982758620689655	0.0870995231917753	0.125658050172567	2	Macrophage	1	0	0	1	PT	0.862068965517241	0.453158160291342	0.412482333363231	3
22	metastasis normal	0.854166666666667	0.612548139694635	0.380597558291778	5	patient17	0.25	1.77076522206009	0.909993312342685	7	metastasis normal	0.916666666666667	0.344598248102823	0.313666842850076	3	hC52_Mph-CXCL12	0.958333333333333	0.173205206749177	0.249882292833185	2	Macrophage	1	0	0	1	MN	0.916666666666667	0.344598248102823	0.313666842850076	3
3	metastasis normal	0.933557611438183	0.331365159170366	0.184938416601827	6	patient11	0.946173254835997	0.309933446587955	0.134602385610405	10	metastasis normal	0.935239697224558	0.319052512452027	0.19823847194546	5	hC46_Mono-CD14|FCGR3A	0.413793103448276	1.3577197084856	0.589650177366587	10	Monocyte	0.539949537426409	0.689951844635459	0.995390104707769	2	MN	0.935239697224558	0.319052512452027	0.19823847194546	5
4	PBMC	0.737569060773481	0.922400166849902	0.41980240725696	9	patient11	0.24585635359116	1.97944036641837	0.859660028392049	10	PBMC	0.737569060773481	0.898845342282885	0.501655137154171	6	hC44_Mono-CD14	0.784530386740332	0.773445431604578	0.352010185750906	9	Monocyte	0.934622467771639	0.24151449209797	0.348431760052558	2	PBMC	0.737569060773481	0.898845342282885	0.501655137154171	6
5	primary tumor	0.42483660130719	1.45103706431786	0.697801325612486	8	patient12	0.338001867413632	1.88787743280153	0.819894751575382	10	primary tumor	0.42483660130719	1.43921910015999	0.803243473734817	6	hC49_Mph-NLRP3	0.764705882352941	1.00228264011061	0.403348206338504	12	Macrophage	0.967320261437908	0.143937228063942	0.207657525127153	2	PT	0.42483660130719	1.43921910015999	0.803243473734817	6
6	metastasis tumor	0.921282798833819	0.358900801759712	0.200306351339858	6	patient16	0.587949465500486	1.29297272775645	0.588457247881313	9	metastasis tumor	0.929057337220603	0.30959891102804	0.223328406802388	4	hC54_Mph-SPP1	0.904761904761905	0.410881916462044	0.211151535779551	7	Macrophage	0.990281827016521	0.0547024561606803	0.0789189622274594	2	MT	0.929057337220603	0.30959891102804	0.223328406802388	4
7	PBMC	0.926352128883775	0.317267345949183	0.163043163171335	7	patient17	0.353279631760644	1.95273857001089	0.848063585555377	10	PBMC	0.926352128883775	0.311558717580911	0.173884231076585	6	hC45_Mono-FCGR3A	0.985040276179517	0.087992622079671	0.063473259754579	4	Monocyte	0.998849252013809	0.0089375920948696	0.0128942197927568	2	PBMC	0.926352128883775	0.311558717580911	0.173884231076585	6
8	primary tumor	0.585535465924896	1.13501386722421	0.516567072356451	9	patient17	0.229485396383866	2.03655773429285	0.884465786080774	10	primary tumor	0.585535465924896	1.08252970384023	0.672613522694408	5	hC53_Mph-C1QC	0.445062586926287	1.77170263629275	0.690735913026431	13	Macrophage	0.934631432545202	0.241490645465234	0.348397356633768	2	PT	0.585535465924896	1.08252970384023	0.672613522694408	5
9	metastasis normal	0.671212121212121	0.93669274820294	0.450453994223012	8	patient14	0.328787878787879	1.90248258489233	0.826237688535773	10	metastasis normal	0.681818181818182	0.875667717611002	0.488719458526577	6	hC45_Mono-FCGR3A	0.686363636363636	1.12418097892569	0.468819882035029	11	Monocyte	0.81969696969697	0.47185267511711	0.680739514421646	2	MN	0.681818181818182	0.875667717611002	0.488719458526577	6
