cluster	cell_count	dominant_tissue_by_count	top10_genes	mac_mono_marker_hits_top50	boundary_marker_hits_top50	review_label	initial_action	reason	nCount_RNA	nFeature_RNA	n_counts	n_genes	percent_mito	percent_mt_calculated	max_sample	max_sample_fraction	sample_entropy	norm_sample_entropy	sample_count	max_patient	max_patient_fraction	patient_entropy	norm_patient_entropy	patient_count	max_tissue	max_tissue_fraction	tissue_entropy	norm_tissue_entropy	tissue_count	max_celltype_sub	max_celltype_sub_fraction	celltype_sub_entropy	norm_celltype_sub_entropy	celltype_sub_count	max_celltype_major	max_celltype_major_fraction	celltype_major_entropy	norm_celltype_major_entropy	celltype_major_count	max_expression_group	max_expression_group_fraction	expression_group_entropy	norm_expression_group_entropy	expression_group_count	top_non_myeloid_fraction	top_non_myeloid_set_mode	median_myeloid_score_z	median_top_non_myeloid_score_z	scDblFinder_cells	scDblFinder_doublet_cells	scDblFinder_doublet_fraction	scDblFinder_median_score	scDblFinder_q90_score	knn_sample_norm_entropy	knn_patient_norm_entropy	knn_tissue_norm_entropy	knn_expression_group_norm_entropy	sample_dominated_70	patient_dominated_70	tissue_dominated_90	author_subtype_dominated_80	doublet_enriched_15	non_myeloid_score_enriched	lineage_boundary_flag	small_cluster_flag	doublet_enriched_for_status	audit_status
0	2162	metastasis tumor	CXCR6,ICOS,CCDC64,FBLN7,THEMIS,GPR171,PPP2R2B,CD28,CD40LG,TRAT1	none	T_NK:CXCR6,ICOS,THEMIS,CD28,CD40LG,TRAT1,CD96,GZMK,TIGIT,IFNG,TRAC,CD3D,CD3E,TRBC2	T_NK_boundary_signal	exclude_initial	T_NK:CXCR6,ICOS,THEMIS,CD28,CD40LG,TRAT1,CD96,GZMK,TIGIT,IFNG,TRAC,CD3D,CD3E,TRBC2	4221.84093254805	3196.5	3034.4365	3197	0.0359823445	0.723005136306773	metastasis tumor	0.470860314523589	1.44125922002817	0.625930926250417	10	patient16	0.268732654949121	2.11891706742444	0.920233989993056	10	metastasis tumor	0.479185938945421	1.27393682862066	0.710997681608186	6	hC56_Mph-CD3E	0.777983348751156	0.913533715757389	0.367633011821723	12	Macrophage	0.890379278445884	0.34572162845417	0.498770878898888	2	MT	0.479185938945421	1.27393682862066	0.710997681608186	6	0.962534690101758	T_NK	-0.149341825233872	2.01550097549226	2162	257	0.118871415356152	0.248971789377762	0.408173818395273	0.581671865717887	0.768509889759101	0.581612453754885	0.581612453754885	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	lineage_boundary_and_module_score_review
1	1411	metastasis tumor	SDS,FPR3,TREM2,APOC1,LGMN,C1QC,SLCO2B1,APOE,ID3,SLAMF8	C1QC_APOE_macrophage:C1QC,APOE,C1QB,C1QA,MRC1;SPP1_TREM2_macrophage:TREM2,APOC1,GPNMB	none	mac_mono_supported	keep_initial	C1QC_APOE_macrophage:C1QC,APOE,C1QB,C1QA,MRC1;SPP1_TREM2_macrophage:TREM2,APOC1,GPNMB	4007.78695940971	2864	2833.4358	2864	0.035620652	0.77045661113232	metastasis tumor	0.691708008504607	1.0035762039142	0.482618137513729	8	patient11	0.217576187101347	1.95202090801963	0.847751908912698	10	metastasis tumor	0.700921332388377	0.915509018556612	0.568837736133607	5	hC50_Mph-IL1B	0.340184266477675	1.67269484251268	0.673141923723928	12	Macrophage	0.964564138908576	0.153157333227688	0.220959325123364	2	MT	0.700921332388377	0.915509018556612	0.568837736133607	5	0.627214741318214	DC	0.918014679025807	1.18317367952528	1411	135	0.0956768249468462	0.226747158980513	0.394086125420953	0.512218756188076	0.682198352252976	0.512218756188076	0.512218756188076	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	retain_for_now
10	606	metastasis normal	PROK2,S100A12,SLC2A3,RNASE2,VCAN,S100A8,ADAMTS2,S100A9,AQP9,GCA	Classical_monocyte:S100A12,VCAN,S100A8,S100A9,FCN1,CSF3R	none	mac_mono_supported	keep_initial	Classical_monocyte:S100A12,VCAN,S100A8,S100A9,FCN1,CSF3R	3421.30527096987	1999.5	2536.3896	1999.5	0.036067003	0.932447010800571	metastasis normal	0.427392739273927	1.40592630629878	0.676107636650863	8	patient13	0.638613861386139	0.901645737239076	0.410356659277941	9	metastasis normal	0.731023102310231	0.829366757813448	0.515314540191936	5	hC48_Mph-FCN1	0.755775577557756	0.903735638936357	0.41130781453027	9	Macrophage	0.826732673267327	0.461029336877801	0.665124738017931	2	MN	0.731023102310231	0.829366757813448	0.515314540191936	5	0.867986798679868	DC	-0.166732162779018	0.377828430544938	606	58	0.0957095709570957	0.20901287524018	0.394924439289379	0.688392681007442	0.353359335021421	0.650022421648354	0.650022421648354	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	retain_for_now
11	602	primary tumor	MAMDC2,MGP,LYVE1,IGF1,SEPP1,RNASE1,FOLR2,A2M,F13A1,MRC1	C1QC_APOE_macrophage:LYVE1,SEPP1,FOLR2,MRC1,C1QC,C1QB,C1QA;Nonclassical_monocyte:MS4A7	none	mac_mono_supported	keep_initial	C1QC_APOE_macrophage:LYVE1,SEPP1,FOLR2,MRC1,C1QC,C1QB,C1QA;Nonclassical_monocyte:MS4A7	3110.44808882475	1642	2417.3569	1642	0.04354823	1.07597899856917	primary tumor	0.43687707641196	1.18634444659106	0.737117249087815	5	patient16	0.747508305647841	0.984777629375727	0.427683490339644	10	primary tumor	0.43687707641196	1.18634444659106	0.737117249087815	5	hC51_Mph-PLTP	0.76578073089701	0.822638547349869	0.459123315086643	6	Macrophage	1	0	0	1	PT	0.43687707641196	1.18634444659106	0.737117249087815	5	0.652823920265781	Cycling	0.808345359987135	1.28465256723783	602	42	0.0697674418604651	0.118754918343852	0.359783627280583	0.794717819467524	0.425675637651034	0.797727401497528	0.797727401497528	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	batch_or_sample_review
12	580	PBMC	CD36,MNDA,NFE2,RP11-160E2.6,S100A12,IER2,JUN,VCAN,AP1S2,AHNAK	Classical_monocyte:S100A12,VCAN,FCN1,S100A8,S100A9	none	mac_mono_supported	keep_initial	Classical_monocyte:S100A12,VCAN,FCN1,S100A8,S100A9	3412.94613283873	1919.5	2776.91845	1920	0.04058497	0.912277345621517	PBMC	0.98448275862069	0.0988897362575931	0.0614436478062289	5	patient08	0.93448275862069	0.315503170690022	0.151724953246413	8	PBMC	0.98448275862069	0.0945759222615742	0.0682221070171366	4	hC44_Mono-CD14	0.925862068965517	0.373957141817898	0.192175955297548	7	Monocyte	0.968965517241379	0.138319946157042	0.199553500376793	2	PBMC	0.98448275862069	0.0945759222615742	0.0682221070171366	4	0.910344827586207	Endothelial	-0.252234547986918	0.359800596090181	580	0	0	0.0303507261079859	0.0964284406126355	0	0	0	0	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	batch_or_sample_review
13	413	metastasis normal	PPP1R14A,SPIB,IDO1,DNASE1L3,HLA-DOB,CD207,GPR157,AFF3,FCER1A,PLD4	none	DC:SPIB,IDO1,HLA-DOB,CD207,FCER1A,PLD4,CCR7	DC_boundary_signal	exclude_initial	DC:SPIB,IDO1,HLA-DOB,CD207,FCER1A,PLD4,CCR7	3606.05145549774	2239	2508.6765	2239	0.036694214	0.877757696093018	lymph node	0.346246973365617	1.49099906703432	0.717018986660164	8	patient17	0.302663438256659	1.92402528088563	0.835593562530983	10	metastasis normal	0.355932203389831	1.34197643101081	0.748971306728452	6	hC43_MonoDC-CLEC10A	0.849878934624697	0.653926061057578	0.297614576044092	9	Monocyte	0.861985472154964	0.401342841266379	0.579015326791291	2	MN	0.355932203389831	1.34197643101081	0.748971306728452	6	1	DC	-2.31102574211928	2.09512673105809	413	8	0.0193704600484262	0.113964826340958	0.240964642105209	0.758775544780494	0.762437729836463	0.778338325972432	0.778338325972432	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	lineage_boundary_and_module_score_review
14	387	PBMC	ADAMTS2,MARC1,CASC8,NFE2,RNASE2,RBP7,CDA,CYP1B1,VNN2,LTB4R	Classical_monocyte:S100A12,S100A8,CSF3R,S100A9	none	mac_mono_supported	keep_initial	Classical_monocyte:S100A12,S100A8,CSF3R,S100A9	3690.69725370407	2308	2762.2554	2308	0.03540879	0.830312389385356	PBMC	0.904392764857881	0.446218187813504	0.229310787052594	7	patient13	0.948320413436693	0.290234806642257	0.149151186031461	7	PBMC	0.904392764857881	0.436238692223904	0.24346944984298	6	hC44_Mono-CD14	0.979328165374677	0.120783256242383	0.0871267024016532	4	Monocyte	0.987080103359173	0.0690245326941688	0.0995813510175554	2	PBMC	0.904392764857881	0.436238692223904	0.24346944984298	6	0.832041343669251	Endothelial	-0.171571386839293	0.24396171055258	387	0	0	0.0453301481684924	0.124769329819495	0	0	0	0	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	batch_or_sample_review
15	377	PBMC	FGFBP2,LINC00861,PTPRCAP,CD3E,GNLY,LEF1,LCK,TCF7,IL32,PRSS23	none	T_NK:PTPRCAP,CD3E,GNLY,LEF1,LCK,TCF7,IL32,CD3D,TRBC1,TRBC2	T_NK_boundary_signal	exclude_initial	T_NK:PTPRCAP,CD3E,GNLY,LEF1,LCK,TCF7,IL32,CD3D,TRBC1,TRBC2	3982.95334756374	2677	2993.4023	2677	0.040834166	0.770951862448166	PBMC	0.909814323607427	0.43828621998908	0.225234561935892	7	patient08	0.342175066312997	1.90658059364429	0.82801743112354	10	PBMC	0.909814323607427	0.406382371921109	0.252499564463782	5	hC56_Mph-CD3E	0.586206896551724	0.806251503203857	0.581587522690738	4	Macrophage	0.586206896551724	0.678209393903313	0.978449329268619	2	PBMC	0.909814323607427	0.406382371921109	0.252499564463782	5	1	T_NK	-0.605151819374486	1.85777172592972	377	11	0.0291777188328912	0.147231116191881	0.315101574558279	0.210842300318532	0.744007477192058	0.210842300318532	0.210842300318532	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	lineage_boundary_and_module_score_review
16	346	metastasis normal	LYPD2,SH2D1B,FCGR3A,MTSS1,CEACAM3,CX3CR1,TCF7L2,CDKN1C,RHOC,ABI3	Classical_monocyte:LILRB2;Nonclassical_monocyte:FCGR3A,CX3CR1,MS4A7,LYN,LST1	B_plasma:CD79B;Endothelial_epithelial:PECAM1	mixed_boundary_signal	review_before_keep	B_plasma:CD79B;Endothelial_epithelial:PECAM1; mac_mono=Classical_monocyte:LILRB2;Nonclassical_monocyte:FCGR3A,CX3CR1,MS4A7,LYN,LST1	3525.6178855896	2099	2726.0469	2099	0.038974813	0.87800951264974	metastasis normal	0.965317919075144	0.200050299787456	0.111650198156142	6	patient11	0.907514450867052	0.465882207577231	0.224041983503358	8	metastasis normal	0.985549132947977	0.0893065160412978	0.0644210339059255	4	hC45_Mono-FCGR3A	0.997109826589595	0.019783214722987	0.0285411457736948	2	Monocyte	1	0	0	1	MN	0.985549132947977	0.0893065160412978	0.0644210339059255	4	0.760115606936416	Endothelial	0.240863736024369	0.687526858358928	346	9	0.0260115606936416	0.0980809384194982	0.252699487197808	0	0	0	0	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	lineage_boundary_and_module_score_review
17	341	metastasis normal	CLEC10A,C1QC,C1QB,C1QA,HLA-DQA1,HLA-DQB1,HLA-DPB1,HLA-DMA,ZNF812P,HLA-DPA1	C1QC_APOE_macrophage:C1QC,C1QB,C1QA	DC:CLEC10A,PLD4,FCER1A	DC_boundary_signal	exclude_initial	DC:CLEC10A,PLD4,FCER1A	3332.75920772553	1867	2508.1328	1867	0.038398426	0.978024367073622	metastasis normal	0.750733137829912	0.869959467094929	0.418362069650753	8	patient11	0.457478005865103	1.66147354116595	0.721568790756628	10	metastasis normal	0.75366568914956	0.836696721703244	0.466969331583172	6	hC50_Mph-IL1B	0.791788856304985	0.977619389856154	0.381145688905015	13	Macrophage	0.912023460410557	0.297831107378513	0.429679461637448	2	MN	0.75366568914956	0.836696721703244	0.466969331583172	6	0.724340175953079	DC	0.376269955371084	1.12085411912139	341	15	0.0439882697947214	0.155011501701788	0.327975763331621	0.506878839146406	0.723219672335508	0.486032805473784	0.486032805473784	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	lineage_boundary_and_module_score_review
