cluster	knn_sample_norm_entropy	knn_patient_norm_entropy	knn_tissue_norm_entropy	knn_expression_group_norm_entropy
11	0.794717819467524	0.425675637651034	0.797727401497528	0.797727401497528
7	0	0.678014589048823	0	0
13	0.758775544780494	0.762437729836463	0.778338325972432	0.778338325972432
5	0.779414980518326	0.752992458890601	0.792155476756316	0.792155476756316
0	0.581671865717887	0.768509889759101	0.581612453754885	0.581612453754885
1	0.512218756188076	0.682198352252976	0.512218756188076	0.512218756188076
18	0.731827289107278	0.764276959086953	0.743622462137679	0.743622462137679
8	0.626185667640569	0.800662096880087	0.650022421648354	0.650022421648354
3	0	0	0	0
2	0.468995593589281	0.210842300318532	0.468995593589281	0.468995593589281
17	0.506878839146406	0.723219672335508	0.486032805473784	0.486032805473784
22	0.383254753276453	0.872169223435182	0.210842300318532	0.210842300318532
20	0.781992311477	0.810895075983211	0.796026905399756	0.796026905399756
6	0.210842300318532	0.505033668999299	0	0
9	0.623882038398248	0.670002769561165	0.639197763837784	0.639197763837784
4	0.210842300318532	0.684318932327552	0.210842300318532	0.210842300318532
10	0.688392681007442	0.353359335021421	0.650022421648354	0.650022421648354
14	0	0	0	0
19	0	0.210842300318532	0	0
12	0	0	0	0
15	0.210842300318532	0.744007477192058	0.210842300318532	0.210842300318532
16	0	0	0	0
21	0.638501929598189	0.778931355860385	0.638501929598189	0.638501929598189
