cluster	score_set	median_score	mean_score	median_score_z	mean_score_z
1	B_Plasma	0.124153339293678	0.117745810456505	-0.062949375536957	-0.101834140354854
1	Cycling	0	0.149556185712433	-0.486736359733099	0.244984041947416
1	DC	0.444579277485925	0.463113258311369	0.312009539492253	0.42992874863189
1	Endothelial	0.205614557123313	0.210764701530652	0.170317675692896	0.205351090890878
1	Epithelial	0	0.0200734481028886	-0.189303574424947	0.138428322868721
1	Mast	0	0.00383050025041136	-0.0782651880684548	-0.041638265665191
1	Myeloid_Mac_Mono	1.27027543404521	1.25840815657203	0.918014679025807	0.872088756922856
1	RBC	0	0.0010743000505448	-0.0427432617077195	0.00560300725103665
1	T_NK	0	0.0609982163004497	-0.558077277451056	-0.353163101946267
4	B_Plasma	0	0.0623451310775409	-0.816387014675459	-0.438039008588159
4	Cycling	0	0.024988984548626	-0.486736359733099	-0.36447495192568
4	DC	0.303616399518598	0.303124528193996	-0.584842099910217	-0.587971545124488
4	Endothelial	0.2122421386556	0.176900228382719	0.215401230097353	-0.0250090804786753
4	Epithelial	0	0.00491643438098693	-0.189303574424947	-0.109034735741032
4	Mast	0	0.000700178324364117	-0.0782651880684548	-0.0715701416049611
4	Myeloid_Mac_Mono	0.987204485252668	0.99426305548652	-0.177459356466894	-0.150142952392685
4	RBC	0	0.00154167220960084	-0.0427432617077195	0.0266359580491854
4	T_NK	0	0.02148642187792	-0.558077277451056	-0.485896930373763
3	B_Plasma	0.129936528543273	0.0992498683767929	-0.0278534813814307	-0.214078716404614
3	Cycling	0	0.0314572316327898	-0.486736359733099	-0.332828328069588
3	DC	0.383365070373399	0.400288944212	-0.0774551394022563	0.0302200458384051
3	Endothelial	0.202100095203458	0.15395311928966	0.146410850194887	-0.1811048201059
3	Epithelial	0	0.00657995373901333	-0.189303574424947	-0.0818750593069537
3	Mast	0	0.000413108971742039	-0.0782651880684548	-0.0743150746986779
3	Myeloid_Mac_Mono	1.0397660925561	1.04833794465586	0.0259521073738435	0.0591248559424414
3	RBC	0	0	-0.0427432617077195	-0.04274326170772
3	T_NK	0	0.0155876396783653	-0.558077277451056	-0.505712986714662
9	B_Plasma	0.142642039245588	0.13889001803632	0.0492512508961027	0.0264817143053764
9	Cycling	0	0.0411483941617958	-0.486736359733099	-0.285413229157471
9	DC	0.397186664235333	0.389372087823723	0.0104823324554298	-0.0392365422373294
9	Endothelial	0.226811049923195	0.206831803755722	0.314504998273827	0.178597891410878
9	Epithelial	0	0.00640115898960212	-0.189303574424947	-0.084794176249414
9	Mast	0	0.000625278529899779	-0.0782651880684548	-0.0722863271631185
9	Myeloid_Mac_Mono	1.03257189746286	1.02728669189109	-0.00188915985805561	-0.0223427086973341
9	RBC	0	0	-0.0427432617077195	-0.0427432617077199
9	T_NK	0	0.0612803914475353	-0.558077277451056	-0.352215177709793
21	B_Plasma	0.974702583815731	0.829843684402532	5.09869845777561	4.21960694237212
21	Cycling	0.376249034723287	0.458304099636368	1.35410421471825	1.75556781698989
21	DC	0.164121279818087	0.169001781230181	-1.47235538423069	-1.44130404819343
21	Endothelial	0	0.0458915033248476	-1.22835769740655	-0.916184685762826
21	Epithelial	0	0.055745040122967	-0.189303574424947	0.720825451269565
21	Mast	1.70120061512637	1.63072464381676	16.1884725352687	15.5145872034052
21	Myeloid_Mac_Mono	0.0839526084568233	0.142583357097175	-3.67301049924794	-3.44611168433608
21	RBC	0	0	-0.0427432617077195	-0.0427432617077195
21	T_NK	0.409044346623336	0.398180854974524	0.816044625070819	0.779550386889249
2	B_Plasma	0.134842861985152	0.106920102985102	0.0019211207863858	-0.16753108838429
2	Cycling	0	0.0286682081933481	-0.486736359733099	-0.346473937856191
2	DC	0.449504567228568	0.437954737183961	0.343345833443669	0.269862061264109
2	Endothelial	0.205011594830164	0.177658128115754	0.166216076457243	-0.0198535326093742
2	Epithelial	0	0.00575074610700718	-0.189303574424947	-0.0954132311793105
2	Mast	0	0.000859447616560428	-0.0782651880684548	-0.0700472219795492
2	Myeloid_Mac_Mono	1.01416634052155	1.02340311565004	-0.0731179801378739	-0.0373720041975577
2	RBC	0	0	-0.0427432617077195	-0.04274326170772
2	T_NK	0	0.0254710920919913	-0.558077277451056	-0.472511040406865
12	B_Plasma	0	0.0529038905590845	-0.816387014675459	-0.495334172836124
12	Cycling	0	0.022138798246826	-0.486736359733099	-0.378419807871851
12	DC	0.310193275762715	0.308232778429042	-0.542997875907852	-0.555471197062348
12	Endothelial	0.214191330844591	0.181495969164485	0.228660442627453	0.00625305165115422
12	Epithelial	0	0.00220789101086189	-0.189303574424947	-0.153256139709269
12	Mast	0	0	-0.0782651880684548	-0.0782651880684549
12	Myeloid_Mac_Mono	0.967882544500145	0.976030808979573	-0.252234547986918	-0.220701067742421
12	RBC	0	0	-0.0427432617077195	-0.0427432617077199
12	T_NK	0	0.0110635398709156	-0.558077277451056	-0.520911007872834
0	B_Plasma	0.128731867220378	0.144041104440861	-0.0351640957253298	0.0577416256514263
0	Cycling	0.180150508242267	0.173657408588306	0.394670194105088	0.362901976265661
0	DC	0.417946861645308	0.424191344777246	0.142565454976318	0.182294885978697
0	Endothelial	0.175401370826478	0.16749892241723	-0.0352049303301078	-0.088960657219501
0	Epithelial	0	0.0149496961107324	-0.189303574424947	0.0547746848368013
0	Mast	0	0.00325952529016592	-0.0782651880684548	-0.0470978803880651
0	Myeloid_Mac_Mono	0.994470067079312	1.000558684699	-0.149341825233872	-0.12577910167336
0	RBC	0	0.00205206358227704	-0.0427432617077195	0.0496048842491996
0	T_NK	0.697627751792323	0.724952713886886	1.78549642417417	1.87729045386723
11	B_Plasma	0.158523649638025	0.160862409367287	0.145630479258953	0.159823489442588
11	Cycling	0	0.159767574254718	-0.486736359733099	0.294944404939303
11	DC	0.406029533152789	0.417488181010064	0.06674353824239	0.139647179713975
11	Endothelial	0.199886487049341	0.165951247662877	0.131352970761776	-0.099488581870203
11	Epithelial	0	0.0111219290067811	-0.189303574424947	-0.00771987857583839
11	Mast	0	0.00172074858190142	-0.0782651880684548	-0.0618115343249094
11	Myeloid_Mac_Mono	1.24193683615253	1.24175679753014	0.808345359987135	0.807648617219824
11	RBC	0	0.000926494346648071	-0.0427432617077195	-0.00104863007375532
11	T_NK	0	0.0234927110490105	-0.558077277451056	-0.479157108846965
14	B_Plasma	0.124295499074284	0.0991395853189992	-0.0620866639088217	-0.214747980776992
14	Cycling	0	0.0240177484814186	-0.486736359733099	-0.369226833245998
14	DC	0.277072764495242	0.262736122479759	-0.753721332014967	-0.844935707604638
14	Endothelial	0.19856494282522	0.164044577967439	0.122363279629979	-0.1124585387884
14	Epithelial	0	0.00318375659170702	-0.189303574424947	-0.137323536766584
14	Mast	0	0	-0.0782651880684548	-0.0782651880684542
14	Myeloid_Mac_Mono	0.988725939066219	0.999878221298579	-0.171571386839293	-0.128412469705098
14	RBC	0	0	-0.0427432617077195	-0.0427432617077198
14	T_NK	0	0.0195760837732011	-0.558077277451056	-0.492314418972708
15	B_Plasma	0.114214727310142	0.124044551233245	-0.123262890999284	-0.0636095673601093
15	Cycling	0	0.0760909761371537	-0.486736359733099	-0.114452730285657
15	DC	0.311129598907464	0.315445868376703	-0.537040683776932	-0.509579174722842
15	Endothelial	0.198731830838284	0.178172308888473	0.123498521011731	-0.0163558620446754
15	Epithelial	0	0.000983725939362409	-0.189303574424947	-0.17324263826332
15	Mast	0	0.000942283427944215	-0.0782651880684548	-0.0692551528926342
15	Myeloid_Mac_Mono	0.876688574017746	0.881762005752303	-0.605151819374486	-0.585517827402654
15	RBC	0	0.00121401337181726	-0.0427432617077195	0.0118904665171274
15	T_NK	0.662578296499276	0.672544212289286	1.66775314135602	1.70123211076065
13	B_Plasma	0.132581451414696	0.158544972455865	-0.0118024878657839	0.145759879028819
13	Cycling	0	0.133345271817363	-0.486736359733099	0.165670328707113
13	DC	0.600137879514682	0.597702770801139	1.30172391865656	1.28623096566528
13	Endothelial	0	0.077970227112124	-1.22835769740655	-0.69797192111497
13	Epithelial	0	0.0214895173350659	-0.189303574424947	0.161547970962154
13	Mast	0	0.0152591229626013	-0.0782651880684548	0.0676412670043641
13	Myeloid_Mac_Mono	0.435890039149096	0.493839248505459	-2.31102574211928	-2.08676445886851
13	RBC	0	0.00095464607549661	-0.0427432617077195	0.000218270224606748
13	T_NK	0.0971425134298361	0.110265462460739	-0.231741865479498	-0.187657325898642
5	B_Plasma	0.164531500791163	0.178880105097187	0.182089757880595	0.269165777057908
5	Cycling	0	0.0471276457989674	-0.486736359733099	-0.256159070335095
5	DC	0.445257315282895	0.462055792409153	0.31632343630366	0.423200806909283
5	Endothelial	0	0.130113471284078	-1.22835769740655	-0.343271979062307
5	Epithelial	0	0.0097009419367253	-0.189303574424947	-0.030919818422353
5	Mast	0	0.00308416418870848	-0.0782651880684548	-0.0487746685451579
5	Myeloid_Mac_Mono	1.03375041654874	1.0186804571809	0.00267166513800635	-0.0556485166885274
5	RBC	0	0	-0.0427432617077195	-0.04274326170772
5	T_NK	0	0.0457428544386137	-0.558077277451056	-0.404411156193424
10	B_Plasma	0.147032368301801	0.127280806376924	0.075894426004988	-0.0439700115577835
10	Cycling	0	0.0157894778451753	-0.486736359733099	-0.409484569603789
10	DC	0.367744703122555	0.383907673752423	-0.176836992121205	-0.0740029203709814
10	Endothelial	0.18726008620681	0.133139858470351	0.0454629629899107	-0.322685240038934
10	Epithelial	0	0.00605144961460553	-0.189303574424947	-0.0905037542143735
10	Mast	0	0.00101590232518477	-0.0782651880684548	-0.0685512151663927
10	Myeloid_Mac_Mono	0.98997639658669	1.00427590837177	-0.166732162779018	-0.111393584420479
10	RBC	0	0.0033731791672018	-0.0427432617077195	0.109058487888132
10	T_NK	0	0.0302017738229534	-0.558077277451056	-0.456619038881758
19	B_Plasma	0.122544212041398	0.102387656070403	-0.0727145340492312	-0.195036720712501
19	Cycling	0.215755746142341	0.177950473396055	0.568872811362708	0.383906277027955
19	DC	0.477382592035691	0.472076342580527	0.520714886999504	0.48695480355366
19	Endothelial	0.361450129144066	0.365282036733367	1.23037577609078	1.25644199850291
19	Epithelial	0	0.00708930777406088	-0.189303574424947	-0.0735590209539695
19	Mast	0	0.00354667031870328	-0.0782651880684548	-0.0443522236875871
19	Myeloid_Mac_Mono	1.24176552246054	1.2592305929046	0.807682382375701	0.875271554917527
19	RBC	0	0	-0.0427432617077195	-0.0427432617077195
19	T_NK	0	0.0509773214190897	-0.558077277451056	-0.386826765197008
6	B_Plasma	0.121247822129115	0.105904269770429	-0.0805818130162767	-0.173695779429868
6	Cycling	0	0.083797026343138	-0.486736359733099	-0.0767500159162563
6	DC	0.368659675894585	0.36342663562786	-0.171015637999923	-0.204309940797562
6	Endothelial	0.257163724052635	0.25244433103635	0.520976458303279	0.488873192463517
6	Epithelial	0	0.0171079564977382	-0.189303574424947	0.0900118183806552
6	Mast	0	0.000649687194052764	-0.0782651880684548	-0.0720529335619041
6	Myeloid_Mac_Mono	1.18854345708721	1.16856075819746	0.60171497038774	0.524382669471094
6	RBC	0	0.00100028113781061	-0.0427432617077195	0.00227196555438286
6	T_NK	0	0.0387139085346199	-0.558077277451056	-0.42802382459491
8	B_Plasma	0.123259702280949	0.131522115809272	-0.0683725060378975	-0.018231177759644
8	Cycling	0.27162029885344	0.396028431865155	0.842196397109047	1.4508771322188
8	DC	0.381361210992973	0.394830834679399	-0.0902043439898908	-0.00450622077119537
8	Endothelial	0.187108650307269	0.181028285871835	0.0444328332838467	0.00307167620287579
8	Epithelial	0	0.0264576957998326	-0.189303574424947	0.242661616510536
8	Mast	0	0.00399966982217638	-0.0782651880684548	-0.0400206803961732
8	Myeloid_Mac_Mono	1.1763614748609	1.17165644658579	0.554571152603953	0.536362868307646
8	RBC	0	0.00263063421189929	-0.0427432617077195	0.0756420525963173
8	T_NK	0.0751081471360305	0.153521132064013	-0.305762947991584	-0.0423465215793214
17	B_Plasma	0.11322323090219	0.0945934155360911	-0.129279891565453	-0.242336891778852
17	Cycling	0	0.13207642219873	-0.486736359733099	0.159462339728285
17	DC	0.463301819441743	0.481947273502996	0.431128435821463	0.549756873913614
17	Endothelial	0.17799972536652	0.138245952008124	-0.017529846636703	-0.287951477099466
