cluster	median	mean	q10	q90	metric
11	1642	1748.66777408638	1026.1	2633.9	n_genes
7	2599	2550.54315304948	1788.6	3185.2	n_genes
13	2239	2204.76271186441	998	3304	n_genes
5	1690	1762.30625583567	990	2638	n_genes
0	3197	3228.21924144311	1874.3	4623.8	n_genes
1	2864	2888.14812189936	1336	4504	n_genes
18	999.5	1121.66333333333	836	1563.9	n_genes
8	2580	2739.23783031989	1108.4	4610.8	n_genes
3	1627	1659.36080740118	1058.2	2324.6	n_genes
2	2008	2011.61721311475	1165.9	2790.3	n_genes
17	1867	1919.15249266862	1083	2732	n_genes
22	1041	1113.9375	846	1453.3	n_genes
20	3117	3054.16384180791	1175.2	4690.6	n_genes
6	2660	2763.7084548105	1378.4	4287.8	n_genes
9	2164	2103.06515151515	1199.2	2875	n_genes
4	1794	1853.03775322284	994.5	2752.5	n_genes
10	1999.5	1977.53135313531	1201	2645	n_genes
14	2308	2202.85529715762	1290.2	2831.4	n_genes
19	2989.5	2855.31188118812	1770.3	3721.6	n_genes
12	1920	1898.07068965517	1123.8	2584.6	n_genes
15	2677	2570.75596816976	1296.4	3660.8	n_genes
16	2099	2045.66473988439	1387.5	2519.5	n_genes
21	1462.5	1754.93103448276	907.6	3062.5	n_genes
11	2417.3569	2435.77212408638	1994.85114	2908.46415	n_counts
7	2998.667	2957.16587491369	2591.66828	3264.73046	n_counts
13	2508.6765	2461.56980387409	1905.12282	2930.42006	n_counts
5	2321.1238	2306.30732427638	1872.1385	2718.2231	n_counts
0	3034.4365	3015.83486711378	2582.33684	3443.26258	n_counts
1	2833.4358	2811.28647065911	2246.1348	3322.5178	n_counts
18	2033.7595	2111.01813633333	1813.24632	2528.84287	n_counts
8	2851.5796	2781.80427065369	2022.7552	3452.45852	n_counts
3	2470.4072	2448.63687661901	2072.36582	2777.0294	n_counts
2	2572.48355	2543.33668032787	2064.59263	2938.75162	n_counts
17	2508.1328	2471.48900087977	1980.064	2847.7603	n_counts
22	1958.34905	1988.73427083333	1742.1582	2283.50525	n_counts
20	2047.4475	2059.10749214689	1477.5374	2783.85768	n_counts
6	2839.7488	2809.33905549077	2168.4942	3377.11898	n_counts
9	2670.49965	2633.05104560606	2192.43065	3010.10292	n_counts
4	2609.2997	2587.21147145488	2039.2139	3072.44425	n_counts
10	2536.3896	2508.74940264026	2083.3831	2856.11205	n_counts
14	2762.2554	2694.33251782946	2237.0424	2983.43246	n_counts
19	2752.7965	2724.91933168317	2390.02816	3042.69212	n_counts
12	2776.91845	2720.55059965517	2201.06216	3122.45586	n_counts
15	2993.4023	2908.86361193634	2280.55466	3372.26788	n_counts
16	2726.0469	2672.15135289017	2340.31445	2909.1377	n_counts
21	1936.22795	1954.93774482759	1273.16477	2835.29666	n_counts
11	0.04354823	0.0494847194551495	0.026015088	0.081388474	percent_mito
7	0.045479808	0.047493693840046	0.0326758172	0.06430338	percent_mito
13	0.036694214	0.0405320042276029	0.0254349062	0.0624768914	percent_mito
5	0.035526756	0.0401020657189543	0.019736841	0.06635319	percent_mito
0	0.0359823445	0.0378885059481961	0.0232052886	0.053876157	percent_mito
1	0.035620652	0.0393517073281361	0.021012377	0.061597407	percent_mito
18	0.0419826785	0.0441994576833333	0.0090778067	0.0756827886	percent_mito
8	0.037467018	0.0409659481001391	0.0174910628	0.070386998	percent_mito
3	0.040632054	0.0427128973490328	0.0290249414	0.0585903572	percent_mito
2	0.0326023975	0.0335523461360656	0.0226295315	0.0454512993	percent_mito
17	0.038398426	0.0435606093049853	0.02336639	0.07423346	percent_mito
22	0.005854133	0.0181393978125	0	0.0577868561000001	percent_mito
20	0.022695886	0.0258021833672316	0.0124032058	0.0402522056	percent_mito
6	0.02532928	0.027272347068999	0.0063470954	0.0477037068	percent_mito
9	0.039864437	0.0419160510409091	0.0266479223	0.0601417487	percent_mito
4	0.0442676695	0.0480449466086556	0.0272356875	0.077074055	percent_mito
10	0.036067003	0.0376071000181518	0.024247408	0.05298394	percent_mito
14	0.03540879	0.0357609921757106	0.0263165408	0.044667167	percent_mito
19	0.0315700395	0.0330124349009901	0.0174976581	0.047393383	percent_mito
12	0.04058497	0.0414536933034483	0.0306595272	0.0535028313	percent_mito
15	0.040834166	0.0425862686923077	0.0315290378	0.055291162	percent_mito
16	0.038974813	0.0407991717485549	0.02980516	0.052627645	percent_mito
21	0.0377718115	0.0360184675517241	0.0153251416	0.0538006231	percent_mito
11	1.07597899856917	1.11855090677831	0.80144273870741	1.49675783185084	percent_mt_calculated
7	0.802427726467618	0.835886487600707	0.704009191206785	0.994103243978245	percent_mt_calculated
13	0.877757696093018	0.990676829265066	0.699025938480604	1.49020512942801	percent_mt_calculated
5	1.03570567139811	1.08628254708184	0.787042538434034	1.4696751499711	percent_mt_calculated
0	0.723005136306773	0.758735310632437	0.593829532043185	0.968304619627482	percent_mt_calculated
1	0.77045661113232	0.846400493501476	0.604924053822423	1.19765765252403	percent_mt_calculated
18	1.30406382467043	1.2835554342339	0.829980808414202	1.75345808849745	percent_mt_calculated
8	0.773324193741289	0.857210953734494	0.58064864269129	1.32425552599973	percent_mt_calculated
3	1.03732284918699	1.08118556853198	0.833455025263444	1.39564237051857	percent_mt_calculated
2	0.915660100986948	0.965165696555252	0.761062327873014	1.2680692542141	percent_mt_calculated
17	0.978024367073622	1.0150932254958	0.738666736122045	1.38799755669513	percent_mt_calculated
22	0.842700757153354	0.735162398496003	0	1.46194083055773	percent_mt_calculated
20	0.833063534425116	0.92647924754803	0.662744596732405	1.33506404347543	percent_mt_calculated
6	0.732627655401176	0.778831449931737	0.542653982413752	1.09804806222077	percent_mt_calculated
9	0.88825941863739	0.95984386138128	0.757148103280556	1.29141083224175	percent_mt_calculated
4	0.955502671106398	1.02401206767052	0.751578302983441	1.417072917877	percent_mt_calculated
10	0.932447010800571	0.984678755731811	0.784099724713461	1.26921112406859	percent_mt_calculated
14	0.830312389385356	0.890599091123203	0.738357095033068	1.16073401548569	percent_mt_calculated
19	0.761861424670375	0.773188512645014	0.654527544366896	0.938823576851859	percent_mt_calculated
12	0.912277345621517	0.974853176959959	0.760025839455395	1.30094984325147	percent_mt_calculated
15	0.770951862448166	0.85822723599515	0.658190948500792	1.20182022699439	percent_mt_calculated
16	0.87800951264974	0.931250337508957	0.795122854160927	1.18440464258445	percent_mt_calculated
21	1.24775478773608	1.21545963788494	0.815745858776078	1.64254262767756	percent_mt_calculated
11	1642	1748.55149501661	1026.1	2633.6	nFeature_RNA
7	2599	2550.47065592635	1788.6	3185.2	nFeature_RNA
13	2239	2204.68523002421	998	3304	nFeature_RNA
5	1690	1762.22875816993	990	2638	nFeature_RNA
0	3196.5	3228.08556891767	1874.3	4623.8	nFeature_RNA
1	2864	2888.01488306166	1336	4502	nFeature_RNA
18	999.5	1121.61333333333	836	1563.9	nFeature_RNA
8	2580	2739.06815020862	1108.4	4610.6	nFeature_RNA
3	1627	1659.33725820017	1058.2	2324.6	nFeature_RNA
2	2008	2011.53852459016	1165.9	2790.3	nFeature_RNA
17	1867	1919.10263929619	1083	2732	nFeature_RNA
22	1041	1113.91666666667	846	1453.3	nFeature_RNA
20	3117	3054	1174.8	4690	nFeature_RNA
6	2660	2763.55685131195	1378.4	4287.8	nFeature_RNA
9	2163	2103.02272727273	1199.2	2875	nFeature_RNA
4	1794	1852.96961325967	994	2752.5	nFeature_RNA
10	1999.5	1977.49339933993	1200.5	2645	nFeature_RNA
14	2308	2202.7984496124	1290.2	2831.4	nFeature_RNA
19	2989.5	2855.12376237624	1769.4	3721.6	nFeature_RNA
12	1919.5	1898.01206896552	1123.8	2584.6	nFeature_RNA
15	2677	2570.69230769231	1296.4	3660.8	nFeature_RNA
16	2099	2045.65028901734	1387.5	2519.5	nFeature_RNA
21	1462	1754.77586206897	907.6	3061.8	nFeature_RNA
11	3110.44808882475	3133.46639722081	2390.33080480099	3897.02424488068	nCount_RNA
7	3913.134360075	3834.12175953423	3275.46313159466	4273.82520465851	nCount_RNA
13	3606.05145549774	3429.54848410777	2345.83906993866	4211.27626020908	nCount_RNA
5	3125.30871415138	3110.97573953299	2329.22307944298	3837.69797718525	nCount_RNA
0	4221.84093254805	4142.20973811772	3339.67552530766	4823.90799645782	nCount_RNA
1	4007.78695940971	3883.576295366	2790.54489994049	4726.58870977163	nCount_RNA
18	2351.20656406879	2497.21651936173	2119.6891708374	3064.74643708467	nCount_RNA
8	3867.53913092613	3758.65106611557	2491.2420445919	4798.50353384018	nCount_RNA
3	3102.41236460209	3080.61762035414	2445.01979527474	3691.05166974068	nCount_RNA
2	3423.59073126316	3358.46669626832	2580.10336233378	3978.47208281756	nCount_RNA
17	3332.75920772553	3286.20776769825	2470.69348120689	3975.34134960175	nCount_RNA
22	2413.95698750019	2489.52533415208	2133.45181829929	2904.58996802569	nCount_RNA
20	4008.37293577194	3855.09457811023	2571.5981607914	4708.30042688847	nCount_RNA
6	3913.441229105	3821.94345401041	2842.27205107212	4705.22836616039	nCount_RNA
9	3555.72064268589	3445.72527641817	2641.05579278469	4064.0936650753	nCount_RNA
4	3272.38650012016	3240.178985953	2355.50722241402	4021.76711374521	nCount_RNA
10	3421.30527096987	3341.28525056442	2622.2854770422	3886.99108028412	nCount_RNA
14	3690.69725370407	3548.75900400486	2740.87160456181	4029.16689770222	nCount_RNA
19	4066.43923819065	3927.14930587859	3227.80928945541	4404.02763488293	nCount_RNA
12	3412.94613283873	3330.81015592587	2534.89430007935	3935.54061813355	nCount_RNA
