cluster	scDblFinder_cells	scDblFinder_doublet_cells	scDblFinder_doublet_fraction	scDblFinder_median_score	scDblFinder_q90_score
11	602	42	0.0697674418604651	0.118754918343852	0.359783627280583
7	869	6	0.00690448791714614	0.0217701524855113	0.116631466437145
13	413	8	0.0193704600484262	0.113964826340958	0.240964642105209
5	1071	108	0.100840336134454	0.215050567616802	0.397014150470956
0	2162	257	0.118871415356152	0.248971789377762	0.408173818395273
1	1411	135	0.0956768249468462	0.226747158980513	0.394086125420953
18	300	2	0.00666666666666667	0.0584623909799606	0.153954418978729
8	719	28	0.0389429763560501	0.164945665787387	0.3323166553348
3	1189	26	0.0218671152228764	0.107334895508018	0.290539639048794
2	1220	107	0.0877049180327869	0.163884820493847	0.378887081498728
17	341	15	0.0439882697947214	0.155011501701788	0.327975763331621
22	48	0	0	0.145259540107562	0.272828030311811
20	177	44	0.248587570621469	0.314388698542551	0.444181391081198
6	1029	24	0.0233236151603499	0.123504655379728	0.290675506770792
9	660	116	0.175757575757576	0.238136932644403	0.442258468338276
4	1086	25	0.0230202578268877	0.0834731881608998	0.26105665340423
10	606	58	0.0957095709570957	0.20901287524018	0.394924439289379
14	387	0	0	0.0453301481684924	0.124769329819495
19	202	8	0.0396039603960396	0.143991943101175	0.29768221422337
12	580	0	0	0.0303507261079859	0.0964284406126355
15	377	11	0.0291777188328912	0.147231116191881	0.315101574558279
16	346	9	0.0260115606936416	0.0980809384194982	0.252699487197808
21	58	0	0	0.153327619447909	0.278708193673469
