cluster	tissue	N	fraction
11	lymph node	59	0.0980066445182724
7	lymph node	2	0.00230149597238205
13	lymph node	143	0.346246973365617
5	lymph node	85	0.0793650793650794
0	lymph node	72	0.0333024976873266
1	lymph node	34	0.0240963855421687
18	lymph node	9	0.03
8	lymph node	50	0.0695410292072323
3	lymph node	11	0.00925147182506308
2	lymph node	41	0.0336065573770492
17	lymph node	3	0.00879765395894428
22	lymph node	2	0.0416666666666667
20	lymph node	12	0.0677966101694915
6	lymph node	14	0.0136054421768707
9	lymph node	10	0.0151515151515152
4	lymph node	4	0.00368324125230203
10	lymph node	3	0.00495049504950495
14	lymph node	1	0.00258397932816537
19	lymph node	2	0.0099009900990099
12	lymph node	1	0.00172413793103448
0	metastasis normal	623	0.288159111933395
4	metastasis normal	151	0.139042357274401
13	metastasis normal	147	0.355932203389831
17	metastasis normal	257	0.75366568914956
9	metastasis normal	450	0.681818181818182
7	metastasis normal	53	0.0609896432681243
3	metastasis normal	1112	0.935239697224558
5	metastasis normal	175	0.163398692810458
15	metastasis normal	19	0.0503978779840849
18	metastasis normal	100	0.333333333333333
16	metastasis normal	341	0.985549132947977
20	metastasis normal	35	0.19774011299435
10	metastasis normal	443	0.731023102310231
1	metastasis normal	228	0.161587526576896
19	metastasis normal	192	0.95049504950495
8	metastasis normal	42	0.0584144645340751
22	metastasis normal	44	0.916666666666667
2	metastasis normal	805	0.659836065573771
12	metastasis normal	5	0.00862068965517241
14	metastasis normal	18	0.0465116279069768
11	metastasis normal	21	0.0348837209302326
6	metastasis normal	6	0.00583090379008746
4	metastasis tumor	48	0.0441988950276243
0	metastasis tumor	1036	0.479185938945421
17	metastasis tumor	45	0.131964809384164
18	metastasis tumor	88	0.293333333333333
9	metastasis tumor	165	0.25
11	metastasis tumor	20	0.0332225913621263
3	metastasis tumor	38	0.031959629941127
13	metastasis tumor	87	0.210653753026634
5	metastasis tumor	244	0.227824463118581
8	metastasis tumor	195	0.271210013908206
7	metastasis tumor	6	0.00690448791714614
1	metastasis tumor	989	0.700921332388377
6	metastasis tumor	956	0.929057337220603
10	metastasis tumor	103	0.16996699669967
2	metastasis tumor	347	0.284426229508197
16	metastasis tumor	3	0.00867052023121387
21	metastasis tumor	1	0.0172413793103448
20	metastasis tumor	12	0.0677966101694915
14	metastasis tumor	7	0.0180878552971576
22	metastasis tumor	2	0.0416666666666667
19	metastasis tumor	8	0.0396039603960396
15	metastasis tumor	3	0.00795755968169761
12	PBMC	571	0.98448275862069
15	PBMC	343	0.909814323607427
7	PBMC	805	0.926352128883775
13	PBMC	2	0.00484261501210654
4	PBMC	801	0.737569060773481
14	PBMC	350	0.904392764857881
17	PBMC	1	0.00293255131964809
18	PBMC	29	0.0966666666666667
9	PBMC	3	0.00454545454545455
20	PBMC	5	0.0282485875706215
0	PBMC	1	0.000462534690101758
2	PBMC	1	0.000819672131147541
5	PBMC	1	0.000933706816059757
9	primary normal	14	0.0212121212121212
0	primary normal	138	0.0638297872340426
4	primary normal	25	0.0230202578268877
13	primary normal	9	0.0217917675544794
5	primary normal	111	0.103641456582633
11	primary normal	239	0.397009966777409
17	primary normal	11	0.032258064516129
8	primary normal	11	0.0152990264255911
16	primary normal	1	0.00289017341040462
15	primary normal	5	0.013262599469496
20	primary normal	33	0.186440677966102
1	primary normal	15	0.0106307583274274
21	primary normal	7	0.120689655172414
3	primary normal	9	0.00756938603868797
14	primary normal	2	0.00516795865633075
10	primary normal	13	0.0214521452145215
18	primary normal	11	0.0366666666666667
2	primary normal	3	0.00245901639344262
7	primary normal	1	0.00115074798619102
17	primary tumor	24	0.0703812316715543
0	primary tumor	292	0.135060129509713
5	primary tumor	455	0.42483660130719
13	primary tumor	25	0.0605326876513317
1	primary tumor	145	0.102763997165131
21	primary tumor	50	0.862068965517241
8	primary tumor	421	0.585535465924896
15	primary tumor	7	0.0185676392572944
7	primary tumor	2	0.00230149597238205
3	primary tumor	19	0.0159798149705635
4	primary tumor	57	0.0524861878453039
12	primary tumor	3	0.00517241379310345
14	primary tumor	9	0.0232558139534884
10	primary tumor	44	0.0726072607260726
6	primary tumor	53	0.0515063168124393
11	primary tumor	263	0.43687707641196
20	primary tumor	80	0.451977401129944
9	primary tumor	18	0.0272727272727273
18	primary tumor	63	0.21
2	primary tumor	23	0.0188524590163934
16	primary tumor	1	0.00289017341040462
