cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	0	4.84471140106308	0.306	0.008	0	CXCR6
0	0	4.54489184241446	0.386	0.013	0	ICOS
0	0	4.2432436817291	0.142	0.005	0	CCDC64
0	0	4.12439552595953	0.143	0.005	0	FBLN7
0	0	4.03633985996816	0.265	0.011	0	THEMIS
0	0	4.03500354412281	0.277	0.011	0	GPR171
0	0	4.02211711898508	0.146	0.006	0	PPP2R2B
0	0	3.98731853766036	0.342	0.015	0	CD28
0	0	3.97568889740629	0.183	0.008	0	CD40LG
0	0	3.96556262063055	0.358	0.015	0	TRAT1
0	0	3.91929252293903	0.381	0.018	0	TC2N
0	0	3.87551982359184	0.587	0.027	0	CD96
0	0	3.8499584548624	0.452	0.019	0	GZMK
0	0	3.8332681563252	0.719	0.039	0	SPOCK2
0	0	3.82812685438401	0.334	0.015	0	BCL11B
0	0	3.82242757102607	0.258	0.013	0	TIGIT
0	0	3.81192625687618	0.155	0.008	0	IFNG
0	0	3.81148055499537	0.517	0.027	0	PBX4
0	0	3.80402709305745	0.575	0.031	0	RORA
0	0	3.7955694362614	0.369	0.021	0	CCR6
0	0	3.78869236321826	0.564	0.031	0	KLRB1
0	0	3.77962562763492	0.212	0.01	0	SIRPG
0	0	3.75380331232972	0.258	0.014	0	PERP
0	0	3.71325972824334	0.391	0.021	0	CAMK4
0	0	3.70963258652155	0.508	0.028	0	CD6
0	0	3.70317056918032	0.192	0.009	0	AC092580.4
0	0	3.70149254747367	0.185	0.01	0	AUTS2
0	0	3.69376457428636	0.349	0.017	0	SH2D1A
0	0	3.66423104129841	0.367	0.019	0	GATA3
0	0	3.66194992793359	0.451	0.024	0	ITK
0	0	3.65494889264123	0.342	0.019	0	SCML4
0	0	3.65239905957259	0.363	0.02	0	IL2RB
0	0	3.63577372084808	0.62	0.035	0	SH2D2A
0	0	3.63128136621158	0.554	0.032	0	ITM2A
0	0	3.61978010995378	0.333	0.019	0	CD8A
0	0	3.59851639931595	0.72	0.047	0	CD2
0	0	3.59690192806056	0.583	0.033	0	GZMA
0	0	3.58726509749176	0.528	0.03	0	GZMM
0	0	3.58501299840429	0.402	0.022	0	TRAC
0	0	3.57813506867818	0.8	0.046	0	CD3D
0	0	3.56546971570188	0.255	0.014	0	SLA2
0	0	3.56469173209153	0.615	0.034	0	CD3G
0	0	3.56050603106798	0.281	0.016	0	MYBL1
0	0	3.55372854695993	0.399	0.021	0	CD5
0	0	3.53391755836767	0.226	0.012	0	CD8B
0	0	3.47013659101684	0.415	0.026	0	ZAP70
0	0	3.46069566828336	0.336	0.021	0	ABLIM1
0	0	3.45932174990395	0.173	0.012	0	PDCD1
0	0	3.4592239072716	0.901	0.06	0	CD3E
0	0	3.4553633502377	0.649	0.04	0	TRBC2
1	0	2.19161618198815	0.678	0.162	0	SDS
1	0	1.67794680338488	0.661	0.206	0	FPR3
1	2.77696672597072e-288	2.01400772002803	0.486	0.123	6.848555339589e-284	TREM2
1	4.42611102207127e-288	1.64834845018058	0.632	0.2	1.09156750026322e-283	APOC1
1	2.80704780578322e-269	1.35073644522421	0.743	0.282	6.92274129862258e-265	LGMN
1	3.50033579256128e-268	1.42370137873248	0.708	0.239	8.63252813161462e-264	C1QC
1	3.91738190389313e-261	1.60867893383982	0.543	0.156	9.66104725138124e-257	SLCO2B1
1	1.91737991820577e-257	1.646969979953	0.577	0.185	4.72864235427908e-253	APOE
1	2.08413397242301e-256	1.77499642466607	0.525	0.154	5.13989120278962e-252	ID3
1	1.06370085881027e-251	1.63819861744011	0.552	0.167	2.62329905799789e-247	SLAMF8
1	3.49271997018558e-238	1.57971970002151	0.502	0.143	8.61374599047167e-234	PLTP
1	1.21876763974105e-235	1.77931877535697	0.485	0.138	3.00572475312937e-231	SLC16A10
1	4.48725195365319e-227	1.33602852695746	0.675	0.242	1.10664607680995e-222	C1QB
1	1.7627822118368e-224	1.54329524972256	0.551	0.181	4.34737349083192e-220	PMP22
1	6.03432296582446e-214	1.51499223561806	0.495	0.149	1.48818472983163e-209	CD72
1	8.73149081308572e-214	2.38318287089961	0.257	0.044	2.1533602643232e-209	ADAMDEC1
1	1.48343052906541e-205	1.81989057507947	0.394	0.105	3.65843637078112e-201	MMP14
1	1.53837355595701e-200	1.40230686886564	0.584	0.214	3.79393686370118e-196	CD9
1	3.55503612850975e-200	1.12250328810527	0.756	0.331	8.76743010013075e-196	RGS1
1	4.54895640912659e-200	1.16775894107869	0.728	0.302	1.1218636296188e-195	C1QA
1	1.29180997515428e-199	2.48267530558997	0.232	0.039	3.18586176072549e-195	GAL3ST4
1	6.05935535529803e-197	1.51796558539482	0.45	0.133	1.4943582177236e-192	A2M
1	1.63500908770386e-193	1.49623642908086	0.488	0.156	4.03225941209526e-189	SDSL
1	7.45504166223024e-191	1.03750764890756	0.82	0.391	1.83856237473922e-186	ZNF331
1	1.72832375063675e-189	2.35754468427518	0.212	0.033	4.26239203382036e-185	AC079767.4
1	2.04748269745568e-187	1.37882799395762	0.563	0.211	5.0495018284652e-183	GPNMB
1	1.31383286901914e-181	1.44484737282622	0.465	0.147	3.240174621575e-177	HLA-DOA
1	2.70085217005366e-179	1.14713457356234	0.711	0.336	6.66084162178634e-175	ACP5
1	3.8622139540668e-179	1.80949798892725	0.339	0.088	9.52499205351954e-175	SERPINF1
1	5.87082526365775e-178	1.25518837995256	0.595	0.228	1.44786292652327e-173	PVRL2
1	1.00094964037769e-171	1.34021799315878	0.463	0.15	2.46854200309945e-167	C1orf54
1	1.60146418530549e-166	1.13665118717674	0.677	0.3	3.9495309738004e-162	CD81
1	2.2191583410776e-165	1.78591264681383	0.304	0.075	5.47288830076558e-161	KCNMA1
1	4.77019495407285e-163	1.37732133950102	0.439	0.143	1.17642547957345e-158	NRP2
1	4.92253901743798e-160	1.12536110758957	0.625	0.262	1.21399657248056e-155	MSR1
1	2.35402206429328e-159	1.12919321543506	0.6	0.238	5.80548921496008e-155	MRC1
1	3.78421136272776e-159	2.03047506626399	0.233	0.047	9.3326220627592e-155	LINC01094
1	4.16029444942135e-159	3.0849484812799	0.12	0.012	1.02601181711629e-154	RARRES1
1	3.83611458309126e-155	1.53018662464359	0.347	0.099	9.46062578481967e-151	AXL
1	3.71541108507721e-154	2.33715553800968	0.178	0.029	9.16294681801742e-150	CCL18
1	6.33251062837403e-153	1.95994131330229	0.266	0.064	1.5617237711696e-148	HS3ST1
1	4.05285372998043e-152	1.39100484847549	0.446	0.153	9.99514786887774e-148	SH3PXD2B
1	7.59797299853792e-151	1.56684930896882	0.327	0.091	1.87381210089942e-146	OLFML2B
1	4.13273869983076e-149	0.852636382039274	0.882	0.474	1.01921601815226e-144	GPR183
1	6.31232175261124e-149	1.07191276247382	0.613	0.261	1.55674479062898e-144	PTMS
1	9.49936234381693e-149	2.09896079419417	0.215	0.043	2.34273274123213e-144	HSD17B14
1	1.16686621397986e-147	0.906380567636179	0.794	0.415	2.87772545691713e-143	GSN
1	1.05789303592857e-146	2.33822941988378	0.179	0.031	2.60897580520703e-142	DNAJC5B
1	1.2778228190207e-146	1.93609942343701	0.236	0.052	3.15136663626884e-142	OTOA
1	1.62595404702753e-146	1.00948003509148	0.67	0.316	4.0099278707793e-142	AKR1B1
2	0	1.88096913918352	0.783	0.258	0	APOBEC3A
2	0	1.63498525238073	0.789	0.331	0	PHLDA1
2	0	1.13205303547201	0.944	0.561	0	PPIF
2	4.96190381373486e-304	1.43731400998219	0.847	0.354	1.22370471854329e-299	THBS1
2	2.55149691682145e-296	2.20311707034574	0.557	0.163	6.29250169626507e-292	SEMA6B
2	2.14568123458363e-285	1.33705847746369	0.838	0.445	5.29167906073014e-281	PNP
2	2.83345098935532e-276	2.84564040772407	0.343	0.06	6.98785682994808e-272	LAMB3
2	1.63627926476619e-269	1.08014083057243	0.913	0.529	4.03539192276638e-265	CREM
2	3.89348092591519e-257	0.981273166504652	0.928	0.62	9.60210265949204e-253	ATP2B1
2	2.88736354557728e-254	0.607707169744483	0.997	0.88	7.12081597610268e-250	TIMP1
2	1.44148799814184e-248	1.32750004885028	0.81	0.358	3.55499770101741e-244	EREG
2	1.39446690338155e-245	1.33290640969838	0.806	0.365	3.43903427711957e-241	AQP9
2	3.82717698399584e-245	2.0734426893106	0.544	0.184	9.43858387793053e-241	TGM2
2	2.23444182107896e-239	1.25539501886505	0.825	0.448	5.51058041914492e-235	ANPEP
2	1.1999874875428e-223	1.34357179178499	0.752	0.402	2.95940914177806e-219	MARCKSL1
2	6.89967777908978e-219	1.16061628162351	0.809	0.469	1.70159853387912e-214	SLC43A2
2	5.68649602670672e-217	2.54332017926359	0.295	0.054	1.40240365010641e-212	SERPINB2
2	4.67165745866745e-216	1.19962720966503	0.798	0.447	1.15212416245657e-211	BASP1
2	4.83793330204156e-213	1.35638074243773	0.734	0.344	1.19313111094949e-208	RETN
2	1.73305786146247e-205	1.36201510991658	0.718	0.353	4.27406729793875e-201	EHD1
2	1.68903799342014e-203	0.933466228638052	0.949	0.569	4.16550549937276e-199	VCAN
2	2.53766350687681e-201	0.778574631318041	0.902	0.677	6.25838574065958e-197	ATP1B3
2	5.57632062150104e-192	0.803040848166664	0.897	0.642	1.37523219167459e-187	PLSCR1
2	7.53795019774343e-190	1.34713709129564	0.682	0.325	1.85900927776749e-185	SLC7A5
2	1.09893772512344e-188	0.812435654090433	0.914	0.656	2.71020021769943e-184	MAP3K8
2	1.51576475969993e-187	1.12131367050549	0.798	0.411	3.73817905037197e-183	CXCL2
2	1.09288599573694e-186	1.17869612575325	0.758	0.398	2.69527544268645e-182	CD300E
2	8.06679770784206e-186	1.04021640691537	0.835	0.461	1.98943365070801e-181	CXCL8
2	2.78641300335275e-185	0.976125062392933	0.861	0.517	6.87185174886856e-181	TREM1
2	3.02756409223341e-180	0.660480326603087	0.945	0.748	7.46657856426604e-176	FLNA
2	4.26921545065408e-179	0.856253850897096	0.879	0.574	1.05287391444031e-174	TMEM176B
2	4.02600370610754e-178	1.35479475189767	0.658	0.324	9.92893034000242e-174	ITGA5
2	6.04950768246185e-178	0.774052966012454	0.89	0.651	1.49192958464874e-173	HIF1A
2	7.86531355933348e-177	1.06937612197094	0.77	0.462	1.93974363000282e-172	DSE
2	4.23845319098659e-176	0.782273872283802	0.896	0.646	1.04528732596111e-171	TPM4
2	2.09130683149399e-175	1.06260077216479	0.78	0.455	5.15758090783047e-171	BCL3
2	3.97542540650887e-175	1.22868245399687	0.711	0.37	9.80419413753217e-171	ATP13A3
2	8.95941945917034e-175	0.595987231885786	0.97	0.771	2.20957202702059e-170	LITAF
2	4.07473858568494e-172	0.725401246674623	0.989	0.673	1.00491203000162e-167	FCN1
2	1.47502269925841e-171	0.817998519166562	0.948	0.636	3.63770098091109e-167	S100A8
2	1.03385969049259e-168	0.497959091490282	0.988	0.869	2.54970476869282e-164	SOD2
2	1.44188505028777e-167	0.947414342480986	0.816	0.512	3.55597691101969e-163	SERPINB9
2	1.80096953299842e-167	0.460664063584341	0.983	0.871	4.4415510622807e-163	CD44
2	1.1109666097589e-166	0.891819340520618	0.818	0.564	2.73986585298741e-162	CTNNB1
2	8.12814340569075e-166	0.58065962698983	0.952	0.797	2.00456272671145e-161	TNFRSF1B
2	3.72489225826433e-164	1.70494255562187	0.447	0.149	9.18632928733149e-160	FCAR
2	2.48584451700832e-163	0.532922109173881	0.994	0.833	6.13058974784592e-159	PLAUR
2	1.23831552645621e-161	0.629646142918033	0.982	0.768	3.0539337513463e-157	S100A9
2	2.79854227165477e-161	1.07190666552222	0.734	0.455	6.90176495035499e-157	DNTTIP2
